@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute class {class_0,class_1}

@data
20,0,0,1.33333,1.33333,70.07,1,class_0
20,0,0,1.33333,1.33333,70.07,0,class_0
21,1,0,2.66667,4,76.97,1,class_0
22,1,0,3,4,97.24,1,class_0
22,1,0,3,4,97.24,0,class_0
22,1,0,3,4,97.24,2,class_0
23,2,0,1.66667,1.66667,30.83,1,class_0
24,2,0,4.66667,2.33333,50.1,1,class_0
25,2,0,2,1.66667,40.04,1,class_0
25,2,0,2,1.66667,40.04,0,class_0
26,0,0,1.66667,2,64.87,1,class_0
26,0,0,1.66667,2,64.87,0,class_0
27,2,0,3.33333,3.33333,46.75,1,class_0
27,2,0,3.33333,3.33333,46.75,0,class_0
28,2,1,4,2,101.58,1,class_0
29,2,0,1.66667,5,82.61,1,class_0
30,1,0,4.33333,4.33333,49.4,1,class_0
30,1,0,4.33333,4.33333,49.4,0,class_0
31,2,1,4,1.66667,92.1,1,class_0
31,2,1,4,1.66667,92.1,0,class_0
32,2,0,2.33333,1.66667,34.74,1,class_0
33,0,0,1.66667,4,67.76,1,class_0
33,0,0,1.66667,4,67.76,0,class_0
34,0,0,3.66667,4,50.76,1,class_0
34,0,0,3.66667,4,50.76,0,class_0
35,0,0,2,2.33333,68.75,1,class_0
36,0,1,3,2.66667,90.61,1,class_0
36,0,1,3,2.66667,90.61,0,class_0
36,0,1,3,2.66667,90.61,2,class_0
37,2,1,4.66667,5,95.54,1,class_0
37,2,1,4.66667,5,95.54,0,class_0
38,0,0,1.66667,2,56.26,1,class_0
38,0,0,1.66667,2,56.26,0,class_0
39,2,0,1.33333,2,42.33,1,class_0
40,2,1,4.33333,1.66667,73.27,1,class_0
41,2,0,4.33333,4,81.77,1,class_0
41,2,0,4.33333,4,81.77,0,class_0
42,0,1,1.66667,1.66667,77.31,1,class_0
42,0,1,1.66667,1.66667,77.31,0,class_0
43,0,1,2,3.33333,91.71,1,class_0
43,0,1,2,3.33333,91.71,0,class_0
44,0,0,2,4.66667,62.87,1,class_0
44,0,0,2,4.66667,62.87,0,class_0
45,0,1,3.33333,3.33333,93.2,1,class_0
45,0,1,3.33333,3.33333,93.2,0,class_0
46,0,0,2.33333,2.66667,79.9,1,class_0
46,0,0,2.33333,2.66667,79.9,0,class_0
47,2,1,3,2,83.33,1,class_0
47,2,1,3,2,83.33,0,class_0
48,2,0,2,3,56.94,1,class_0
49,0,0,3,5,90.97,0,class_0
49,0,0,3,5,90.97,2,class_0
50,2,1,1.33333,1.33333,46.92,1,class_0
50,2,1,1.33333,1.33333,46.92,0,class_0
51,1,0,3.66667,3.66667,97.47,1,class_0
52,2,0,2.66667,1,87.56,1,class_0
53,2,0,4.66667,5,92.41,1,class_0
53,2,0,4.66667,5,92.41,2,class_0
54,0,0,4.33333,2.33333,61.93,1,class_0
54,0,0,4.33333,2.33333,61.93,0,class_0
55,2,0,4.66667,4.66667,96.89,1,class_0
55,2,0,4.66667,4.66667,96.89,0,class_0
56,2,0,3.66667,2.33333,96.65,1,class_0
56,2,0,3.66667,2.33333,96.65,0,class_0
57,0,0,1.66667,2,82.31,0,class_0
58,1,0,1.66667,2.33333,54.75,1,class_0
59,2,1,1,2,96.69,1,class_0
60,0,1,3.66667,2.33333,86.04,1,class_0
60,0,1,3.66667,2.33333,86.04,0,class_0
60,0,1,3.66667,2.33333,86.04,2,class_0
61,2,0,2,4,80.88,1,class_0
62,2,0,5,5,87.23,0,class_0
62,2,0,5,5,87.23,2,class_0
63,2,0,3,5,97.29,1,class_0
64,0,0,1.66667,2.33333,70.36,1,class_0
65,2,1,5,4.66667,65.22,1,class_0
65,2,1,5,4.66667,65.22,0,class_0
66,2,1,5,5,60,1,class_0
67,0,0,1.33333,2.66667,57.3,1,class_0
67,0,0,1.33333,2.66667,57.3,0,class_0
68,2,1,2,2,88.2,1,class_0
69,2,1,1.66667,3.33333,71.75,1,class_0
69,2,1,1.66667,3.33333,71.75,0,class_0
70,1,0,1,1.66667,60.59,1,class_0
71,2,1,4.66667,5,71.9,1,class_0
71,2,1,4.66667,5,71.9,0,class_0
72,2,0,2,1.66667,29.35,1,class_0
73,2,1,4,5,99.94,1,class_0
73,2,1,4,5,99.94,0,class_0
74,2,0,1.66667,3.66667,79.69,1,class_0
75,2,0,3,4.33333,81.39,1,class_0
75,2,0,3,4.33333,81.39,0,class_0
75,2,0,3,4.33333,81.39,2,class_0
76,0,0,2.33333,2,44.08,0,class_0
76,0,0,2.33333,2,44.08,2,class_0
78,2,1,2,1.66667,92.21,1,class_0
78,2,1,2,1.66667,92.21,0,class_0
77,0,0,3.33333,5,96.63,1,class_0
77,0,0,3.33333,5,96.63,0,class_0
77,0,0,3.33333,5,96.63,2,class_0
79,2,1,1.66667,2,74.4,1,class_0
79,2,1,1.66667,2,74.4,0,class_0
80,2,0,2.66667,5,42.33,1,class_0
80,2,0,2.66667,5,42.33,0,class_0
81,2,0,5,3,83.91,1,class_0
82,2,1,2,1.33333,73.85,1,class_0
83,0,0,2,2.66667,92.78,1,class_0
83,0,0,2,2.66667,92.78,0,class_0
84,0,1,2.66667,2,87.43,1,class_0
84,0,1,2.66667,2,87.43,0,class_0
85,2,1,4.33333,5,65.21,1,class_0
86,2,1,4.66667,1.66667,42.33,1,class_0
87,2,1,3,1.66667,100,1,class_0
88,2,0,5,4.66667,91.91,1,class_0
89,2,0,3.33333,5,56.99,1,class_0
89,2,0,3.33333,5,56.99,0,class_0
90,0,0,2,3,71.26,1,class_0
90,0,0,2,3,71.26,2,class_0
91,0,0,2,4.33333,77.28,1,class_0
91,0,0,2,4.33333,77.28,0,class_0
92,2,1,3,5,97.47,1,class_0
92,2,1,3,5,97.47,0,class_0
93,2,1,1.66667,1,92.44,1,class_0
94,0,1,2,2,54.05,1,class_0
94,0,1,2,2,54.05,0,class_0
94,0,1,2,2,54.05,2,class_0
0,0,1,4.33333,5,99.15,1,class_0
0,0,1,4.33333,5,99.15,0,class_0
1,2,1,5,2.66667,87.13,0,class_1
2,2,1,1.66667,2,100,0,class_1
2,2,1,1.66667,2,100,2,class_1
4,2,1,3.66667,4.66667,68.14,2,class_1
6,2,0,2.33333,2.33333,77.09,0,class_1
7,0,1,1.66667,3,84.8,2,class_1
10,0,0,1.66667,3.33333,48.38,0,class_1
10,0,0,1.66667,3.33333,48.38,2,class_1
11,2,0,4.33333,3.66667,53.69,0,class_1
12,0,1,3.66667,5,92.19,1,class_1
13,0,1,3,1.33333,82.61,2,class_1
15,2,0,1.66667,2.66667,88.91,2,class_1
16,2,1,5,5,86.67,1,class_1
17,1,0,1.66667,2,72.53,0,class_1
17,1,0,1.66667,2,72.53,2,class_1
18,2,1,4.66667,4.33333,92.97,2,class_1
19,0,1,3,2,40.66,0,class_1
19,0,1,4.33333,4,40.66,2,class_1
20,0,0,1.33333,1.33333,70.07,2,class_1
21,1,0,2.66667,4,76.97,0,class_1
21,1,0,2.66667,4,76.97,2,class_1
23,2,0,1.66667,1.66667,30.83,0,class_1
23,2,0,1.66667,1.66667,30.83,2,class_1
24,2,0,4.66667,2.33333,50.1,0,class_1
24,2,0,4.66667,2.33333,50.1,2,class_1
25,2,0,2,1.66667,40.04,2,class_1
26,0,0,1.66667,2,64.87,2,class_1
27,2,0,3.33333,3.33333,46.75,2,class_1
28,2,1,4,2,101.58,0,class_1
28,2,1,4,2,101.58,2,class_1
29,2,0,3.33333,1.66667,92.78,0,class_1
29,2,0,3,4.33333,92.21,2,class_1
30,1,0,4.33333,4.33333,49.4,2,class_1
31,2,1,4,1.66667,92.1,2,class_1
32,2,0,2.33333,1.66667,34.74,0,class_1
32,2,0,2.33333,1.66667,34.74,2,class_1
33,0,0,1.66667,4,67.76,2,class_1
34,0,0,3.66667,4,50.76,2,class_1
35,0,0,2,2.33333,68.75,0,class_1
35,0,0,2,2.33333,68.75,2,class_1
37,2,1,4.66667,5,95.54,2,class_1
38,0,0,1.66667,2,56.26,2,class_1
39,2,0,1.33333,2,56.99,0,class_1
39,2,0,1.33333,2,99.15,2,class_1
40,2,1,4.33333,1.66667,73.27,0,class_1
40,2,1,4.33333,1.66667,73.27,2,class_1
41,2,0,4.33333,4,81.77,2,class_1
42,0,1,1.66667,1.66667,77.31,2,class_1
43,0,1,2,3.33333,91.71,2,class_1
44,0,0,2,4.66667,62.87,2,class_1
45,0,1,3.33333,3.33333,93.2,2,class_1
46,0,0,2.33333,2.66667,79.9,2,class_1
47,2,1,3,2,83.33,2,class_1
48,2,0,2,3,56.94,0,class_1
48,2,0,2,3,56.94,2,class_1
49,0,0,3,5,90.97,1,class_1
50,2,1,1.33333,1.33333,46.92,2,class_1
51,1,0,3.66667,3.66667,46.92,0,class_1
51,1,0,3.66667,3.66667,100,2,class_1
52,2,0,2.66667,1,87.56,0,class_1
52,2,0,2.66667,1,87.56,2,class_1
53,2,0,4.66667,5,92.41,0,class_1
54,0,0,4.33333,2.33333,61.93,2,class_1
55,2,0,4.66667,4.66667,96.89,2,class_1
56,2,0,3.66667,2.33333,96.65,2,class_1
57,0,0,1.66667,2,82.31,1,class_1
57,0,0,1.66667,2,82.31,2,class_1
58,1,0,1.66667,2.33333,54.75,0,class_1
58,1,0,1.66667,2.33333,54.75,2,class_1
59,2,1,1,2,96.69,0,class_1
59,2,1,1,5,96.69,2,class_1
61,2,0,2,4,80.88,0,class_1
61,2,0,2,4,80.88,2,class_1
62,2,0,5,5,87.23,1,class_1
63,2,0,3,5,97.29,0,class_1
63,2,0,3,5,97.29,2,class_1
64,0,0,1.66667,2.33333,70.36,0,class_1
64,0,0,1.66667,2.33333,70.36,2,class_1
65,2,1,5,4.66667,65.22,2,class_1
66,2,1,5,5,60,0,class_1
66,2,1,5,5,60,2,class_1
67,0,0,1.33333,2.66667,57.3,2,class_1
68,2,1,2,2,88.2,0,class_1
68,2,1,2,2,88.2,2,class_1
69,2,1,1.66667,3.33333,71.75,2,class_1
70,1,0,1,1.66667,60.59,0,class_1
70,1,0,1,1.66667,60.59,2,class_1
71,2,1,4.66667,5,71.9,2,class_1
72,2,0,2,1.66667,29.35,0,class_1
72,2,0,2,1.66667,29.35,2,class_1
73,2,1,4,5,99.94,2,class_1
74,2,0,1.66667,3.66667,79.69,0,class_1
74,2,0,1.66667,3.66667,79.69,2,class_1
76,0,0,2.33333,2,44.08,1,class_1
78,2,1,2,1.66667,92.21,2,class_1
79,2,1,1.66667,2,74.4,2,class_1
80,2,0,2.66667,5,42.33,2,class_1
81,2,0,5,3,83.91,0,class_1
81,2,0,5,3,83.91,2,class_1
82,2,1,2,1.33333,73.85,0,class_1
82,2,1,2,1.33333,73.85,2,class_1
83,0,0,2,2.66667,92.78,2,class_1
84,0,1,2.66667,2,87.43,2,class_1
85,2,1,4.33333,5,65.21,0,class_1
85,2,1,4.33333,5,65.21,2,class_1
86,2,1,4.66667,1.66667,60,0,class_1
86,2,1,4.66667,1.66667,99.15,2,class_1
87,2,1,3,1.66667,100,0,class_1
87,2,1,3,1.66667,100,2,class_1
88,2,0,5,4.66667,91.91,0,class_1
88,2,0,5,4.66667,91.91,2,class_1
89,2,0,3.33333,5,56.99,2,class_1
90,0,0,2,3,71.26,0,class_1
91,0,0,2,4.33333,77.28,2,class_1
92,2,1,3,5,97.47,2,class_1
93,2,1,1.66667,1,92.44,0,class_1
93,2,1,1.66667,1,92.44,2,class_1
0,0,1,4.33333,5,99.15,2,class_1
