@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute class {class_0,class_1}

@data
62,236,56,0,27,15,11,4,1115,270,1,116,64,57,0,1,22,5,125,199,13,230,22,class_0
93,24,3,0,1,0,2,3,159,28,0,20,12,9,0,1,15,19,80,4,0,277.5,15,class_0
89,585,139,31,93,94,62,17,7546,1982,315,1141,1179,727,0,0,2,14,0,0,0,950,2,class_0
77,199,53,5,29,22,21,3,514,120,8,57,40,39,0,1,4,12,152,3,5,75,4,class_0
71,521,142,20,67,86,45,4,815,205,22,99,103,78,0,0,7,7,107,242,23,105,7,class_0
79,419,113,1,44,27,44,12,4484,1231,32,612,344,422,0,0,7,16,211,2,1,1000,7,class_0
94,512,131,26,69,96,52,14,5347,1397,221,712,815,548,0,1,3,7,119,216,12,850,3,class_0
72,507,122,29,78,85,91,18,7761,1947,347,1175,1152,1380,0,0,7,1,808,108,2,535,7,class_0
96,529,137,26,86,97,97,15,6661,1785,291,1082,949,989,0,0,2,21,280,10,5,933.333,2,class_0
66,351,97,4,55,29,39,4,1258,353,16,196,110,117,1,1,19,12,226,7,3,210,12,class_0
81,388,103,15,59,47,39,6,2174,555,80,285,274,186,0,1,20,19,182,9,4,325,2,class_0
92,339,96,4,37,29,23,4,1064,290,11,123,108,55,0,1,15,3,104,213,9,275,4,class_0
82,561,118,35,70,94,33,16,6677,1575,442,901,1210,608,0,1,15,14,463,32,8,245,15,class_0
90,677,238,31,117,113,53,5,2223,737,93,349,401,171,0,0,14,1,1377,100,6,1975,14,class_0
75,227,46,7,23,20,12,5,1325,324,44,156,158,67,0,1,9,21,92,2,2,950,9,class_0
95,329,83,9,50,39,56,9,3828,948,145,575,528,635,0,1,15,12,276,6,2,600,15,class_0
67,280,82,16,44,45,47,2,428,113,25,61,70,63,0,0,14,16,148,4,2,110,14,class_0
73,155,41,12,21,29,22,16,5409,1338,181,746,805,875,0,1,22,11,165,9,1,260,22,class_0
87,458,114,13,67,57,48,4,1350,298,28,160,123,122,0,1,3,23,246,389,18,475,3,class_0
91,314,83,13,39,46,16,5,1457,405,28,156,159,76,0,1,22,10,533,40,4,431.5,22,class_0
64,317,78,7,35,35,32,1,317,78,7,35,35,32,0,0,11,7,45,122,26,70,11,class_0
70,511,138,25,76,96,61,3,592,164,28,87,110,71,0,1,20,21,157,7,8,145,9,class_0
84,565,148,24,90,104,77,14,7287,2083,305,1135,1234,791,0,0,14,21,292,9,5,1861.46,14,class_0
99,495,151,17,61,84,78,10,5624,1679,275,884,1015,709,0,0,1,1,1045,88,13,2460,1,class_0
102,524,132,9,69,47,54,2,972,260,14,123,92,90,0,0,11,23,212,327,20,737.5,11,class_0
97,233,49,2,41,23,18,8,1350,336,7,166,122,106,0,0,2,23,102,132,10,375,2,class_0
103,395,106,16,48,56,35,10,2303,571,86,266,323,248,0,0,23,10,709,41,7,172,23,class_0
107,397,114,23,67,67,53,13,5589,1632,241,906,926,716,0,0,1,12,244,2,4,700,1,class_0
104,210,37,8,15,19,15,6,994,244,36,107,114,53,0,0,1,7,40,115,15,737.5,1,class_0
105,566,154,22,76,84,43,14,6100,1583,131,743,693,300,0,1,9,4,316,439,10,750,9,class_0
116,641,198,31,101,108,41,5,2129,610,92,297,319,117,0,0,23,16,269,17,10,1175,23,class_0
120,215,51,4,19,18,11,1,215,51,4,19,18,11,0,0,11,16,116,5,12,70,11,class_0
117,441,128,16,70,73,80,14,6675,2095,209,1072,1050,695,0,1,9,7,97,218,16,1500,9,class_0
126,325,76,16,33,52,37,5,1506,351,71,195,219,214,1,1,10,1,726,87,3,385,11,class_0
111,596,171,34,91,108,52,6,2862,728,107,361,401,224,0,1,12,7,118,334,21,900,12,class_0
127,472,118,12,63,54,30,4,793,187,14,102,80,50,0,1,12,23,228,377,26,155,12,class_0
119,283,77,14,45,47,26,16,6840,1910,259,915,1067,546,0,1,3,19,144,6,5,700,3,class_0
109,327,85,3,30,44,20,8,2140,568,16,216,208,93,0,0,23,6,91,185,12,362.5,23,class_0
113,539,139,5,93,58,69,5,1469,369,12,247,126,198,0,1,3,12,462,9,7,400,3,class_0
114,340,84,11,62,33,47,5,1516,376,42,284,141,219,1,0,16,16,185,8,4,400,4,class_0
124,315,59,16,45,36,58,13,4677,1051,268,681,782,697,0,1,20,14,0,0,0,1000,20,class_0
128,282,78,13,37,51,29,5,1649,453,73,211,280,138,0,1,4,1,670,57,5,500,4,class_0
115,380,120,5,54,51,31,8,3118,900,92,444,419,240,0,1,22,16,237,8,1,600,14,class_0
130,570,169,21,72,88,38,7,3754,1077,140,492,589,263,0,1,4,21,295,15,5,950,4,class_0
129,278,70,7,22,37,18,18,7186,2081,190,935,1088,643,0,1,9,14,0,0,0,325,9,class_0
131,445,99,1,46,24,29,4,618,129,1,72,31,48,0,1,20,4,278,415,16,87.5,20,class_0
146,589,170,40,107,108,69,6,2325,634,128,371,376,238,0,0,23,21,368,20,3,1237.5,23,class_0
170,343,103,6,48,36,40,15,4338,1193,70,581,421,325,0,0,1,24,211,56,13,430,9,class_0
167,600,144,33,85,117,65,2,696,173,38,101,130,69,0,1,15,16,319,4,14,165,15,class_0
155,663,200,29,108,121,32,4,1447,404,57,210,222,68,0,0,6,21,241,8,6,250,6,class_0
173,209,45,0,38,19,42,10,3859,916,23,557,279,478,0,1,4,4,132,205,5,120,4,class_0
147,160,39,8,18,31,22,14,2128,543,56,304,268,298,0,0,1,15,33,3,0,275,1,class_0
174,599,183,10,80,74,32,5,2482,715,27,330,326,158,0,0,6,23,231,374,18,775,6,class_0
148,497,136,7,58,38,26,11,3871,1066,40,450,367,241,0,0,11,4,304,347,10,850,11,class_0
164,210,70,13,32,51,28,15,4040,1130,97,544,462,551,0,0,7,14,0,0,0,365,7,class_0
142,225,61,5,32,26,26,11,1568,408,25,202,185,257,0,1,4,24,132,9,0,97.5,4,class_0
137,151,41,4,26,21,19,2,288,68,9,45,39,35,0,1,3,7,28,56,2,95,3,class_0
161,399,102,3,56,34,34,5,670,167,4,89,48,54,0,1,20,12,211,9,3,80,20,class_0
166,336,93,9,35,46,23,15,5779,1610,128,730,741,497,0,1,9,14,0,0,0,185,9,class_0
150,616,163,27,83,107,32,3,1437,377,65,181,227,82,0,1,20,7,110,308,15,200,20,class_0
138,219,47,8,24,26,17,12,1188,286,23,100,125,63,0,1,9,13,260,58,4,180,9,class_0
151,618,200,20,98,110,62,13,7127,2163,351,1104,1289,564,0,0,2,16,330,16,8,2412.5,2,class_0
144,257,66,5,31,26,32,14,3910,979,33,518,324,382,1,1,18,24,87,166,14,250,4,class_0
163,404,92,11,54,49,18,6,1354,325,30,188,135,63,0,0,1,19,222,5,5,300,1,class_0
157,315,73,5,23,37,16,4,450,108,6,38,46,28,0,1,4,10,227,15,3,110,14,class_0
153,212,54,13,28,44,18,2,233,59,13,31,46,20,0,0,1,24,243,23,5,1600,1,class_0
145,161,43,4,17,26,22,3,707,179,21,77,99,76,0,1,15,10,300,12,2,135,15,class_0
187,441,118,28,84,86,68,8,2723,750,126,433,420,309,0,0,7,21,190,2,2,1300,7,class_0
182,550,147,29,85,91,71,6,2816,815,117,405,474,319,0,1,12,1,1218,104,10,1310,12,class_0
181,344,85,24,69,64,88,7,911,214,64,150,156,187,0,1,20,14,0,0,0,300,20,class_0
186,680,223,31,119,96,34,3,1928,587,35,262,201,91,0,1,12,12,429,8,6,365,12,class_0
190,283,70,8,33,37,27,12,4479,1222,94,557,483,307,0,0,7,19,156,2,2,225,7,class_0
193,491,141,11,77,47,37,15,4291,1240,84,615,430,340,0,0,1,21,239,8,2,525,1,class_0
197,589,149,21,89,86,64,7,3558,928,102,513,471,351,0,0,23,12,371,6,6,787.5,23,class_0
191,464,128,28,67,94,52,13,5829,1552,210,740,840,452,0,1,22,14,0,0,0,587.5,22,class_0
192,338,92,18,42,60,21,3,682,185,36,88,112,50,0,0,1,14,0,0,0,145,1,class_0
198,508,146,8,80,44,46,9,3148,915,41,571,289,326,0,1,9,16,245,5,9,137,9,class_0
199,584,157,20,95,73,63,10,4704,1320,93,724,522,576,0,0,7,4,276,421,11,420,7,class_0
203,625,179,4,94,60,65,5,1696,476,12,216,163,166,0,0,2,4,303,450,14,575,2,class_0
210,489,131,19,77,55,34,7,2051,549,62,300,263,153,0,1,15,21,310,9,9,780,15,class_0
205,442,131,18,68,77,33,6,1416,398,47,210,203,136,0,0,6,16,233,7,7,550,6,class_0
206,317,88,3,40,32,19,8,2543,715,28,269,270,118,0,1,12,24,220,16,4,950,12,class_0
214,288,65,8,30,36,27,9,2815,698,55,315,325,189,1,0,21,10,259,30,10,650,7,class_0
215,209,54,3,25,14,12,1,209,54,3,25,14,12,0,1,9,19,102,6,3,68,20,class_0
218,504,120,28,71,71,54,3,1085,259,54,150,167,114,0,0,14,7,103,283,19,175,14,class_0
202,258,60,8,28,33,18,3,638,170,17,80,75,36,0,1,12,10,358,32,8,137,12,class_0
207,211,43,10,26,35,39,3,498,116,14,59,55,78,0,1,15,10,463,32,8,120,15,class_0
221,369,93,9,43,42,49,5,1258,323,54,181,177,157,0,0,1,16,149,1,6,350,1,class_0
228,547,137,2,58,47,12,2,1038,271,3,129,80,24,0,1,4,23,261,459,22,175,4,class_0
226,572,152,18,105,49,65,2,978,249,36,168,91,101,0,1,22,12,325,13,3,200,22,class_0
237,526,163,12,88,50,77,4,1556,470,38,245,167,174,0,1,20,16,250,11,1,750,20,class_0
234,540,135,30,82,88,55,1,540,135,30,82,88,55,0,1,22,21,157,6,14,172,22,class_0
233,437,123,9,62,55,40,9,4139,1203,79,676,390,364,0,0,11,7,82,170,15,1260,11,class_0
235,551,160,23,86,90,87,5,2235,602,75,278,328,273,0,1,22,1,1224,115,11,950,22,class_0
231,236,56,6,41,19,21,5,1257,329,24,166,125,105,0,0,7,19,172,1,4,190,7,class_0
232,473,154,6,61,48,29,6,1966,566,29,250,252,178,0,0,6,1,846,84,9,580,6,class_0
250,271,77,5,35,29,33,12,4933,1358,48,630,435,403,0,1,3,24,62,90,3,450,1,class_0
243,357,96,7,50,45,39,5,1394,344,43,178,192,136,0,1,12,16,167,2,4,300,12,class_0
251,216,56,4,22,18,15,12,2796,665,43,266,304,198,0,0,11,10,391,44,4,250,14,class_0
262,256,70,13,42,36,44,16,7058,1845,312,965,1128,990,1,0,4,7,41,118,8,1050,15,class_0
258,466,108,33,75,86,72,3,652,142,44,102,109,102,0,0,11,21,286,8,8,215,11,class_0
252,327,68,13,42,29,45,18,3949,939,78,438,380,466,0,0,1,10,659,53,7,400,6,class_0
249,462,119,16,49,65,37,7,2131,583,69,244,288,150,0,0,2,10,866,65,6,737.5,2,class_0
263,341,110,9,45,49,46,9,2331,658,50,249,322,274,0,0,14,10,251,9,4,560,4,class_0
256,608,160,28,130,74,89,8,4071,1182,103,862,417,708,0,0,14,12,426,4,6,1670,14,class_0
246,419,101,18,65,58,92,20,9528,2510,548,1509,1659,1342,0,1,3,14,0,0,0,487.5,15,class_0
257,33,6,0,2,4,7,1,33,6,0,2,4,7,0,1,3,21,205,5,4,90,3,class_0
264,376,82,21,42,60,35,5,1770,408,115,238,299,157,0,1,4,14,0,0,0,425,14,class_0
245,486,145,11,51,76,40,11,3967,1102,67,410,497,284,1,0,14,7,88,204,16,500,1,class_0
270,307,80,1,42,36,29,7,2421,656,18,379,198,184,0,1,9,19,145,2,2,1000,9,class_0
253,246,76,5,35,39,13,6,912,234,12,102,96,80,0,0,23,15,44,0,1,250,23,class_0
254,205,52,8,31,27,17,12,5134,1323,56,643,445,459,0,0,11,19,155,3,2,400,11,class_0
242,348,90,11,50,45,43,10,2288,614,43,295,273,269,0,0,23,7,60,176,6,450,23,class_0
248,312,68,2,32,22,24,1,312,68,2,32,22,24,0,0,2,23,86,150,15,70,20,class_0
269,382,101,16,50,55,22,1,382,101,16,50,55,22,0,1,22,19,200,7,6,97.5,22,class_0
268,459,113,20,59,57,68,12,5348,1369,155,713,660,735,0,1,12,14,0,0,0,740,12,class_0
259,288,63,3,25,33,16,10,2682,667,38,315,259,204,0,1,3,4,135,257,7,341.667,3,class_0
261,522,163,9,82,46,62,13,7037,2019,153,1043,827,535,0,0,11,12,352,9,1,1000,11,class_0
277,512,117,29,54,88,43,6,1750,412,100,204,276,155,0,1,9,1,1236,98,18,100,9,class_0
272,220,66,5,20,28,13,3,290,80,5,27,31,15,0,1,20,10,281,21,3,90,20,class_0
278,461,112,18,54,54,35,2,680,160,24,76,75,49,0,1,22,7,111,226,11,135,22,class_0
273,530,159,3,82,50,47,6,1619,426,11,218,149,163,0,1,22,23,196,354,15,475,22,class_0
281,453,103,8,53,33,52,2,507,123,8,63,39,58,0,1,12,4,289,407,6,105,12,class_0
276,528,122,1,67,45,51,4,1716,403,12,211,146,155,0,1,20,23,209,372,17,350,2,class_0
302,16,2,0,1,0,0,2,28,4,0,1,0,0,0,0,2,12,247,4,8,286.667,2,class_0
303,562,169,17,88,73,53,8,3181,841,61,450,342,373,0,0,6,4,351,442,17,530,6,class_0
296,281,76,3,42,25,20,8,2658,657,48,324,300,179,0,0,7,24,106,144,7,341.667,7,class_0
297,593,152,23,69,75,53,6,2765,686,133,369,384,321,0,1,12,21,315,10,6,940,12,class_0
304,687,213,10,91,65,27,4,1518,448,15,196,137,89,0,0,23,23,294,445,13,350,23,class_0
284,265,68,8,26,30,29,7,1337,339,32,135,163,128,1,1,0,19,92,5,3,425,7,class_0
295,289,63,7,36,41,44,17,7402,1954,195,1115,919,1153,0,1,22,4,166,211,7,525,22,class_0
289,520,120,17,53,44,21,4,927,227,22,106,80,52,0,1,4,7,70,144,11,185,4,class_0
285,19,4,1,2,3,1,1,19,4,1,2,3,1,1,1,18,10,692,70,8,920,1,class_0
290,193,47,10,21,29,24,6,1136,256,42,129,139,106,0,1,12,10,299,13,5,245,12,class_0
299,181,46,1,19,18,17,5,937,238,9,88,95,104,0,0,1,7,37,98,9,160,1,class_0
300,213,61,4,17,22,3,17,4061,1145,83,488,491,244,0,1,22,24,178,45,4,235,22,class_0
308,441,113,5,76,52,76,5,1546,397,17,226,149,191,0,1,15,4,160,290,11,425,15,class_0
312,580,207,8,107,71,105,5,2778,978,32,474,322,417,0,0,2,7,121,267,19,1600,2,class_0
314,593,172,22,82,100,57,1,593,172,22,82,100,57,0,1,3,1,1222,139,15,165,3,class_0
319,492,136,5,76,50,94,12,5511,1511,39,897,451,875,0,0,14,4,313,381,20,875,14,class_0
316,475,126,3,61,43,52,6,1700,433,7,217,93,146,0,1,4,7,37,113,7,385,14,class_0
320,573,144,9,85,60,78,8,3198,857,97,470,420,332,0,0,23,1,1314,131,12,960,23,class_0
321,631,170,9,77,44,31,11,4908,1457,30,775,357,249,0,1,9,12,408,4,3,1000,9,class_0
1,315,81,7,24,38,39,14,3449,835,69,321,414,375,1,1,8,10,632,43,10,475,8,class_1
7,496,141,20,65,78,37,11,5628,1575,225,828,838,354,1,0,13,21,200,11,3,500,4,class_1
9,321,87,10,39,42,30,2,396,101,12,48,46,33,1,0,13,1,805,40,4,91.5,13,class_1
10,323,81,6,26,32,8,2,341,86,6,32,34,8,1,1,0,23,143,290,19,75,0,class_1
4,202,53,4,31,26,27,9,1876,467,15,192,186,161,1,1,10,10,304,45,11,512.5,10,class_1
12,418,113,13,48,61,47,4,1512,392,41,205,204,203,1,0,21,21,211,11,7,550,17,class_1
16,196,43,7,29,27,30,13,3231,825,36,376,290,238,1,0,17,24,80,45,8,240,17,class_1
42,568,158,20,89,75,73,15,8068,2273,177,1045,993,732,1,1,5,7,105,290,10,775,5,class_1
41,127,32,8,16,22,14,8,727,180,24,67,82,56,1,1,18,10,202,22,2,135,18,class_1
14,413,92,16,72,48,65,1,413,92,16,72,48,65,1,0,17,12,280,9,5,100,17,class_1
34,426,109,3,55,43,62,1,426,109,3,55,43,62,0,1,4,17,361,22,2,115,17,class_1
29,472,116,16,60,62,74,6,1924,489,67,242,251,240,1,1,19,10,518,55,3,600,19,class_1
30,324,73,4,32,18,22,7,1931,491,13,291,108,180,1,0,4,12,222,3,3,708.333,4,class_1
27,474,129,10,50,56,40,10,2331,604,61,246,327,166,1,1,5,10,732,83,13,750,5,class_1
18,550,152,6,92,37,81,5,2308,633,32,349,182,308,1,1,8,4,262,329,16,625,8,class_1
23,419,108,6,55,36,22,3,591,149,8,80,46,31,1,1,8,12,226,7,4,110,8,class_1
31,517,141,27,70,87,52,9,3571,994,215,545,652,337,1,1,0,1,1378,102,8,737.5,0,class_1
19,379,106,10,38,60,30,14,6207,1906,146,859,803,571,1,1,10,7,72,170,24,850,10,class_1
33,268,60,5,24,25,15,2,350,78,5,34,29,18,1,1,19,10,442,59,6,90,19,class_1
26,241,61,1,34,12,14,1,241,61,1,34,12,14,1,1,18,4,166,172,10,137,18,class_1
20,216,54,0,21,18,15,18,7318,1926,46,796,627,483,1,1,10,24,103,84,5,750,10,class_1
25,200,57,6,23,14,14,9,2516,684,46,371,230,195,1,1,0,19,69,1,1,1600,0,class_1
56,416,132,7,57,49,33,3,932,273,24,113,121,80,1,1,19,7,73,177,18,215,19,class_1
54,526,146,13,71,70,84,6,2648,715,77,352,342,289,1,1,19,21,303,9,9,815,19,class_1
61,214,53,2,30,29,23,2,226,59,2,32,32,27,1,0,21,19,109,7,3,70,21,class_1
46,405,102,18,49,85,20,6,950,231,29,99,138,64,1,1,19,19,161,10,3,415,19,class_1
48,244,58,9,28,25,35,4,1335,333,49,164,179,194,1,1,18,17,142,14,2,340,18,class_1
60,313,78,6,32,41,12,12,3742,968,35,409,321,170,1,1,8,23,106,206,7,416.667,8,class_1
57,155,44,6,21,23,15,16,6631,1634,98,698,661,777,1,0,4,9,53,88,3,275,19,class_1
78,216,53,1,31,15,22,4,926,210,9,118,69,114,1,1,10,9,73,152,11,225,10,class_1
68,191,37,4,12,17,14,4,773,163,16,61,74,52,1,0,13,10,391,38,8,70,13,class_1
80,311,81,3,42,30,26,17,8247,2198,100,950,909,690,1,1,5,24,153,223,10,320,17,class_1
74,138,31,8,18,21,38,3,244,53,12,33,32,55,1,0,16,10,244,21,4,737.5,16,class_1
65,424,119,6,57,46,13,9,3651,1046,32,461,301,112,0,0,23,4,224,286,8,850,5,class_1
69,195,55,5,24,33,30,8,1313,338,25,144,149,153,1,0,14,19,83,2,1,277.5,14,class_1
85,255,70,7,49,35,43,15,6311,1661,154,1019,608,820,1,0,4,8,51,54,8,450,8,class_1
63,614,163,29,89,83,75,11,5017,1388,266,813,822,617,1,1,0,12,303,6,6,1900,0,class_1
83,637,174,31,89,116,56,14,6727,2024,247,978,1093,495,1,1,5,21,278,9,9,1041.667,5,class_1
76,475,123,27,76,93,72,4,1810,471,108,292,343,267,1,0,14,21,226,10,6,1220,14,class_1
88,278,69,3,24,21,29,8,2079,565,32,258,192,162,1,1,8,23,142,210,10,1300,8,class_1
86,382,119,13,54,58,36,12,2133,594,41,287,294,227,1,1,8,7,59,156,9,595,8,class_1
100,277,71,2,27,29,14,15,5952,1647,60,753,596,259,1,1,10,1,360,32,5,920,10,class_1
101,415,115,27,97,71,68,3,711,184,45,156,119,99,1,1,5,16,274,2,7,300,5,class_1
98,424,110,15,70,47,36,7,2130,544,38,335,174,258,1,1,5,12,292,6,3,490,19,class_1
106,420,95,23,55,58,37,3,646,139,31,77,77,61,1,1,10,16,206,10,7,1300,10,class_1
110,490,125,24,81,105,62,13,6063,1646,271,847,999,680,1,0,14,10,869,62,8,1925.571,14,class_1
121,574,152,31,91,101,64,3,985,260,53,148,173,95,1,1,8,1,1253,111,11,215,8,class_1
118,284,64,14,30,42,24,18,7023,1925,348,986,1239,666,1,0,14,16,96,4,4,140,14,class_1
122,408,94,4,42,36,66,9,3573,866,59,429,365,410,1,1,0,4,282,487,19,535,0,class_1
112,370,96,21,49,46,60,15,6986,1972,231,1070,955,921,1,0,4,16,137,5,9,733.333,4,class_1
125,354,77,16,36,55,41,20,8716,2172,384,1172,1267,1057,1,1,18,7,83,174,16,200,0,class_1
108,510,126,2,42,44,35,11,5562,1578,44,703,519,256,1,1,18,23,207,358,20,737.5,18,class_1
123,584,158,15,70,84,42,5,2358,636,58,265,316,134,1,0,16,21,331,20,4,662.5,16,class_1
135,306,104,14,50,58,25,7,2954,822,55,313,377,187,1,0,13,23,116,222,15,750,13,class_1
134,220,54,10,30,39,31,5,1185,299,40,145,154,128,1,0,14,9,50,136,20,297.5,14,class_1
132,143,39,5,18,30,15,9,639,151,16,80,97,61,1,1,19,1,138,15,1,175,19,class_1
133,185,40,4,23,11,18,3,524,125,7,58,37,47,1,0,13,19,97,2,2,90,13,class_1
171,284,69,1,33,18,25,5,1407,361,6,139,98,111,0,0,1,4,122,140,5,875,17,class_1
159,438,103,2,65,32,71,2,440,103,2,67,32,71,0,1,4,16,276,7,9,100,17,class_1
136,232,55,9,34,23,45,12,4405,1213,194,702,705,625,1,0,21,1,623,35,3,1300,21,class_1
168,479,133,10,48,72,55,17,7472,2147,153,980,1032,854,1,1,8,16,237,5,4,773.333,8,class_1
154,528,132,21,61,74,41,6,2641,671,97,273,383,226,1,0,4,10,885,105,8,1008.333,4,class_1
160,278,86,4,33,38,45,1,278,86,4,33,38,45,1,1,18,16,102,4,2,110,18,class_1
141,341,95,6,48,42,20,10,2964,808,81,379,428,221,1,1,19,16,158,4,5,100,19,class_1
149,537,147,23,58,88,47,10,2744,730,97,302,351,174,1,0,17,7,92,257,20,277.5,17,class_1
143,309,94,5,37,32,26,13,4618,1330,57,616,522,436,1,0,4,19,161,3,3,600,4,class_1
156,401,100,2,60,19,28,4,876,238,2,126,44,55,1,0,17,21,193,11,4,165,17,class_1
165,579,174,7,67,78,58,6,3053,880,32,366,337,218,1,0,17,4,280,479,5,657,17,class_1
139,165,39,2,13,9,16,3,196,44,2,18,10,18,0,1,12,10,332,19,2,75,13,class_1
162,315,76,13,35,60,25,3,630,151,24,68,94,55,1,0,16,10,498,39,13,155,16,class_1
172,591,157,16,90,78,26,4,2020,541,52,310,226,91,1,0,16,4,290,440,25,640,16,class_1
140,249,69,6,32,19,20,4,702,209,10,97,48,44,1,0,16,19,103,8,2,1000,16,class_1
152,429,91,12,41,42,57,13,5590,1397,83,578,579,644,0,1,9,10,686,46,4,825,4,class_1
169,453,101,3,46,43,61,3,948,218,6,96,72,91,1,1,19,23,249,444,16,195,19,class_1
158,184,47,5,20,28,18,11,3327,890,74,419,382,304,1,1,19,19,49,2,0,450,19,class_1
183,591,184,20,83,79,38,5,1689,462,40,219,195,82,1,1,8,21,303,12,5,630,8,class_1
175,181,58,6,34,23,22,1,181,58,6,34,23,22,1,1,5,19,88,0,3,86.5,5,class_1
178,490,150,21,69,58,35,14,6126,1839,121,983,707,600,0,0,14,19,96,5,3,1000,0,class_1
176,551,171,13,94,83,94,13,6090,1840,128,969,900,917,1,0,14,1,1199,149,5,1800,14,class_1
179,283,74,4,34,29,22,10,3919,1062,85,505,456,283,1,1,10,19,145,5,7,737.5,10,class_1
184,560,161,26,89,96,66,4,1789,470,65,233,260,155,1,1,18,12,332,9,8,625,14,class_1
185,328,91,12,51,43,33,2,342,94,12,51,44,33,1,0,14,20,145,59,8,125,18,class_1
177,586,159,12,72,79,53,9,3082,880,83,363,477,295,1,0,4,21,181,13,4,1043.333,4,class_1
