@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute class {class_0,class_1,class_2}

@data
31.6503,32.5821,6.3372,7.135,14.2588,13.6881,8.6403,18.4668,22.439,17.7415,20.0672,90.2609,24.2772,0,2,1,1,1,0,0,1,class_0
31.2046,32.6844,6.4678,7.0671,14.2588,13.3181,9.1443,20.0407,22.6883,19.1063,20.3609,89.9757,23.1737,0,2,1,1,1,0,0,1,class_0
32.0961,31.7637,7.9051,8.4261,14.5757,14.058,8.9283,18.0471,23.1869,16.8317,20.263,90.1183,21.9634,0,1,0,1,0,1,1,2,class_0
32.5419,31.5591,7.6438,7.8145,15.5262,13.6881,9.5763,19.8309,23.4363,18.1964,20.0183,89.1202,22.9245,0,1,0,1,0,1,1,2,class_0
32.5419,31.5591,5.8798,7.2709,14.5757,11.8383,10.5123,18.0471,22.0899,17.7415,20.9971,90.5461,25.4519,2,2,1,1,1,0,2,1,class_0
32.0961,31.5591,6.3372,7.4748,13.9419,12.5782,9.1443,17.7324,23.0373,16.8317,20.8993,89.5479,22.7821,2,2,1,1,1,0,2,1,class_0
32.5419,31.7637,7.0558,7.8825,15.2094,12.9482,9.8643,16.893,24.0346,15.0121,21.5845,90.5461,23.2093,1,2,0,0,1,1,1,1,class_1
32.5419,31.3545,7.4478,8.3582,15.5262,11.4684,11.3764,18.7816,24.4335,16.8317,21.4866,91.259,24.206,1,2,0,0,1,1,1,1,class_1
32.0961,32.0706,7.8398,7.4068,12.9913,12.2083,8.8563,17.1028,22.04,16.8317,22.7102,90.8313,25.9858,1,0,2,0,1,1,1,1,class_1
32.5419,31.4568,7.4478,7.8145,12.9913,11.4684,9.7203,18.6767,22.9376,17.7415,22.7591,90.4035,25.9858,1,0,2,0,1,1,1,1,class_1
34.325,29.9223,8.5584,9.4454,15.2094,13.6881,9.3603,18.257,23.6357,16.8317,20.9971,90.5461,24.0636,1,0,0,0,1,1,1,1,class_2
33.8792,30.0246,8.4931,9.4454,17.1106,12.5782,11.3044,18.8865,22.5387,18.1964,20.4098,90.9739,24.2772,1,0,0,0,1,1,1,1,class_2
31.2046,32.3775,5.5532,5.9798,14.2588,10.7285,10.9443,18.1521,23.2867,16.8317,20.9971,90.9739,24.6331,1,2,2,0,1,1,1,1,class_2
32.5419,30.0246,7.4478,7.8145,15.2094,11.0984,9.2163,18.257,22.2395,17.7415,22.7102,89.2627,23.7432,1,2,2,0,1,1,1,1,class_2
