@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8}

@data
3,17,6,0,2,1,0,11,0,0.25,0,0,0,6.696127,class_0
3,12,2,0,0,0,0,2,0,0,0,0,0,7.440914,class_0
3,8,5,5,3,5,0,0,15,0,5,0,2,9.765641,class_0
3,5,6,0,2,0,0,1,0,0,0,0,0,0.895233,class_1
4,0,1,0,0,0,1,7,0,0,0,0,0,0.048659,class_1
3,2,3,0,1,1,1,2,0,0,0,0,0,3.28997,class_1
3,9,2,1,1,1,6,-8,0,2,0,6,4,0.856008,class_2
4,6,8,6,3,6,11,11.5,2.25,2.25,4,5,2,0.765641,class_3
4,3,14,0,0,0,0,8,0,0,0,0,0,0.724429,class_3
3,7,0,2,1,14,23,20,0,9,0,6,3,0.141013,class_3
4,0,2,0,2,2,23,13.5,2,6,5,20,2,0.090367,class_3
4,3,2,3,2,2,0,2,0,3,0,4,2,6.57994,class_3
3,15,0,11,6,17,9,4.25,6.75,5.5,3,7,7,0.721946,class_4
3,0,1,0,1,0,2,0,1,1,1,6,6,9.084409,class_4
4,7,13,3,5,0,0,9,5,6,5,4,4,0.695134,class_5
3,5,0,0,4,2,0,4.25,1,0,9,6,2,0.046673,class_5
5,1,0,0,0,1,0,27,5,5,5,10,1,0.139027,class_6
3,13,0,0,0,0,0,0,0,0,0,0,0,0.088381,class_6
3,32,0,4,0,2,0,2.75,0,0,0,3,0,2.972195,class_6
3,16,0,4,0,7,0,0,15,15,25,25,0.75,2.298908,class_7
4,36,6,12,12,19,21,40,7,10,20,25,3,2.3714,class_8
