@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute class {class_0,class_1,class_2}

@data
-1,0,-1,-1,-1,0,-1,0,0,-1.66,class_1
1,0,1,1,-1,-1,1,1,-1,-5.91,class_1
1,-1,-1,1,1,-1,0,-1,-1,-2.52,class_1
-1,-1,1,1,1,-1,0,0,-1,5.93,class_1
-1,0,0,1,0,-1,0,-1,-1,1.52,class_1
-1,-1,-1,0,-1,1,-1,-1,-1,-4.78,class_1
1,0,-1,1,-1,1,0,1,1,-4,class_1
-1,-1,1,0,1,-1,-1,1,1,0.37,class_1
1,-1,-1,1,0,0,1,1,1,-2.58,class_1
1,1,0,-1,-1,0,-1,-1,0,-8.39,class_1
-1,1,-1,1,0,-1,0,1,-1,4.49,class_1
1,0,0,1,1,0,0,1,0,-2.93,class_1
-1,1,0,1,-1,0,-1,-1,0,3.55,class_1
1,-1,1,-1,0,0,-1,-1,-1,-2.92,class_1
1,1,0,0,0,-1,0,-1,1,-4.94,class_1
1,0,0,1,0,-1,1,0,1,-3.12,class_1
-1,1,0,-1,0,1,0,0,1,7.91,class_1
1,-1,-1,1,1,0,1,1,-1,1.54,class_1
-1,1,1,-1,1,1,-1,0,0,9.67,class_1
-1,-1,1,1,-1,-1,0,1,0,2.15,class_1
-1,1,0,1,1,1,-1,-1,-1,5.2,class_1
1,1,-1,-1,0,0,-1,1,0,-5.86,class_1
1,0,0,0,1,-1,-1,1,-1,-3.02,class_1
1,0,0,0,1,-1,1,0,1,-2.63,class_1
1,-1,-1,-1,1,1,0,1,1,0.73,class_1
-1,1,-1,1,1,0,0,-1,0,5.33,class_1
-1,0,1,1,1,0,0,1,0,5.67,class_1
1,0,0,1,1,1,-1,-1,1,0.77,class_1
-1,-1,0,-1,1,0,-1,1,-1,1.29,class_1
1,1,0,-1,1,0,0,1,1,0.25,class_1
1,0,1,0,-1,-1,-1,0,-1,-8.04,class_1
1,-1,-1,-1,0,0,0,1,1,-3.22,class_1
1,-1,-1,1,1,0,1,1,-1,1.88,class_2
-1,-1,0,-1,0,1,0,-1,1,-0.89,class_2
-1,0,0,1,1,1,0,-1,1,6.44,class_2
-1,0,0,0,1,-1,1,0,1,4.7,class_2
1,0,0,-1,0,0,0,1,-1,-4.5,class_2
1,0,1,-1,1,0,0,0,1,-0.76,class_2
1,0,-1,1,-1,1,-1,1,-1,-5.66,class_2
-1,0,-1,0,-1,0,1,0,-1,-1.57,class_2
1,-1,0,-1,0,1,0,1,0,0.88,class_2
1,-1,-1,0,0,0,1,-1,1,-2.88,class_2
-1,0,-1,-1,0,1,-1,0,-1,-0.5,class_2
1,1,1,-1,0,1,-1,-1,1,-3.36,class_2
1,-1,1,0,1,1,1,0,0,5.54,class_2
-1,1,1,0,0,-1,-1,0,0,7.54,class_2
1,1,0,-1,0,-1,-1,0,1,-6.52,class_2
-1,-1,0,-1,0,1,0,0,-1,1.26,class_2
1,-1,1,-1,0,-1,1,1,1,-4.71,class_2
-1,-1,-1,-1,0,0,-1,1,0,-1.57,class_2
1,0,0,-1,-1,1,-1,-1,0,-2.77,class_2
1,-1,-1,-1,0,1,1,-1,0,-0.46,class_2
-1,1,0,0,1,1,-1,0,1,8.55,class_2
1,-1,-1,1,-1,1,1,1,-1,-3.65,class_2
1,0,-1,-1,1,0,-1,-1,1,-1.36,class_2
-1,-1,-1,1,1,1,-1,1,1,0.2,class_2
1,-1,-1,1,-1,1,1,0,-1,-2.06,class_2
-1,0,1,-1,1,0,-1,0,1,5.23,class_2
-1,-1,1,0,0,1,0,0,-1,1.97,class_2
1,1,-1,-1,-1,-1,0,1,-1,-6.55,class_2
-1,0,1,-1,0,-1,1,1,0,7.01,class_2
-1,1,-1,0,1,1,0,1,0,3.34,class_2
-1,1,-1,-1,0,-1,-1,-1,0,4,class_2
1,-1,-1,0,0,1,1,-1,0,-2.24,class_2
1,1,0,-1,1,-1,-1,0,0,-3.16,class_2
1,1,1,0,-1,-1,-1,1,0,-8.11,class_2
1,-1,0,-1,0,0,-1,0,-1,-4.01,class_2
-1,-1,0,-1,0,1,0,1,-1,1.41,class_2
-1,1,-1,-1,1,1,0,-1,-1,4.12,class_2
1,-1,0,1,-1,-1,0,-1,0,-9.78,class_2
-1,1,0,1,1,1,1,1,0,8.09,class_2
-1,1,-1,1,-1,0,1,0,-1,3.11,class_2
1,-1,1,1,0,1,1,1,-1,-0.85,class_2
-1,0,0,0,1,1,1,0,-1,2.44,class_2
1,-1,1,1,-1,1,0,1,0,-5.93,class_2
-1,0,-1,-1,0,1,1,-1,-1,0.44,class_2
-1,-1,1,1,1,1,1,1,-1,2.05,class_2
1,1,-1,-1,0,0,0,-1,1,-2.92,class_2
-1,0,-1,0,0,1,1,-1,-1,1.85,class_2
1,0,1,-1,1,-1,1,0,0,-1.4,class_2
-1,-1,0,-1,1,0,-1,1,0,1.15,class_2
1,1,0,-1,-1,-1,1,-1,-1,-4.99,class_2
-1,0,0,1,1,1,0,0,-1,3.18,class_2
-1,0,-1,0,0,1,-1,1,-1,-0.12,class_2
1,0,1,1,1,-1,-1,1,1,-1.26,class_2
1,-1,0,-1,0,1,0,1,1,-1.64,class_2
-1,0,1,1,0,1,1,-1,0,5.35,class_2
1,-1,-1,1,-1,0,-1,0,0,-5.47,class_2
1,0,-1,1,-1,1,-1,0,-1,-4.93,class_2
-1,-1,-1,0,0,-1,0,-1,0,-1.66,class_2
1,0,0,1,0,0,-1,1,-1,-3.93,class_2
1,0,-1,-1,0,0,1,0,-1,-0.02,class_2
1,0,1,0,-1,-1,1,1,-1,-6.82,class_2
-1,1,1,0,1,1,-1,1,1,9.15,class_2
-1,0,0,-1,0,0,0,1,1,1.63,class_2
-1,0,-1,0,-1,1,0,-1,0,2.1,class_2
-1,-1,1,-1,1,1,0,-1,-1,2.68,class_2
1,-1,-1,-1,0,1,1,1,1,0.15,class_2
1,0,0,-1,-1,-1,-1,0,1,-9.64,class_2
1,-1,1,1,0,0,0,0,0,-2.75,class_2
-1,0,-1,1,1,-1,1,-1,1,0.81,class_2
1,-1,0,1,1,0,0,-1,0,-2.35,class_2
-1,-1,-1,0,1,0,-1,0,-1,-0.77,class_2
1,0,-1,0,-1,0,0,-1,1,-5.33,class_2
1,1,1,1,0,-1,-1,-1,-1,-3.95,class_2
1,-1,0,-1,0,1,0,0,1,-1.19,class_2
-1,1,0,1,0,0,1,0,1,4.67,class_2
