@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5}

@data
98,1,51,1978,3,950,6,1,0,2,2,2,class_3
52,0,27,1902,3,1850,2,1,0,2,1,2,class_4
56,1,11,1904,2,1504,2,1,0,2,2,2,class_4
61,2,46,1910,2,1620,2,1,0,2,2,2,class_4
63,2,40,1911,3,1652,2,1,0,2,2,2,class_4
3,2,43,1927,3,1770,2,1,0,2,2,1,class_4
78,1,47,1927,3,2663,4,0,1,2,1,1,class_4
72,1,0,1927,3,1330,4,1,0,2,2,2,class_4
80,1,12,1928,3,2220,2,1,1,2,1,1,class_4
85,0,27,1939,3,1800,4,1,1,2,1,2,class_4
5,2,45,1945,3,2160,2,1,0,2,2,2,class_4
87,1,10,1951,3,1031,4,1,0,2,2,2,class_4
67,0,30,1918,2,2300,2,0,1,2,2,2,class_5
101,1,2,1937,3,1690,4,0,1,2,2,1,class_5
9,0,34,1945,3,1060,4,1,1,2,1,1,class_5
6,0,32,1945,3,1710,2,0,1,2,1,1,class_5
106,1,14,1951,3,900,4,1,0,2,1,2,class_5
88,1,5,1951,3,2423,4,1,1,2,2,2,class_5
95,0,30,1955,3,2300,4,0,1,2,2,2,class_5
4,2,44,1959,3,1700,2,1,0,2,2,2,class_5
93,0,26,1961,3,980,4,1,1,2,1,1,class_5
92,1,53,1962,3,2213,4,1,1,2,2,2,class_5
10,0,20,1986,3,1150,2,1,0,2,2,2,class_5
