@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14}

@data
27,180,512,4000,0,3,24,class_3
27,180,262,4000,0,3,24,class_3
27,180,512,4000,0,3,24,class_3
27,124,1000,8000,0,8,37,class_3
4,200,512,16000,0,32,64,class_4
5,167,524,2000,8,15,23,class_4
16,140,2000,4000,0,8,29,class_4
22,38,8000,16000,64,8,142,class_4
22,38,8000,24000,160,8,281,class_4
24,250,512,4000,0,7,24,class_4
26,105,2000,8000,16,14,47,class_4
26,52,4000,16000,32,12,99,class_4
5,143,512,5000,0,32,29,class_5
5,143,1000,2000,0,16,22,class_6
5,143,1500,6300,0,32,35,class_6
5,143,3100,6200,0,20,39,class_6
21,60,2000,16000,64,8,107,class_6
21,60,4000,16000,64,8,117,class_6
21,50,4000,16000,64,10,119,class_6
27,116,2000,8000,32,28,56,class_6
5,143,2300,6200,0,64,40,class_7
5,110,3100,6200,0,64,45,class_7
15,300,768,3000,0,24,23,class_7
15,300,768,3000,6,24,25,class_7
15,300,768,12000,6,24,52,class_7
15,300,192,768,6,24,18,class_7
17,57,4000,16000,1,12,82,class_7
17,17,4000,16000,8,12,101,class_7
17,17,4000,16000,32,12,116,class_7
19,50,2000,16000,24,16,88,class_7
19,50,2000,16000,24,16,88,class_7
21,72,2000,8000,16,8,48,class_7
26,105,2000,6000,16,16,41,class_7
26,70,4000,12000,8,8,67,class_7
26,59,4000,12000,32,12,81,class_7
27,50,2000,32000,24,26,182,class_7
7,25,1310,2620,131,24,102,class_8
7,25,1310,2620,131,24,102,class_8
7,50,2620,10480,30,24,74,class_8
7,50,2620,10480,30,24,74,class_8
7,56,5240,20970,30,24,138,class_8
7,64,5240,20970,30,24,136,class_8
17,57,4000,24000,64,16,171,class_8
26,59,8000,16000,64,24,149,class_8
26,26,8000,32000,64,16,275,class_8
27,30,8000,64000,96,176,919,class_8
27,30,8000,64000,128,176,978,class_8
8,50,1000,4000,8,5,30,class_9
8,50,1000,8000,8,5,41,class_9
8,50,2000,16000,8,5,74,class_9
8,50,2000,16000,8,6,74,class_9
8,50,2000,16000,8,6,74,class_9
9,133,1000,12000,9,12,54,class_9
9,133,1000,8000,9,12,41,class_9
14,90,256,1000,0,10,18,class_9
14,105,256,2000,0,10,20,class_9
14,105,1000,4000,0,24,28,class_9
14,105,2000,4000,8,19,33,class_9
14,75,2000,8000,8,24,47,class_9
14,75,3000,8000,8,48,54,class_9
14,175,256,2000,0,24,20,class_9
16,300,1000,4000,8,64,30,class_9
16,330,1000,4000,0,6,25,class_9
16,140,2000,4000,0,6,28,class_9
17,900,2000,4000,0,6,28,class_9
17,225,2000,4000,8,6,31,class_9
17,225,2000,4000,8,6,31,class_9
17,225,1000,4000,2,6,26,class_9
17,25,2000,12000,16,5,65,class_9
18,50,2000,4000,0,6,30,class_9
18,50,2000,8000,8,6,44,class_9
19,100,1000,8000,24,6,46,class_9
19,50,2000,16000,12,16,80,class_9
25,160,512,2000,2,8,20,class_9
26,105,2000,4000,8,8,31,class_9
16,330,1000,3000,0,4,23,class_10
16,300,1000,16000,8,112,73,class_10
19,100,1000,8000,0,6,37,class_10
19,100,1000,8000,24,6,46,class_10
27,98,1000,8000,32,8,50,class_10
28,125,2000,8000,0,14,41,class_10
17,1500,768,1000,0,0,18,class_11
17,1500,768,2000,0,0,20,class_11
17,800,768,2000,0,0,20,class_11
29,480,512,8000,32,0,47,class_11
29,480,1000,4000,0,0,25,class_11
26,26,8000,32000,128,32,382,class_12
27,50,2000,32000,48,52,227,class_13
27,50,2000,32000,112,104,341,class_14
27,50,4000,32000,112,104,360,class_14
