@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute class {class_0,class_1}

@data
14,1217,2,0,20535,1,1023,1,1,0,1,0.8,393,2.27,728,71,156,11,class_0
14,1217,2,0,20535,1,381,0,1,1,0.5,1.1,372,2.51,850,76,137,11,class_0
14,1217,2,0,20535,1,751,1,1,1,1,0.8,190,2.65,605,86,123,11.9,class_0
14,1217,2,0,20535,1,886,1,1,0,1,0.6,235,2.55,429,72,96,11.9,class_0
14,1217,2,0,20535,1,916,1,1,0,0.5,0.7,342,2.26,430,34,133,11.7,class_0
14,1217,2,0,20535,1,7,0,1,0,0.5,1.2,193,2.39,610,71,101,11.7,class_0
14,1217,2,0,20535,1,99,0,1,0,0.5,0.9,393,2.39,3116,71,258,11.9,class_0
15,3584,2,1,23612,0,751,0,1,0,0,0.8,414,4.18,1548,99.2,268,10.4,class_0
15,3584,2,1,23612,0,938,0,1,0,0,0.7,269,3.6,1589,88.4,221,10.1,class_0
15,3584,2,1,23612,0,69,0,1,0,0,0.7,219,3.56,1544,117.8,272,10,class_0
15,3584,2,1,23612,0,189,0,1,0,0,1.2,364,3.72,1648,117.8,190,9.8,class_0
15,3584,2,1,23612,0,362,0,1,1,0,2.1,250,3.1,1453,91.5,181,10.4,class_0
15,3584,2,1,23612,0,414,0,1,1,0,3.3,260,3.01,1705,127.1,184,10.7,class_0
15,3584,2,1,23612,0,515,0,1,1,1,3.7,169,2.54,616,80.6,196,10.5,class_0
15,3584,2,1,23612,0,605,1,1,1,1,6,219,2.47,1273,114,98,10.7,class_0
15,3584,2,1,23612,0,728,1,0,1,1,11.4,414,2.4,3525,114,258,13,class_0
16,4345,0,0,14772,0,480,0,0,0,0,0.8,215,3.58,617,66,210,10.3,class_0
16,4345,0,0,14772,0,571,0,0,0,0,0.6,225,3.94,611,56,229,11.1,class_0
16,4345,0,0,14772,0,644,0,0,0,0,0.8,214,3.29,744,75,244,10.7,class_0
16,4345,0,0,14772,0,702,0,0,0,0,0.7,246,3.64,1050,112,243,11.1,class_0
16,4345,0,0,14772,0,767,0,0,0,0,0.9,270,3.59,827,105,219,11.4,class_0
16,4345,0,0,14772,0,815,0,0,0,0,0.9,306,3.51,1004,120,231,11.8,class_0
17,769,2,0,19060,0,1023,0,1,0,0,2.7,274,3.15,1533,117.8,224,10.5,class_0
17,769,2,0,19060,0,747,0,1,1,1,4.5,266,3.3,1255,202,216,10.6,class_0
17,769,2,0,19060,0,899,1,1,1,1,13.6,246,2.44,539,141,322,12.1,class_0
18,132,2,1,19698,0,1023,0,1,1,1,11.4,178,2.8,961,280.6,283,12.4,class_0
19,4901,0,1,18102,0,302,0,1,1,0,0.5,294,3.73,910,55.8,224,9.9,class_0
19,4901,0,1,18102,0,613,0,1,0,0,0.5,196,4.11,901,48,182,10.6,class_0
19,4901,0,1,18102,0,682,0,1,0,0,0.5,201,3.39,998,57,178,10.3,class_0
19,4901,0,1,18102,0,745,0,1,0,0,0.8,198,3.45,1234,73,233,10.8,class_0
19,4901,0,1,18102,0,803,0,1,0,0,0.8,206,3.53,987,75,181,11.7,class_0
19,4901,0,1,18102,0,841,0,1,0,0,0.9,218,3.71,997,67,195,11.6,class_0
19,4901,0,1,18102,0,861,0,1,0,0,0.8,197,3.3,798,59,162,11.9,class_0
20,1356,2,0,21898,0,1023,0,1,0,0,5.1,374,3.51,1919,122.5,322,13,class_0
20,1356,2,0,21898,0,289,0,1,0,0,15.3,294,3.42,2172,156.6,437,11,class_0
20,1356,2,0,21898,0,692,0,1,0,0,11.1,260,3.12,2172,156.6,506,10.7,class_0
20,1356,2,0,21898,0,122,0,1,1,0,32,408,2.4,946,156.6,327,19,class_0
21,3657,2,0,23445,1,1023,0,1,1,0,0.6,252,3.83,843,65.1,336,11.4,class_0
21,3657,2,0,23445,1,263,0,1,0,0,0.6,275,3.74,810,76,328,11.6,class_0
21,3657,2,0,23445,1,765,0,1,1,0,0.6,253,3.6,843,65.1,238,11.2,class_0
21,3657,2,0,23445,1,914,0,1,1,0,1.2,288,3.47,1377,113.2,218,10.9,class_0
21,3657,2,0,23445,1,40,0,1,1,0,1.7,414,3.2,1211,99.2,294,11.6,class_0
21,3657,2,0,23445,1,162,0,1,1,0,1.7,425,3.22,1150,148.8,160,11.6,class_0
21,3657,2,0,23445,1,288,0,1,1,0,2.4,214,2.88,882,144,160,11.7,class_0
21,3657,2,0,23445,1,427,0,0,1,0,3.3,425,2.63,769,146,128,12.5,class_0
21,3657,2,0,23445,1,536,0,1,1,0,3.2,202,2.74,710,105,103,13.1,class_0
21,3657,2,0,23445,1,616,0,1,1,0,3.7,351,2.54,575,103,119,13.3,class_0
21,3657,2,0,23445,1,683,0,1,1,1,3.3,129,2.14,470,73,95,14.1,class_0
21,3657,2,0,23445,1,723,0,1,0,1,7.8,258,2.4,1165,73,214,13.8,class_0
22,673,2,1,20555,0,1023,0,0,1,0,3.4,271,3.63,1376,120.9,173,11.6,class_0
22,673,2,1,20555,0,321,1,0,1,0.5,2.1,273,2.77,1820,116.3,137,11.1,class_0
22,673,2,1,20555,0,737,0,0,1,0.5,2.4,576,2.37,1756,148.8,182,11.7,class_0
23,264,2,0,20442,0,1023,1,1,1,1,17.4,395,2.94,6065,227,214,11.7,class_0
23,264,2,0,20442,0,294,1,1,1,1,19.5,391,2.45,949,167.4,252,21,class_0
25,4796,0,0,16463,0,626,0,0,1,0,0.6,285,3.45,838,72,110,10.7,class_0
25,4796,0,0,16463,0,676,0,0,0,0,0.5,260,3.37,1020,67,98,10.9,class_0
25,4796,0,0,16463,0,746,0,0,1,0,0.7,226,2.83,1560,75,148,10.7,class_0
26,1444,2,0,19002,0,777,0,1,0,0,5.8,321,2.94,2920,210.8,302,10.4,class_0
26,1444,2,0,19002,0,943,1,1,1,0.5,6,634,2.6,2466,207.7,360,11.6,class_0
26,1444,2,0,19002,0,38,1,1,1,1,9,508,2.54,2061,241,272,10.4,class_0
26,1444,2,0,19002,0,149,0,0,0,1,16.2,391,1.81,4315,241,288,12.5,class_0
27,77,2,0,19884,0,1023,1,1,1,0.5,21.6,175,3.31,3697,101.9,80,12,class_0
28,549,2,0,16417,0,1023,1,1,1,1,17.2,222,3.23,1975,189.1,144,13,class_0
28,549,2,0,16417,0,279,1,1,1,1,15,351,3.03,1485,164.3,155,13,class_0
28,549,2,0,16417,0,773,1,1,1,1,21.3,351,2.59,1257,162.8,143,13,class_0
29,5074,2,0,23331,0,497,0,1,0,0,1,260,3.44,1237,99.2,247,9.7,class_0
29,5074,2,0,23331,0,705,1,1,1,1,2.2,261,2.6,836,117,144,11.3,class_0
29,5074,2,0,23331,0,840,1,1,1,1,1.4,242,2.47,830,73,163,12.4,class_0
30,321,2,0,15116,0,1023,0,1,1,0,3.6,260,2.54,7277,121.3,124,11,class_0
30,321,2,0,15116,0,279,0,1,1,0.5,15.2,351,2.9,2432,206.2,272,21,class_0
30,321,2,0,15116,0,634,1,1,1,0.5,36,269,2.9,1904,300.7,116,13.1,class_0
31,3839,2,0,15177,0,528,0,1,0,0,1.9,301,3.04,875,244.9,289,10.1,class_0
31,3839,2,0,15177,0,617,0,0,1,0,2.8,267,3.81,708,234,182,10.1,class_0
31,3839,2,0,15177,0,685,0,0,1,0,6,192,3.32,690,197,129,11.6,class_0
31,3839,2,0,15177,0,735,0,0,1,0,12,219,2.89,995,211,120,12.6,class_0
32,5192,0,0,19722,0,1023,0,1,0,0.5,1.8,262,3.34,7277,82.6,286,10.6,class_0
32,5192,0,0,19722,0,294,0,0,0,0,1.9,408,4.05,2144,116.3,223,10.5,class_0
32,5192,0,0,19722,0,747,0,0,0,0,1.6,656,4.03,1704,96.1,241,11.5,class_0
32,5192,0,0,19722,0,931,0,0,0,0.5,1.3,360,3.5,1681,89.9,225,10.1,class_0
32,5192,0,0,19722,0,47,0,0,0,0.5,1.4,500,4.08,1655,107,250,10.6,class_0
32,5192,0,0,19722,0,297,0,1,0,0.5,1.2,248,3.7,1607,99.2,176,9.6,class_0
32,5192,0,0,19722,0,434,0,1,0,0.5,1,434,3.49,1607,89.9,176,9.9,class_0
32,5192,0,0,19722,0,532,0,1,0,0.5,1,391,3.49,1474,91.5,192,10.7,class_0
32,5192,0,0,19722,0,625,0,1,0,0.5,0.7,220,3.32,1286,83,178,9.7,class_0
32,5192,0,0,19722,0,684,0,0,0,0.5,0.7,214,3.46,1261,80,212,10.5,class_0
32,5192,0,0,19722,0,753,0,0,0,0.5,0.7,231,3.47,1026,67,159,10.9,class_0
32,5192,0,0,19722,0,806,0,1,0,0.5,0.8,207,3.2,1141,67,204,10.7,class_0
32,5192,0,0,19722,0,847,0,0,0,0.5,0.8,197,3.46,902,60,159,10.7,class_0
32,5192,0,0,19722,0,865,0,0,0,0.5,0.5,205,3.81,1038,82,166,11.4,class_0
32,5192,0,0,19722,0,878,0,0,0,0.5,0.9,200,3.32,866,61,132,11.1,class_0
33,3170,2,0,18731,0,233,0,0,0,0,1.3,335,3.71,2017,170.5,251,9.7,class_0
33,3170,2,0,18731,0,377,0,1,0,0,1.2,434,3.72,1393,125.6,149,9.9,class_0
33,3170,2,0,18731,0,488,0,0,0,0,1,202,3.6,2002,113.2,177,9.8,class_0
34,4602,0,1,19015,0,154,0,0,0,0.5,0.8,502,3.85,950,91.5,279,10.5,class_0
34,4602,0,1,19015,0,446,0,0,0,0.5,1.4,348,3.32,1082,117,212,9.9,class_0
35,2847,2,0,17758,0,774,0,1,0,0.5,3.5,235,3.67,3112,130.2,422,10.9,class_0
35,2847,2,0,17758,0,945,0,1,0,0,4.2,271,3.7,2780,117.8,473,10.5,class_0
36,4281,0,0,20604,0,252,0,0,1,0,0.8,201,3.24,6538,79.1,193,10.5,class_0
36,4281,0,0,20604,0,383,0,1,0,0,0.8,214,3.32,493,53,213,10.6,class_0
36,4281,0,0,20604,0,500,0,1,1,0,0.6,239,2.86,582,72,40,11.3,class_0
36,4281,0,0,20604,0,587,0,1,1,0,0.5,219,2.94,678,60,272,11.8,class_0
36,4281,0,0,20604,0,655,1,1,1,0.5,0.3,192,2.59,383,52,101,11.3,class_0
36,4281,0,0,20604,0,797,0,1,1,0,0.7,236,2.76,761,43,220,12.3,class_0
37,223,2,1,22546,0,1023,1,1,0,1,7.1,334,3.01,6931,180.6,102,12,class_0
37,223,2,1,22546,0,152,1,1,1,1,13.5,390,2.38,1737,218.6,114,13.3,class_0
38,3244,2,0,13378,0,1023,0,1,1,0,3.3,383,3.53,1234,138,234,11,class_0
38,3244,2,0,13378,0,838,0,1,1,0,5.2,414,2.69,2000,103.9,306,10.9,class_0
38,3244,2,0,13378,0,895,0,1,1,0,3.3,246,3.19,1536,156.6,192,11.6,class_0
38,3244,2,0,13378,0,270,0,1,0,0,1.5,656,2.87,1364,110.1,321,10.8,class_0
38,3244,2,0,13378,0,472,0,1,0,0,2.7,161,2.58,1235,127,204,11.1,class_0
38,3244,2,0,13378,0,569,0,1,0,0,2.5,168,2.31,1226,79,191,11.1,class_0
38,3244,2,0,13378,0,618,0,1,0,0.5,4.3,219,2.1,909,69,169,13.7,class_0
38,3244,2,0,13378,0,662,0,0,0,0.5,5.6,368,1.9,1428,69,264,11.9,class_0
39,2297,2,1,20232,0,1023,0,1,0,0,0.7,282,3,9067,72.2,563,10.6,class_0
39,2297,2,1,20232,0,326,0,1,0,0,0.4,560,3.25,1608,94.6,475,11,class_0
39,2297,2,1,20232,0,707,1,1,0,0.5,0.7,254,2.96,1549,125.6,675,11,class_0
39,2297,2,1,20232,0,936,1,1,1,1,0.5,340,3.77,1343,65.1,713,10,class_0
39,2297,2,1,20232,0,71,0,0,0,0.5,0.6,411,2.98,1034,116.3,991,11.1,class_0
39,2297,2,1,20232,0,184,0,1,1,1,1,250,3.1,1343,156.6,490,10.8,class_0
39,2297,2,1,20232,0,333,0,1,1,1,4.3,434,3.18,1639,181.4,549,10,class_0
39,2297,2,1,20232,0,463,0,1,0,0.5,10.5,275,2.6,1034,258.9,556,10.3,class_0
40,5136,0,1,17046,0,1023,0,0,0,0,1.3,560,3.34,11047,104.5,358,11,class_0
40,5136,0,1,17046,0,294,0,0,0,0,1.2,656,3.5,2586,116.3,166,11,class_0
40,5136,0,1,17046,0,692,0,1,0,0,0.8,281,3.9,1913,141.1,114,11.7,class_0
40,5136,0,1,17046,0,988,0,0,0,0,3.2,208,3.93,1517,144.2,147,11.2,class_0
40,5136,0,1,17046,0,95,0,0,1,0,4.8,291,3.68,1228,162.8,168,10.5,class_0
40,5136,0,1,17046,0,215,0,0,1,0,5,368,3.48,1699,170.5,122,11.9,class_0
40,5136,0,1,17046,0,355,0,0,1,0,8,304,3.17,1518,139.5,133,10.8,class_0
40,5136,0,1,17046,0,474,0,1,1,0,7.6,293,3.37,1645,124,100,10,class_0
40,5136,0,1,17046,0,559,0,0,1,0,9.7,247,3.27,1695,224.8,97,10.3,class_0
40,5136,0,1,17046,0,635,0,0,1,0,7.4,221,2.89,1699,141,120,10,class_0
40,5136,0,1,17046,0,695,1,1,1,0.5,4.7,229,3.33,1399,94,155,11.4,class_0
40,5136,0,1,17046,0,769,0,1,1,0.5,12,196,3.15,1602,105,171,11.7,class_0
40,5136,0,1,17046,0,818,0,1,1,0,5.6,269,2.72,1576,77,183,12,class_0
40,5136,0,1,17046,0,850,0,0,1,1,7.3,388,2.98,1776,168,156,12.6,class_0
40,5136,0,1,17046,0,868,0,1,1,1,18,192,2.88,1195,144,222,12.7,class_0
41,1350,2,1,12285,0,1023,0,1,0,0,6.8,342,3.26,1215,151.9,226,11.7,class_0
41,1350,2,1,12285,0,634,1,1,0,1,2.1,248,3.27,1648,125.6,171,12.2,class_0
41,1350,2,1,12285,0,978,0,1,0,0.5,4.8,219,3.44,2192,116.3,116,11.7,class_0
41,1350,2,1,12285,0,82,0,1,1,1,16.2,293,2.73,1240,145.7,109,13.6,class_0
42,5122,0,0,12307,0,1023,0,1,1,0,2.1,294,3.54,8778,56.8,344,11,class_0
42,5122,0,0,12307,0,732,0,0,1,0,2.1,253,4.18,1606,139.5,358,11.6,class_0
42,5122,0,0,12307,0,882,0,1,1,0,2.4,296,3.43,1272,119.4,305,11,class_0
42,5122,0,0,12307,0,917,0,1,1,0,2.1,393,4.24,1712,124,249,10.4,class_0
42,5122,0,0,12307,0,41,0,1,1,0,3,340,4.11,1488,147.3,357,12.4,class_0
42,5122,0,0,12307,0,163,1,1,1,0,2.2,294,3.43,1481,170.5,475,11,class_0
42,5122,0,0,12307,0,307,0,0,1,0,5.2,741,3.35,2022,176.7,357,10.7,class_0
42,5122,0,0,12307,0,421,0,0,1,0,4.4,260,3.29,1709,285.2,240,10.7,class_0
42,5122,0,0,12307,0,529,0,1,1,0,6.1,247,3.31,1085,170.5,186,10.8,class_0
42,5122,0,0,12307,0,602,1,1,1,0.5,5.8,245,3.38,1179,169,183,10.6,class_0
42,5122,0,0,12307,0,689,0,1,1,0,9.3,230,3.19,1448,232,191,11.4,class_0
42,5122,0,0,12307,0,748,0,1,1,0,14.2,297,3.05,1572,188,301,10.8,class_0
42,5122,0,0,12307,0,805,1,1,1,0.5,12.2,250,2.91,2604,236,237,11.6,class_0
42,5122,0,0,12307,0,844,0,1,1,0,13.8,330,2.83,2979,238,261,12,class_0
42,5122,0,0,12307,0,869,1,1,1,0,10.5,329,2.86,3340,264,231,12,class_0
42,5122,0,0,12307,0,875,0,1,1,0.5,13,261,2.34,2337,217,152,12.6,class_0
43,5225,0,1,17850,0,653,0,0,0,0,0.7,276,3.62,760,61,105,10.1,class_0
43,5225,0,1,17850,0,717,0,0,0,0,0.9,298,3.61,765,72,99,10.8,class_0
43,5225,0,1,17850,0,785,0,0,0,0,1.1,322,3.36,942,71,83,10.7,class_0
43,5225,0,1,17850,0,824,0,0,0,0,1.3,317,2.99,833,72,80,11.1,class_0
43,5225,0,1,17850,0,853,0,0,0,0,1.1,317,3.23,856,74,72,12.2,class_0
43,5225,0,1,17850,0,870,1,1,0,0,1.1,273,3.1,802,53,70,12.2,class_0
44,3428,2,0,13727,0,360,0,1,1,1,3.3,248,2.97,772,97.7,141,11.5,class_0
44,3428,2,0,13727,0,484,0,1,1,1,2.9,228,2.8,902,98,131,10.9,class_0
44,3428,2,0,13727,0,572,0,1,1,1,4.8,265,2.74,783,169,99,11,class_0
44,3428,2,0,13727,0,646,0,1,1,0.5,10,186,2.44,1185,204,155,12.4,class_0
44,3428,2,0,13727,0,708,0,0,0,0.5,29.4,301,1.9,1346,204,214,16.1,class_0
46,2256,2,1,16728,0,928,0,1,0,0,2.2,425,3.63,2844,165.9,65,10.8,class_0
46,2256,2,1,16728,0,27,0,1,0,0,3,247,3.13,2356,117.8,84,11.5,class_0
46,2256,2,1,16728,0,149,0,1,0,0,5.7,374,2.9,1612,151.9,223,12,class_0
46,2256,2,1,16728,0,292,0,1,0,1,9.9,258,2.6,1190,178.3,79,12.4,class_0
46,2256,2,1,16728,0,424,0,1,1,1,16.5,335,2.75,881,266.6,110,13.4,class_0
47,3245,0,0,17323,0,770,0,0,0,0,0.6,246,3.6,1874,167.4,307,10.1,class_0
47,3245,0,0,17323,0,976,0,1,0,0,0.6,309,3.44,1389,159.7,236,10.4,class_0
47,3245,0,0,17323,0,88,0,0,0,0,0.5,289,3.29,1140,92,208,10.5,class_0
47,3245,0,0,17323,0,203,0,0,0,0,0.5,287,2.94,1028,79,190,10.9,class_0
47,3245,0,0,17323,0,482,0,1,0,0,0.9,311,3.26,1420,99,151,11.5,class_0
49,708,2,0,22336,0,1023,0,1,0,0,0.8,301,3.82,678,97.7,233,11,class_0
49,708,2,0,22336,0,279,0,1,0,0,0.8,312,3.82,4356,97.7,275,11,class_0
49,708,2,0,22336,0,729,0,1,1,0,4.5,228,3.43,964,170.5,165,12.5,class_0
49,708,2,0,22336,0,880,0,0,1,0,3.1,294,2.31,536,170.5,316,11.3,class_0
50,2598,2,1,19544,0,1023,0,1,0,0,1.1,257,3.36,1080,107,128,10.6,class_0
50,2598,2,1,19544,0,432,0,1,0,0.5,1.1,253,3.5,910,85.3,104,11,class_0
52,2386,2,1,18460,1,713,0,0,0,0,2.4,500,2.87,3152,186,352,11,class_0
52,2386,2,1,18460,1,903,0,0,0,0,9,393,3.05,3572,195.3,294,11.7,class_0
52,2386,2,1,18460,1,256,0,0,1,0.5,13.8,272,2.81,1530,189.1,154,12.6,class_0
52,2386,2,1,18460,1,396,0,1,1,0.5,16,390,3.08,1310,210.8,191,12.7,class_0
52,2386,2,1,18460,1,494,1,1,1,1,27.1,372,2.9,866,210.8,108,13.5,class_0
53,1000,2,1,24621,0,1023,0,1,0,0,2.6,258,3.1,6456,56.8,214,11,class_0
53,1000,2,1,24621,0,285,0,1,1,0,3,372,3.31,1610,99.2,394,12.1,class_0
53,1000,2,1,24621,0,1006,0,0,0,0,12.6,408,2.1,1048,99.2,292,15.3,class_0
54,1434,2,1,14317,0,1023,1,1,1,1,1.3,288,3.4,5487,73.5,254,11,class_0
54,1434,2,1,14317,0,285,0,1,1,0.5,1.5,221,3.22,1580,71.3,112,18,class_0
54,1434,2,1,14317,0,741,0,0,0,0.5,2.6,741,3.48,2127,86.8,207,10.9,class_0
54,1434,2,1,14317,0,927,0,1,1,0.5,3.4,390,3.48,1656,134.9,127,11,class_0
54,1434,2,1,14317,0,67,0,1,1,1,18.6,304,3.71,1152,179.8,108,12.1,class_0
55,1360,2,1,24020,1,969,0,1,1,0,3.5,296,3.55,1629,134.9,97,10.4,class_0
55,1360,2,1,24020,1,71,0,1,1,0,8.1,296,3.2,1514,182.9,81,12.4,class_0
55,1360,2,1,24020,1,118,1,0,0,0,17,351,2.9,2516,182.9,333,12.4,class_0
56,1847,2,0,12279,0,968,0,1,1,0.5,9,560,3.96,6360,303.8,638,10.3,class_0
56,1847,2,0,12279,0,131,0,1,1,0.5,11.1,1230,3.01,4496,220.1,285,11.8,class_0
56,1847,2,0,12279,0,308,0,0,0,0.5,41,353,3.35,2460,220.1,196,12.4,class_0
57,3282,2,1,19567,0,759,0,1,1,0.5,1.4,328,2.71,1571,103.9,200,11.6,class_0
57,3282,2,1,19567,0,915,0,1,1,0,1.1,412,2.75,1882,119.4,395,10.6,class_0
57,3282,2,1,19567,0,23,0,1,1,0,1.5,342,3,1473,138,295,11.3,class_0
57,3282,2,1,19567,0,166,0,1,1,0,1.8,386,2.47,1549,125.6,212,12.4,class_0
57,3282,2,1,19567,0,305,0,1,1,0.5,2.6,212,2.77,1324,139.5,227,10.8,class_0
57,3282,2,1,19567,0,439,0,0,1,0.5,3.1,293,2.56,1400,141.1,192,11.2,class_0
57,3282,2,1,19567,0,539,0,1,1,0.5,4.5,253,2.67,1217,111.6,179,12.2,class_0
57,3282,2,1,19567,0,624,1,0,1,1,5.4,200,2.24,1205,1205,194,12.3,class_0
57,3282,2,1,19567,0,678,0,1,1,1,15.6,414,1.5,1054,1205,189,18.4,class_0
58,5128,0,1,16279,1,53,0,1,0,0,0.8,560,4.18,1444,76,357,11.2,class_0
58,5128,0,1,16279,1,156,0,0,0,0,0.9,412,3.94,1198,71.3,270,10.7,class_0
58,5128,0,1,16279,1,299,0,1,0,0,0.9,560,3.76,1160,88.4,332,11,class_0
58,5128,0,1,16279,1,433,0,1,0,0,0.9,500,3.69,1167,68.2,335,10.4,class_0
58,5128,0,1,16279,1,518,0,1,0,0,1,245,3.72,853,60.5,287,10.5,class_0
58,5128,0,1,16279,1,607,0,1,0,0,0.9,267,3.72,839,68,273,10.3,class_0
58,5128,0,1,16279,1,675,0,0,0,0,0.8,280,3.54,897,62,281,11,class_0
58,5128,0,1,16279,1,749,0,0,0,0,1.2,279,3.56,719,45,326,11,class_0
58,5128,0,1,16279,1,808,0,1,0,0,1.3,257,3.88,678,67,339,11,class_0
58,5128,0,1,16279,1,842,0,1,0,0,1.3,291,3.22,752,55,285,12.7,class_0
58,5128,0,1,16279,1,862,0,1,0,0,1.5,299,3.57,726,60,268,11,class_0
58,5128,0,1,16279,1,874,0,0,0,0,1.6,291,3.68,596,77,235,11.5,class_0
