@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute class {class_0,class_1}

@data
5,4,17,25,2,1,8,5.7,300,5000,1450,0,20,2,179,96,74,43,30,22,3380,38,class_1
6,3,20,28,1,0,6,3.3,153,5300,1990,1,18,6,203,113,74,40,31,15,3515,18.4,class_1
6,2,23,28,1,0,4,3,141,5000,2090,1,16,6,183,104,68,41,30.5,14,3085,15.8,class_1
6,3,20,26,2,0,6,3.3,147,4800,1785,1,16,6,203,110,69,44,36,17,3570,29.5,class_1
7,0,29,33,0,0,4,1.5,92,6000,3285,0,13.2,5,174,98,66,32,26.5,11,2270,9.2,class_1
7,0,23,29,2,0,4,2.2,93,4800,2595,0,14,5,172,97,67,38,26.5,13,2670,11.3,class_1
7,2,22,27,2,0,4,2.5,100,4800,2535,0,16,6,181,104,68,39,30.5,14,2970,13.3,class_1
7,5,17,21,2,2,6,3,142,5000,1970,1,20,7,175,112,72,42,26.5,11,3705,19,class_1
7,1,21,27,2,0,4,2.5,100,4800,2465,1,16,6,192,105,69,42,30.5,16,3080,15.6,class_1
7,4,18,24,2,2,6,3,300,6000,2120,0,19.8,4,180,97,72,40,20,11,3805,25.8,class_1
8,0,29,33,0,0,4,1.5,92,6000,2505,0,13.2,5,174,98,66,36,26.5,11,2295,12.2,class_1
8,3,20,28,1,0,6,3.5,214,5800,1980,1,18,6,202,113,74,40,30,15,3490,19.3,class_1
9,0,31,33,0,0,4,1.3,63,5000,3150,0,10,4,141,90,63,33,26,12,1845,7.4,class_1
9,0,23,30,0,0,4,1.8,127,6500,2410,0,13.2,5,171,98,67,36,28,12,2530,10.1,class_1
9,2,22,27,0,0,4,2.3,96,4200,2805,0,15.9,5,177,100,68,39,27.5,13,2690,11.3,class_1
9,4,22,29,2,1,4,2.3,105,4600,2285,0,15.4,4,180,101,68,40,24,12,2850,15.9,class_1
9,4,24,30,2,0,4,2,115,5500,2340,0,15.5,4,179,103,70,38,23,18,2710,14,class_1
9,5,15,20,2,2,6,3,145,4800,2080,0,21,7,176,119,72,45,30,12,3735,19.9,class_1
9,1,21,30,2,0,6,3,140,4800,1885,1,16,5,192,106,71,40,27.5,18,3325,20.2,class_1
9,3,18,26,2,1,8,4.6,190,4200,1415,1,20,6,212,114,78,43,30,21,3950,20.9,class_1
15,1,17,26,1,0,6,3.8,160,4400,1835,1,18.4,6,205,109,73,42,30,19,3695,34.3,class_1
15,3,18,26,1,1,8,4.6,210,4600,1840,1,20,6,219,117,77,45,31.5,22,4055,36.1,class_1
18,4,23,26,2,0,4,1.6,100,5750,2475,0,11.1,4,166,95,65,36,19,6,2450,14.1,class_1
18,1,19,26,0,1,6,3.8,140,3800,1730,1,18,5,199,113,73,38,28,15,3610,14.9,class_1
21,2,24,31,0,0,4,2.3,155,6000,2380,1,15.2,5,188,103,67,39,28,14,2910,13.5,class_1
21,1,23,31,2,0,4,2.2,110,5200,2565,1,16.5,5,190,105,70,42,28,16,2890,16.3,class_1
21,5,18,23,0,0,6,3.8,170,4800,1690,1,20,7,194,110,74,44,30.5,13,3715,19.5,class_1
21,3,19,28,2,0,6,3.8,170,4800,1570,1,18,6,201,111,74,42,31.5,17,3470,20.7,class_1
22,4,23,30,0,2,4,1.8,92,5000,2360,0,15.9,4,173,97,67,39,24.5,8,2640,14.4,class_1
23,0,31,41,0,0,4,1.6,74,5600,3130,0,13.2,4,177,99,66,35,25.5,17,2350,9,class_1
23,2,23,31,0,0,4,2,110,5200,2665,0,15.2,5,181,101,66,39,25,13,2575,11.1,class_1
23,4,19,28,1,1,6,3.4,160,4600,1805,0,15.5,4,196,101,75,43,25,13,3240,17.7,class_1
23,1,19,27,0,0,6,3.4,200,5000,1890,0,16.5,5,195,108,72,41,28.5,16,3450,18.5,class_1
23,3,19,28,1,0,6,3.8,170,4800,1565,1,18,6,177,111,74,43,30.5,18,3495,24.4,class_1
25,0,28,38,2,0,4,1.9,85,5000,2145,0,12.8,5,176,102,68,40,26.5,12,2495,11.1,class_1
