@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute value_23 numeric
@attribute value_24 numeric
@attribute class {class_0,class_1}

@data
65,2,1,0,0,2,2,0,103.5,189,66.9,55.7,3055,3,3,164,5,3.31,3.19,9,121,4250,20,25,24565,class_0
121,3,1,0,1,3,1,0,88.4,141.1,60.3,53.2,1488,2,4,61,1,2.91,3.03,9.5,48,5100,47,53,5151,class_0
98,3,1,0,1,3,1,0,94.5,155.9,63.6,52,1874,3,2,90,1,3.03,3.11,9.6,70,5400,38,43,6295,class_0
118,4,1,0,1,3,1,0,93.7,157.3,63.8,50.8,1876,3,2,90,1,2.97,3.23,9.41,68,5500,37,41,5572,class_0
118,4,1,0,1,3,1,0,93.7,157.3,63.8,50.8,1876,3,2,90,1,2.97,3.23,9.4,68,5500,31,38,6377,class_0
118,4,1,1,1,3,1,0,93.7,157.3,63.8,50.8,2128,3,2,98,5,3.03,3.39,7.6,102,5500,24,30,7957,class_0
148,4,1,0,0,3,1,0,93.7,157.3,63.8,50.6,1967,3,2,90,1,2.97,3.23,9.4,68,5500,31,38,6229,class_0
148,4,1,0,0,2,1,0,93.7,157.3,63.8,50.6,1989,3,2,90,1,2.97,3.23,9.4,68,5500,31,38,6692,class_0
148,4,1,0,0,2,1,0,93.7,157.3,63.8,50.6,1989,3,2,90,1,2.97,3.23,9.4,68,5500,31,38,7609,class_0
148,4,1,1,0,2,1,0,93.7,157.3,63.8,50.6,2191,3,2,98,5,3.03,3.39,7.6,102,5500,24,30,8558,class_0
110,4,1,0,0,1,1,0,103.3,174.6,64.6,59.8,2535,3,2,122,1,3.34,3.46,8.5,88,5000,24,30,8921,class_0
145,4,1,1,1,3,1,0,95.9,173.2,66.3,50.2,2811,3,2,156,4,3.6,3.9,7,145,5000,19,24,12964,class_0
137,5,1,0,1,3,1,0,86.6,144.6,63.9,50.8,1713,3,2,92,0,2.91,3.41,9.6,58,4800,49,54,6479,class_0
137,5,1,0,1,3,1,0,86.6,144.6,63.9,50.8,1819,3,2,92,0,2.91,3.41,9.2,76,6000,31,38,6855,class_0
101,5,1,0,1,3,1,0,93.7,150,64,52.6,1837,3,2,79,0,2.91,3.07,10.1,60,5500,38,42,5399,class_0
101,5,1,0,1,3,1,0,93.7,150,64,52.6,1940,3,2,92,0,2.91,3.41,9.2,76,6000,30,34,6529,class_0
101,5,1,0,1,3,1,0,93.7,150,64,52.6,1956,3,2,92,0,2.91,3.41,9.2,76,6000,30,34,7129,class_0
107,5,1,0,1,2,1,0,96.5,169.1,66,51,2293,3,2,110,1,3.15,3.58,9.1,100,5500,25,31,10345,class_0
95,6,1,0,1,2,1,0,94.5,155.9,63.6,52,1874,3,2,90,1,3.03,3.11,9.6,70,5400,38,43,11549,class_0
65,6,1,0,1,3,2,0,96,172.6,65.2,51.4,2734,3,2,119,7,3.43,3.23,9.2,90,5000,24,29,11048,class_0
104,8,1,0,1,3,1,0,93.1,159.1,64.2,54.1,1890,3,2,91,1,3.03,3.15,9,68,5000,30,31,5195,class_0
104,8,1,0,1,3,1,0,93.1,159.1,64.2,54.1,1900,3,2,91,1,3.03,3.15,9,68,5000,31,38,6095,class_0
104,8,1,0,1,3,1,0,93.1,159.1,64.2,54.1,1905,3,2,91,1,3.03,3.15,9,68,5000,31,38,6795,class_0
113,8,1,0,0,2,1,0,93.1,166.8,64.2,54.1,1945,3,2,91,1,3.03,3.15,9,68,5000,31,38,6695,class_0
113,8,1,0,0,2,1,0,93.1,166.8,64.2,54.1,1950,3,2,91,1,3.08,3.15,9,68,5000,31,38,7395,class_0
150,8,1,0,1,3,2,0,95.3,169,65.7,49.6,2380,6,6,70,2,3.78,3.35,9.4,101,6000,17,23,10945,class_0
150,8,1,0,1,3,2,0,95.3,169,65.7,49.6,2380,6,6,70,2,3.31,3.29,9.4,101,6000,17,23,11845,class_0
150,8,1,0,1,3,2,0,95.3,169,65.7,49.6,2385,6,6,70,2,3.54,3.15,9.4,101,6000,17,23,13645,class_0
150,8,1,0,1,3,2,0,95.3,169,65.7,49.6,2500,6,6,80,5,3.61,3.29,9.4,135,6000,16,23,15645,class_0
129,8,1,0,1,3,1,0,98.8,177.8,66.5,53.7,2385,3,2,122,1,3.39,3.39,8.6,84,4800,26,32,8845,class_0
129,8,1,0,1,3,1,0,98.8,177.8,66.5,53.7,2385,3,2,122,1,3.39,3.39,8.6,84,4800,26,32,10595,class_0
93,9,0,1,0,2,2,0,110,190.9,70.3,56.5,3515,3,1,183,3,3.58,3.64,21.5,123,4350,22,25,25552,class_0
93,9,0,1,0,1,2,0,110,190.9,70.3,58.7,3750,3,1,183,3,3.58,3.64,21.5,123,4350,22,25,28248,class_0
93,9,0,1,0,2,2,0,115.6,202.6,71.7,56.3,3770,3,1,183,3,3.58,3.64,21.5,123,4350,22,25,31600,class_0
65,9,1,0,0,2,2,0,115.6,202.6,71.7,56.5,3740,5,0,234,5,3.46,3.1,8.3,155,4750,16,18,34184,class_0
142,9,1,0,1,4,2,0,96.6,180.3,70.5,50.8,3685,5,0,234,5,3.46,3.1,8.3,155,4750,16,18,35056,class_0
77,9,1,0,1,0,2,0,112,199.2,72,55.4,3715,5,0,304,5,3.8,3.35,8,184,4500,14,16,45400,class_0
102,10,1,1,1,3,2,0,102.7,178.4,68,54.8,2910,3,2,140,5,3.78,3.12,8,175,5000,19,24,16503,class_0
161,11,1,0,1,3,1,0,93.7,157.3,64.4,50.8,1918,3,2,92,1,2.97,3.23,9.4,68,5500,37,41,5389,class_0
161,11,1,0,1,3,1,0,93.7,157.3,64.4,50.8,1944,3,2,92,1,2.97,3.23,9.4,68,5500,31,38,6189,class_0
161,11,1,0,1,3,1,0,93.7,157.3,64.4,50.8,2004,3,2,92,1,2.97,3.23,9.4,68,5500,31,38,6669,class_0
161,11,1,1,1,3,1,0,93,157.3,63.8,50.8,2145,3,2,98,6,3.03,3.39,7.6,102,5500,24,30,7689,class_0
153,11,1,1,1,3,1,0,96.3,173,65.4,49.4,2370,3,2,110,6,3.17,3.46,7.5,116,5500,23,30,9959,class_0
153,11,1,0,1,3,1,0,96.3,173,65.4,49.4,2328,3,2,122,1,3.35,3.46,8.5,88,5000,25,32,8499,class_0
106,11,1,1,1,3,1,0,95.9,173.2,66.3,50.2,2833,3,2,156,6,3.58,3.86,7,145,5000,19,24,12629,class_0
110,11,1,1,1,3,1,0,95.9,173.2,66.3,50.2,2921,3,2,156,6,3.59,3.86,7,145,5000,19,24,14869,class_0
74,11,1,1,1,3,1,0,95.9,173.2,66.3,50.2,2926,3,2,156,6,3.59,3.86,7,145,5000,19,24,14489,class_0
125,11,1,0,0,2,1,0,96.3,172.4,65.4,51.6,2365,3,2,122,1,3.35,3.46,8.5,88,5000,25,32,6989,class_0
125,11,1,0,0,2,1,0,96.3,172.4,65.4,51.6,2405,3,2,122,1,3.35,3.46,8.5,88,5000,25,32,8189,class_0
125,11,1,1,0,2,1,0,96.3,172.4,65.4,51.6,2403,3,2,110,6,3.17,3.46,7.5,116,5500,23,30,9279,class_0
137,11,1,0,0,2,1,0,96.3,172.4,65.4,51.6,2403,3,2,110,6,3.17,3.46,7.5,116,5500,23,30,9279,class_0
128,12,1,0,1,2,1,0,94.5,165.3,63.8,54.5,1889,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,5499,class_0
128,12,0,0,1,2,1,0,94.5,165.3,63.8,54.5,2017,3,2,103,3,2.99,3.47,21.9,55,4800,45,50,7099,class_0
128,12,1,0,1,2,1,0,94.5,165.3,63.8,54.5,1918,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,6649,class_0
122,12,1,0,0,2,1,0,94.5,165.3,63.8,54.5,1938,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,6849,class_0
103,12,1,0,0,1,1,0,94.5,170.2,63.8,53.5,2024,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,7349,class_0
128,12,1,0,1,2,1,0,94.5,165.3,63.8,54.5,1951,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,7299,class_0
128,12,1,0,1,3,1,0,94.5,165.6,63.8,53.3,2028,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,7799,class_0
122,12,1,0,0,2,1,0,94.5,165.3,63.8,54.5,1971,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,7499,class_0
103,12,1,0,0,1,1,0,94.5,170.2,63.8,53.5,2037,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,7999,class_0
168,12,1,0,1,0,1,0,95.1,162.4,63.8,53.3,2008,3,2,97,1,3.15,3.29,9.4,69,5200,31,37,8249,class_0
194,12,1,0,1,3,2,0,91.3,170.7,67.9,49.7,3071,5,3,181,5,3.43,3.27,9,160,5200,19,25,17199,class_0
194,12,1,1,1,3,2,0,91.3,170.7,67.9,49.7,3139,5,3,181,5,3.43,3.27,7.8,200,5200,17,23,19699,class_0
231,12,1,0,1,3,2,0,99.2,178.5,67.9,49.7,3139,5,3,181,5,3.43,3.27,9,160,5200,19,25,18399,class_0
119,14,1,0,1,3,1,0,93.7,157.3,63.8,50.8,1918,3,2,90,1,2.97,3.23,9.4,68,5500,37,41,5572,class_0
119,14,1,1,1,3,1,0,93.7,157.3,63.8,50.8,2128,3,2,98,6,3.03,3.39,7.6,102,5500,24,30,7957,class_0
154,14,1,0,0,3,1,0,93.7,157.3,63.8,50.6,1967,3,2,90,1,2.97,3.23,9.4,68,5500,31,38,6229,class_0
154,14,1,0,0,2,1,0,93.7,167.3,63.8,50.8,1989,3,2,90,1,2.97,3.23,9.4,68,5500,31,38,6692,class_0
154,14,1,0,0,2,1,0,93.7,167.3,63.8,50.8,2191,3,2,98,1,2.97,3.23,9.4,68,5500,31,38,7609,class_0
74,14,1,0,0,1,1,0,103.3,174.6,64.6,59.8,2535,3,2,122,1,3.35,3.46,8.5,88,5000,24,30,8921,class_0
188,14,1,1,1,3,2,0,95.9,173.2,66.3,50.2,2818,3,2,156,6,3.59,3.86,7,145,5000,19,24,12764,class_0
186,15,1,0,1,3,2,0,94.5,168.9,68.3,50.2,2778,3,2,151,5,3.94,3.11,9.5,143,5500,19,27,22018,class_0
85,15,1,0,1,0,2,1,89.5,168.9,65,51.6,2756,4,3,194,5,3.74,2.9,9.5,207,5900,17,25,32528,class_0
102,15,1,0,1,0,2,1,89.5,168.9,65,51.6,2756,4,3,194,5,3.74,2.9,9.5,207,5900,17,25,34028,class_0
197,15,1,0,1,4,2,1,89.5,168.9,65,51.6,2800,4,3,194,5,3.74,2.9,9.5,207,5900,17,25,37028,class_0
89,15,1,0,1,3,2,0,98.4,175.7,72.3,50.5,3366,1,0,203,5,3.94,3.11,10,288,5750,17,28,7603,class_0
65,16,1,0,1,3,1,0,96.1,176.8,66.6,50.5,2460,3,2,132,5,3.46,3.9,8.7,69,5200,23,31,9895,class_0
150,17,1,0,1,3,1,0,99.1,186.6,66.5,56.1,2658,3,2,121,5,3.54,3.07,9.31,110,5250,21,28,11850,class_0
104,17,1,0,0,2,1,0,99.1,186.6,66.5,56.1,2695,3,2,121,5,3.54,3.07,9.3,110,5250,21,28,12170,class_0
150,17,1,0,1,3,1,0,99.1,186.6,66.5,56.1,2707,3,2,121,5,2.54,2.07,9.3,110,5250,21,28,15040,class_0
104,17,1,0,0,2,1,0,99.1,186.6,66.5,56.1,2758,3,2,121,5,3.54,3.07,9.3,110,5250,21,28,15510,class_0
150,17,1,1,1,3,1,0,99.1,186.6,66.5,56.1,2808,0,2,121,5,3.54,3.07,9,160,5500,19,26,18150,class_0
104,17,1,1,0,2,1,0,99.1,186.6,66.5,56.1,2847,0,2,121,5,3.54,3.07,9,160,5500,19,26,18620,class_0
83,18,1,0,1,3,1,0,93.7,156.9,63.4,53.7,2050,4,2,97,1,3.62,2.36,9,69,4900,31,36,5118,class_0
83,18,1,0,1,3,1,0,93.7,157.9,63.6,53.7,2120,4,2,108,1,3.62,2.64,8.7,73,4400,26,31,7053,class_0
83,18,1,0,1,3,0,0,93.3,157.3,63.8,55.7,2240,4,2,108,1,3.62,2.64,8.7,73,4400,26,31,7603,class_0
87,19,1,0,1,3,1,0,95.7,158.7,63.6,54.5,1985,3,2,92,1,3.05,3.03,9,62,4800,35,39,5348,class_0
87,19,1,0,1,3,1,0,95.7,158.7,63.6,54.5,2040,3,2,92,1,3.05,3.03,9,62,4800,31,38,6338,class_0
74,19,1,0,0,3,1,0,95.7,158.7,63.6,54.5,2015,3,2,92,1,3.05,3.03,9,62,4800,31,38,6488,class_0
168,19,1,0,1,2,2,0,94.5,168.7,64,52.6,2169,3,2,98,1,3.19,3.03,9,70,4800,29,34,8058,class_0
168,19,1,0,1,3,2,0,94.5,168.7,64,52.6,2204,3,2,98,1,3.19,3.03,9,70,4800,29,34,8238,class_0
168,19,1,0,1,2,2,0,94.5,168.7,64,52.6,2265,0,2,98,5,3.24,3.08,9.4,112,6600,26,29,9298,class_0
168,19,1,0,1,3,2,0,94.5,168.7,64,52.6,2300,0,2,98,5,3.24,3.08,9.4,112,6600,26,29,9538,class_0
134,19,1,0,1,0,2,0,98.4,176.2,65.6,52,2540,3,2,146,5,3.62,3.5,9.3,116,4800,24,30,8449,class_0
134,19,1,0,1,0,2,0,98.4,176.2,65.6,52,2536,3,2,146,5,3.62,3.5,9.3,116,4800,24,30,9639,class_0
134,19,1,0,1,3,2,0,98.4,176.2,65.6,52,2551,3,2,146,5,3.62,3.5,9.3,116,4800,24,30,9989,class_0
134,19,1,0,1,0,2,0,98.4,176.2,65.6,52,2679,3,2,146,5,3.62,3.5,9.3,116,4800,24,30,11199,class_0
134,19,1,0,1,3,2,0,98.4,176.2,65.6,52,2714,3,2,146,5,3.62,3.5,9.3,116,4800,24,30,11549,class_0
134,19,1,0,1,4,2,0,98.4,176.2,65.6,53,2975,3,2,146,5,3.62,3.5,9.3,116,4800,24,30,17669,class_0
65,19,1,0,0,2,1,0,102.4,175.6,66.5,54.9,2326,3,2,122,5,3.31,3.54,8.7,92,4200,29,34,8948,class_0
65,19,0,1,0,2,1,0,102.4,175.6,66.5,54.9,2480,3,2,110,3,3.27,3.35,22.5,73,4500,30,33,10698,class_0
65,19,1,0,0,3,1,0,102.4,175.6,66.5,53.9,2414,3,2,122,5,3.31,3.54,8.7,92,4200,27,32,9988,class_0
65,19,1,0,0,2,1,0,102.4,175.6,66.5,54.9,2414,3,2,122,5,3.31,3.54,8.7,92,4200,27,32,10898,class_0
65,19,1,0,0,3,1,0,102.4,175.6,66.5,53.9,2458,3,2,122,5,3.31,3.54,8.7,92,4200,27,32,11248,class_0
197,19,1,0,1,3,2,0,102.9,183.5,67.7,52,2976,0,3,171,5,3.27,3.35,9.3,161,5200,20,24,16558,class_0
197,19,1,0,1,3,2,0,102.9,183.5,67.7,52,3016,0,3,171,5,3.27,3.35,9.3,161,5200,19,24,15998,class_0
90,19,1,0,0,2,2,0,104.5,187.8,66.5,54.1,3131,0,3,171,5,3.27,3.35,9.2,156,5200,20,24,15690,class_0
65,19,1,0,0,1,2,0,104.5,187.8,66.5,54.1,3151,0,3,161,5,3.27,3.35,9.2,156,5200,19,24,15750,class_0
122,20,0,0,1,2,1,0,97.3,171.7,65.5,55.7,2261,3,2,97,3,3.01,3.4,23,52,4800,37,46,7775,class_0
122,20,1,0,1,2,1,0,97.3,171.7,65.5,55.7,2209,3,2,109,5,3.19,3.4,9,85,5250,27,34,7975,class_0
94,20,0,0,0,2,1,0,97.3,171.7,65.5,55.7,2264,3,2,97,3,3.01,3.4,23,52,4800,37,46,7995,class_0
94,20,1,0,0,2,1,0,97.3,171.7,65.5,55.7,2212,3,2,109,5,3.19,3.4,9,85,5250,27,34,8195,class_0
94,20,1,0,0,2,1,0,97.3,171.7,65.5,55.7,2275,3,2,109,5,3.19,3.4,9,85,5250,27,34,8495,class_0
94,20,0,1,0,2,1,0,97.3,171.7,65.5,55.7,2319,3,2,97,3,3.01,3.4,23,68,4500,37,42,9495,class_0
94,20,1,0,0,2,1,0,97.3,171.7,65.5,55.7,2300,3,2,109,5,3.19,3.4,10,100,5500,26,32,9995,class_0
106,20,1,0,1,4,1,0,94.5,159.3,64.2,55.6,2254,3,2,109,5,3.19,3.4,8.5,90,5500,24,29,11595,class_0
256,20,1,0,1,3,1,0,94.5,165.7,64,51.4,2221,3,2,109,5,3.19,3.4,8.5,90,5500,24,29,9980,class_0
103,21,1,0,0,2,2,0,104.3,188.8,67.2,56.2,2912,3,2,141,5,3.78,3.15,9.5,114,5400,23,28,12940,class_0
74,21,1,0,0,1,2,0,104.3,188.8,67.2,57.5,3034,3,2,141,5,3.78,3.15,9.5,114,5400,23,28,13415,class_0
103,21,1,0,0,2,2,0,104.3,188.8,67.2,56.2,2935,3,2,141,5,3.78,3.15,9.5,114,5400,24,28,15985,class_0
74,21,1,0,0,1,2,0,104.3,188.8,67.2,57.5,3042,3,2,141,5,3.78,3.15,9.5,114,5400,24,28,16515,class_0
103,21,1,1,0,2,2,0,104.3,188.8,67.2,56.2,3045,3,2,130,5,3.62,3.15,7.5,162,5100,17,22,18420,class_0
74,21,1,1,0,1,2,0,104.3,188.8,67.2,57.5,3157,3,2,130,5,3.62,3.15,7.5,162,5100,17,22,18950,class_0
95,21,1,0,0,2,2,0,109.1,188.8,68.9,55.5,2952,3,2,141,5,3.78,3.15,9.5,114,5400,23,28,16845,class_0
95,21,1,1,0,2,2,0,109.1,188.8,68.8,55.5,3049,3,2,141,5,3.78,3.15,8.7,160,5300,19,25,19045,class_0
95,21,1,0,0,2,2,0,109.1,188.8,68.9,55.5,3012,5,3,173,5,3.58,2.87,8.8,134,5500,18,23,21485,class_0
95,21,0,1,0,2,2,0,109.1,188.8,68.9,55.5,3217,3,3,145,3,3.01,3.4,23,106,4800,26,27,22470,class_0
95,21,1,1,0,2,2,0,109.1,188.8,68.9,55.5,3062,3,2,141,5,3.78,3.15,9.5,114,5400,19,25,22625,class_0
94,1,1,1,1,3,0,0,99.5,178.2,67.9,52,3053,3,1,131,5,3.13,3.4,7,160,5500,16,22,10945,class_1
192,2,1,0,0,2,2,0,101.2,176.8,64.8,54.3,2395,3,2,108,5,3.5,2.8,8.8,101,5800,23,29,16925,class_1
188,2,1,0,1,2,2,0,101.2,176.8,64.8,54.3,2710,3,3,164,5,3.31,3.19,9,121,4250,21,28,20970,class_1
188,2,1,0,0,2,2,0,101.2,176.8,64.8,54.3,2765,3,3,164,5,3.31,3.19,9,121,4250,21,28,21105,class_1
150,2,1,0,0,2,2,0,103.5,189,66.9,55.7,3230,3,3,209,5,3.62,3.39,8,182,5400,16,22,30760,class_1
89,2,1,0,1,2,2,0,103.5,193.8,67.9,53.7,3380,3,3,209,5,3.62,3.39,8,182,5400,16,22,41315,class_1
102,2,1,0,0,2,2,0,110,197,70.9,56.3,3505,3,3,209,5,3.62,3.39,8,182,5400,15,20,36880,class_1
81,3,1,0,0,2,1,0,94.5,158.8,63.6,52,1909,3,2,90,1,3.03,3.11,9.6,70,5400,38,43,6575,class_1
110,5,1,0,0,2,1,0,96.5,163.4,64,54.5,2010,3,2,92,0,2.91,3.41,9.2,76,6000,30,34,7295,class_1
78,5,1,0,0,1,1,0,96.5,157.1,63.9,58.3,2024,3,2,92,0,2.92,3.41,9.2,76,6000,30,34,7295,class_1
106,5,1,0,1,3,1,0,96.5,167.5,65.2,53.3,2236,3,2,110,0,3.15,3.58,9,86,5800,27,33,7895,class_1
106,5,1,0,1,3,1,0,96.5,167.5,65.2,53.3,2289,3,2,110,0,3.15,3.58,9,86,5800,27,33,9095,class_1
85,5,1,0,0,2,1,0,96.5,175.4,65.2,54.1,2304,3,2,110,0,3.15,3.58,9,86,5800,27,33,8845,class_1
85,5,1,0,0,2,1,0,96.5,175.4,62.5,54.1,2372,3,2,110,0,3.15,3.58,9,86,5800,27,33,10295,class_1
85,5,1,0,0,2,1,0,96.5,175.4,65.2,54.1,2465,3,2,110,5,3.15,3.58,9,101,5800,24,28,12945,class_1
95,6,1,0,0,2,2,0,94.3,170.7,61.8,53.5,2337,3,2,111,1,3.31,3.23,8.5,78,4800,24,29,6785,class_1
103,6,1,0,0,2,1,0,94.5,155.9,63.6,52,1909,3,2,90,1,3.03,3.11,9.6,70,5400,38,43,10698,class_1
145,7,1,0,0,2,2,0,113,199.6,69.6,52.8,4066,0,3,258,5,3.63,4.17,8.1,176,4750,15,19,32250,class_1
107,7,1,0,0,2,2,0,113,199.6,69.6,52.8,4066,0,3,258,5,3.63,4.17,8.1,176,4750,15,19,35550,class_1
91,7,1,0,1,2,2,0,102,191.7,70.6,47.8,3950,5,5,326,5,3.54,2.76,11.5,262,5000,13,17,36000,class_1
115,8,1,0,0,2,1,0,98.8,177.8,66.5,55.5,2410,3,2,122,1,3.39,3.39,8.6,84,4800,26,32,8495,class_1
115,8,1,0,0,2,1,0,98.8,177.8,66.5,55.5,2410,3,2,122,1,3.39,3.39,8.6,84,4800,26,32,10245,class_1
122,8,0,0,0,2,1,0,98.8,177.8,66.5,55.5,2443,3,2,122,3,3.39,3.39,22.7,64,4650,36,42,10795,class_1
115,8,1,0,0,3,1,0,98.8,177.8,66.5,55.5,2425,3,2,122,1,3.39,3.39,8.6,84,4800,26,32,11245,class_1
118,8,1,0,0,2,2,0,104.9,175,66.1,54.4,2670,3,2,140,5,3.76,3.16,8,120,5000,19,27,18280,class_1
192,8,0,0,0,2,2,0,104.9,175,66.1,54.4,2700,3,2,134,3,3.43,3.64,22,72,4200,31,39,18344,class_1
93,9,0,1,1,0,2,0,106.7,187.5,70.3,54.9,3495,3,1,183,3,3.58,3.64,21.5,123,4350,22,25,28176,class_1
194,9,1,0,0,2,2,0,120.9,208.1,71.7,56.7,3900,5,0,308,5,3.8,3.35,8,184,4500,14,16,40960,class_1
106,12,1,0,0,3,1,0,97.2,173.4,65.2,54.7,2324,3,2,120,1,3.33,3.47,8.5,97,5200,27,34,8949,class_1
106,12,1,0,0,2,1,0,97.2,173.4,65.2,54.7,2302,3,2,120,1,3.33,3.47,8.5,97,5200,27,34,9549,class_1
128,12,1,0,0,2,1,0,100.4,181.7,66.5,55.1,3095,5,3,181,5,3.43,3.27,9,152,5200,17,22,13499,class_1
108,12,1,0,0,1,1,0,100.4,184.6,66.5,56.1,3296,5,3,181,5,3.43,3.27,9,152,5200,17,22,14399,class_1
108,12,1,0,0,2,1,0,100.4,184.6,66.5,55.1,3060,5,3,181,5,3.43,3.27,9,152,5200,19,25,13499,class_1
161,13,1,0,0,2,2,0,107.9,186.7,68.4,56.7,3020,2,2,120,5,3.46,3.19,8.4,97,5000,19,24,11900,class_1
161,13,0,1,0,2,2,0,107.9,186.7,68.4,56.7,3197,2,2,152,3,3.7,3.52,21,95,4150,28,33,13200,class_1
95,13,1,0,0,1,2,0,114.2,198.9,68.4,58.7,3230,2,2,120,5,3.46,3.19,8.4,97,5000,19,24,12440,class_1
168,13,0,1,0,1,2,0,114.2,198.9,68.4,58.7,3430,2,2,152,3,3.7,3.52,21,95,4150,25,25,13860,class_1
161,13,1,0,0,2,2,0,107.9,186.7,68.4,56.7,3075,2,2,120,5,3.46,2.19,8.4,95,5000,19,24,15580,class_1
161,13,0,1,0,2,2,0,107.9,186.7,68.4,56.7,3252,2,2,152,3,3.7,3.52,21,95,4150,28,33,16900,class_1
150,13,1,0,0,1,2,0,114.2,198.9,68.4,56.7,3285,2,2,120,5,3.46,2.19,8.4,95,5000,19,24,16695,class_1
89,13,0,1,0,1,2,0,114.2,198.9,68.4,58.7,3485,2,2,152,3,3.7,3.52,21,95,4150,25,25,17075,class_1
161,13,1,0,0,2,2,0,107.9,186.7,68.4,56.7,3075,2,2,120,5,3.46,3.19,8.4,97,5000,19,24,16630,class_1
161,13,0,1,0,2,2,0,107.9,186.7,68.4,56.7,3252,2,2,152,3,3.7,3.52,21,95,4150,28,33,17950,class_1
161,13,1,1,0,2,2,0,108,186.7,68.3,56,3130,2,2,134,5,3.61,3.21,7,142,5600,18,24,18150,class_1
168,16,1,0,0,1,1,0,96.1,181.5,66.5,55.2,2579,3,2,132,5,3.46,3.9,8.7,70,5200,23,31,9295,class_1
102,18,1,0,0,2,1,0,97.2,172,65.4,52.5,2145,4,2,108,1,3.62,2.64,9.5,82,4800,32,37,7126,class_1
102,18,1,0,0,2,1,0,97.2,172,65.4,52.5,2190,4,2,108,1,3.62,2.64,9.5,82,4400,28,33,7775,class_1
102,18,1,0,0,2,1,0,97.2,172,65.4,52.5,2340,4,2,108,5,3.62,2.64,9,94,5200,26,32,9960,class_1
102,18,1,0,0,2,0,0,97,172,65.4,54.3,2385,4,2,108,1,3.62,2.64,9,82,4800,24,25,9233,class_1
102,18,1,1,0,2,0,0,97,172,65.4,54.3,2510,4,2,108,5,3.62,2.64,7.7,111,4800,24,29,11259,class_1
89,18,1,0,0,1,1,0,97,173.5,65.4,53,2290,4,2,108,1,3.62,2.64,9,82,4800,28,32,7463,class_1
89,18,1,0,0,1,1,0,97,173.5,65.4,53,2455,4,2,108,5,3.62,2.64,9,94,5200,25,31,10198,class_1
85,18,1,0,0,1,0,0,96.9,173.6,65.4,54.9,2420,4,2,108,1,3.62,2.64,9,82,4800,23,29,8013,class_1
