@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute class {class_0,class_1}

@data
91,49,21,3363,-71.03,42.272,22.6,22.6,0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,1,270,17.8,392.18,class_0
92,49,21,3364,-71.0425,42.2715,22,22,0.03932,0,3.41,0,0.489,6.405,73.9,3.0921,1,270,17.8,393.55,class_0
93,74,22,3371,-71.053,42.283,22.9,22.9,0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,3,270,18.2,395.01,class_0
94,74,22,3372,-71.062,42.296,25,25,0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,3,270,18.2,396.33,class_0
95,74,22,3373,-71.0615,42.284,20.6,20.6,0.04294,28,15.04,0,0.464,6.249,77.3,3.615,3,270,18.2,396.9,class_0
96,89,23,3381,-71.076,42.2775,28.4,28.4,0.12204,0,2.89,0,0.445,6.625,57.8,3.4952,1,276,18,357.98,class_0
97,89,23,3382,-71.085,42.2775,21.4,21.4,0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,1,276,18,391.83,class_0
98,89,23,3383,-71.089,42.2715,38.7,38.7,0.12083,0,2.89,0,0.445,8.069,76,3.4952,1,276,18,396.9,class_0
99,89,23,3384,-71.0982,42.2685,43.8,43.8,0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,1,276,18,393.53,class_0
100,89,23,3385,-71.08,42.268,33.2,33.2,0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,1,276,18,396.9,class_0
101,48,24,3391,-71.0668,42.2545,27.5,27.5,0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,4,384,20.9,394.76,class_0
102,48,24,3392,-71.081,42.245,26.5,26.5,0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,4,384,20.9,395.58,class_0
103,48,24,3393,-71.0812,42.2515,18.6,18.6,0.22876,0,8.56,0,0.52,6.405,85.4,2.7147,4,384,20.9,70.8,class_0
105,48,24,3395,-71.069,42.248,20.1,20.1,0.1396,0,8.56,0,0.52,6.167,90,2.421,4,384,20.9,392.69,class_0
109,48,24,3399,-71.055,42.2505,19.8,19.8,0.12802,0,8.56,0,0.52,6.474,97.1,2.4329,4,384,20.9,395.24,class_0
112,43,25,3411,-71.0475,42.261,22.8,22.8,0.10084,0,10.01,0,0.547,6.715,81.6,2.6775,5,432,17.8,395.59,class_0
115,43,25,3414,-71.0396,42.2512,18.5,18.5,0.14231,0,10.01,0,0.547,6.254,84.2,2.2565,5,432,17.8,388.74,class_0
117,43,25,3416,-71.036,42.2608,21.2,21.2,0.13158,0,10.01,0,0.547,6.176,72.5,2.7301,5,432,17.8,393.3,class_0
118,43,25,3417,-71.0285,42.262,19.2,19.2,0.15098,0,10.01,0,0.547,6.021,82.6,2.7474,5,432,17.8,394.51,class_0
131,73,27,3504,-71.0692,42.239,19.2,19.2,0.34006,0,21.89,0,0.624,6.458,98.9,2.1185,3,437,21.2,395.04,class_0
132,73,27,3505,-71.075,42.24,19.6,19.6,1.19294,0,21.89,0,0.624,6.326,97.7,2.271,3,437,21.2,396.9,class_0
133,73,27,3506,-71.0745,42.2405,23,23,0.59005,0,21.89,0,0.624,6.372,97.9,2.3274,3,437,21.2,385.76,class_0
153,23,28,3531,-71.059,42.217,15.3,15.3,1.12658,0,19.58,1,0.871,5.012,88,1.6102,4,403,14.7,343.28,class_0
158,23,28,3536,-71.069,42.2285,41.3,41.3,1.22358,0,19.58,0,0.605,6.943,97.4,1.8773,4,403,14.7,363.43,class_0
159,23,28,3537,-71.067,42.2245,24.3,24.3,1.34284,0,19.58,0,0.605,6.066,100,1.7573,4,403,14.7,353.89,class_0
160,23,28,3538,-71.065,42.2223,23.3,23.3,1.42502,0,19.58,0,0.871,6.51,100,1.7659,4,403,14.7,364.31,class_0
161,23,28,3539,-71.07,42.2214,27,27,1.27346,0,19.58,1,0.605,6.25,92.6,1.7984,4,403,14.7,338.92,class_0
162,23,28,3540,-71.0735,42.2282,50,50,1.46336,0,19.58,0,0.605,7.489,90.8,1.9709,4,403,14.7,374.43,class_0
163,23,28,3541,-71.077,42.225,50,50,1.83377,0,19.58,1,0.605,7.802,98.2,2.0407,4,403,14.7,389.61,class_0
164,23,28,3542,-71.0815,42.225,50,50,1.51902,0,19.58,1,0.605,8.375,93.9,2.162,4,403,14.7,388.45,class_0
165,23,28,3543,-71.0918,42.2265,22.7,22.7,2.24236,0,19.58,0,0.605,5.854,91.8,2.422,4,403,14.7,395.11,class_0
166,23,28,3544,-71.082,42.2295,25,25,2.924,0,19.58,0,0.605,6.101,93,2.2834,4,403,14.7,240.16,class_0
167,23,28,3545,-71.077,42.2305,50,50,2.01019,0,19.58,0,0.605,7.929,96.2,2.0459,4,403,14.7,369.3,class_0
168,23,28,3546,-71.0866,42.2345,23.8,23.8,1.80028,0,19.58,0,0.605,5.877,79.2,2.4259,4,403,14.7,227.61,class_0
169,23,28,3547,-71.074,42.2331,23.8,23.8,2.3004,0,19.58,0,0.605,6.319,96.1,2.1,4,403,14.7,297.09,class_0
170,23,28,3548,-71.0775,42.2351,22.3,22.3,2.44953,0,19.58,0,0.605,6.402,95.2,2.2625,4,403,14.7,330.04,class_0
172,23,28,3550,-71.0792,42.239,19.1,19.1,2.3139,0,19.58,0,0.605,5.88,97.3,2.3887,4,403,14.7,348.13,class_0
174,0,29,3562,-71.0855,42.245,23.6,23.6,0.09178,0,4.05,0,0.51,6.416,84.1,2.6463,4,296,16.6,395.5,class_0
175,0,29,3563,-71.0833,42.2475,22.6,22.6,0.08447,0,4.05,0,0.51,5.859,68.7,2.7019,4,296,16.6,393.23,class_0
176,0,29,3564,-71.094,42.2575,29.4,29.4,0.06664,0,4.05,0,0.51,6.546,33.1,3.1323,4,296,16.6,390.96,class_0
177,0,29,3565,-71.1125,42.255,23.2,23.2,0.07022,0,4.05,0,0.51,6.02,47.2,3.5549,4,296,16.6,393.23,class_0
178,0,29,3566,-71.106,42.2512,24.6,24.6,0.05425,0,4.05,0,0.51,6.315,73.4,3.3175,4,296,16.6,395.6,class_0
179,0,29,3567,-71.0965,42.247,29.9,29.9,0.06642,0,4.05,0,0.51,6.86,74.4,2.9153,4,296,16.6,391.27,class_0
180,3,30,3571,-71.1,42.2408,37.2,37.2,0.0578,0,2.46,0,0.488,6.98,58.4,2.829,2,193,17.8,396.9,class_0
181,3,30,3572,-71.0995,42.2345,39.8,39.8,0.06588,0,2.46,0,0.488,7.765,83.3,2.741,2,193,17.8,395.56,class_0
182,3,30,3573,-71.0966,42.2282,36.2,36.2,0.06888,0,2.46,0,0.488,6.144,62.2,2.5979,2,193,17.8,396.9,class_0
183,3,30,3574,-71.1005,42.2287,37.9,37.9,0.09103,0,2.46,0,0.488,7.155,92.2,2.7006,2,193,17.8,394.12,class_0
184,3,30,3575,-71.1065,42.23,32.5,32.5,0.10008,0,2.46,0,0.488,6.563,95.6,2.847,2,193,17.8,396.9,class_0
187,3,30,3578,-71.1115,42.2442,50,50,0.05602,0,2.46,0,0.488,7.831,53.6,3.1992,2,193,17.8,392.63,class_0
188,39,31,3581,-71.122,42.2565,32,32,0.07875,45,3.44,0,0.437,6.782,41.1,3.7886,4,398,15.2,393.87,class_0
189,39,31,3583,-71.1408,42.255,29.8,29.8,0.12579,45,3.44,0,0.437,6.556,29.1,4.5667,4,398,15.2,382.84,class_0
190,39,31,3584,-71.145,42.2651,34.9,34.9,0.0837,45,3.44,0,0.437,7.185,38.9,4.5667,4,398,15.2,396.9,class_0
191,39,31,3585,-71.1216,42.27,37,33,0.09068,45,3.44,0,0.437,6.951,21.5,6.4798,4,398,15.2,377.68,class_0
192,39,31,3586,-71.1485,42.2765,30.5,30.5,0.06911,45,3.44,0,0.437,6.739,30.8,6.4798,4,398,15.2,389.71,class_0
193,39,31,3587,-71.134,42.2785,36.4,36.4,0.08664,45,3.44,0,0.437,7.178,26.3,6.4798,4,398,15.2,390.49,class_0
194,2,32,3591,-71.1525,42.3,31.1,31.1,0.02187,60,2.93,0,0.401,6.8,9.9,6.2196,0,265,15.6,393.37,class_0
195,2,32,3592,-71.1633,42.303,29.1,29.1,0.01439,60,2.93,0,0.401,6.604,18.8,6.2196,0,265,15.6,376.7,class_0
196,40,33,3602,-71.189,42.2525,50,50,0.01381,80,0.46,0,0.422,7.875,32,5.6484,3,255,14.4,394.23,class_0
197,27,34,3611,-71.22,42.2715,33.3,33.3,0.04011,80,1.52,0,0.404,7.287,34.1,7.309,1,329,12.6,396.9,class_0
198,27,34,3612,-71.24,42.2725,30.3,30.3,0.04666,80,1.52,0,0.404,7.107,36.6,7.309,1,329,12.6,354.31,class_0
199,27,34,3613,-71.222,42.289,34.6,34.6,0.03768,80,1.52,0,0.404,7.274,38.3,7.309,1,329,12.6,392.2,class_0
200,75,35,3651,-71.244,42.2425,34.9,34.9,0.0315,95,1.47,0,0.403,6.975,15.3,7.6534,2,402,17,396.9,class_0
201,75,35,3652,-71.263,42.2225,32.9,32.9,0.01778,95,1.47,0,0.403,7.135,13.9,7.6534,2,402,17,384.3,class_0
202,82,36,3661,-71.2185,42.1955,24.1,24.1,0.03445,82.5,2.03,0,0.415,6.162,38.4,6.27,1,348,14.7,393.77,class_0
203,82,36,3662,-71.214,42.218,42.3,42.3,0.02177,82.5,2.03,0,0.415,7.61,15.7,6.27,1,348,14.7,395.38,class_0
204,85,37,3671,-71.199,42.232,48.5,48.5,0.0351,95,2.68,0,0.4161,7.853,33.2,5.118,3,224,14.7,392.78,class_0
205,85,37,3672,-71.199,42.2058,50,50,0.02009,95,2.68,0,0.4161,8.034,31.9,5.118,3,224,14.7,390.55,class_0
206,80,38,3681,-71.1475,42.2445,22.6,22.6,0.13642,0,10.59,0,0.489,5.891,22.3,3.9454,3,277,18.6,396.9,class_0
207,80,38,3682,-71.15,42.2308,24.4,24.4,0.22969,0,10.59,0,0.489,6.326,52.5,4.3549,3,277,18.6,394.87,class_0
214,80,38,3689,-71.1375,42.2355,28.1,28.1,0.14052,0,10.59,0,0.489,6.375,32.3,3.9454,3,277,18.6,385.81,class_0
216,80,38,3691,-71.1245,42.2277,25,25,0.19802,0,10.59,0,0.489,6.182,42.4,3.9454,3,277,18.6,393.63,class_0
218,81,39,3702,-71.105,42.2235,28.7,28.7,0.07013,0,13.89,0,0.55,6.642,85.1,3.4211,4,276,16.4,392.78,class_0
220,81,39,3704,-71.106,42.2185,23,23,0.11425,0,13.89,1,0.55,6.373,92.4,3.3633,4,276,16.4,393.74,class_0
221,56,40,3731,-71.11,42.2137,26.7,26.7,0.35809,0,6.2,1,0.507,6.951,88.5,2.8617,7,307,17.4,391.7,class_0
223,56,40,3733,-71.125,42.2134,27.5,27.5,0.62356,0,6.2,1,0.507,6.879,77.7,3.2721,7,307,17.4,390.39,class_0
224,56,40,3734,-71.1208,42.2183,30.1,30.1,0.6147,0,6.2,0,0.507,6.618,80.8,3.2721,7,307,17.4,396.9,class_0
225,56,40,3735,-71.11,42.206,44.8,44.8,0.31533,0,6.2,0,0.504,8.266,78.3,2.8944,7,307,17.4,385.05,class_0
226,56,40,3736,-71.1012,42.1975,50,50,0.52693,0,6.2,0,0.504,8.725,83,2.8944,7,307,17.4,382,class_0
227,56,40,3737,-71.1215,42.2025,37.6,37.6,0.38214,0,6.2,0,0.504,8.04,86.5,3.2157,7,307,17.4,387.38,class_0
228,56,40,3738,-71.116,42.1947,31.6,31.6,0.41238,0,6.2,0,0.504,7.163,79.9,3.2157,7,307,17.4,372.08,class_0
229,56,40,3739,-71.11,42.185,46.7,46.7,0.29819,0,6.2,0,0.504,7.686,17,3.3751,7,307,17.4,377.51,class_0
230,56,40,3740,-71.119,42.1807,31.5,31.5,0.44178,0,6.2,0,0.504,6.552,21.4,3.3751,7,307,17.4,380.34,class_0
231,56,40,3741,-71.13,42.188,24.3,24.3,0.537,0,6.2,0,0.504,5.981,68.1,3.6715,7,307,17.4,378.35,class_0
232,56,40,3742,-71.1285,42.193,31.7,31.7,0.46296,0,6.2,0,0.504,7.412,76.9,3.6715,7,307,17.4,376.14,class_0
233,56,40,3743,-71.14,42.1946,41.7,41.7,0.57529,0,6.2,0,0.507,8.337,73.3,3.8384,7,307,17.4,385.91,class_0
234,56,40,3744,-71.134,42.204,48.3,48.3,0.33147,0,6.2,0,0.507,8.247,70.4,3.6519,7,307,17.4,378.95,class_0
235,56,40,3745,-71.132,42.2142,29,29,0.44791,0,6.2,1,0.507,6.726,66.5,3.6519,7,307,17.4,360.2,class_0
236,56,40,3746,-71.138,42.2141,24,24,0.33045,0,6.2,0,0.507,6.086,61.5,3.6519,7,307,17.4,376.75,class_0
237,56,40,3747,-71.1485,42.211,25.1,25.1,0.52058,0,6.2,1,0.507,6.631,76.5,4.148,7,307,17.4,388.45,class_0
238,56,40,3748,-71.1491,42.203,31.5,31.5,0.51183,0,6.2,0,0.507,7.358,71.6,4.148,7,307,17.4,390.07,class_0
239,54,41,3821,-71.2055,42.1875,23.7,23.7,0.08244,30,4.93,0,0.428,6.481,18.5,6.1899,5,300,16.6,379.41,class_0
240,54,41,3822,-71.2035,42.187,23.3,23.3,0.09252,30,4.93,0,0.428,6.606,42.2,6.1899,5,300,16.6,383.78,class_0
241,54,41,3823,-71.1966,42.164,22,27,0.11329,30,4.93,0,0.428,6.897,54.3,6.3361,5,300,16.6,391.25,class_0
242,54,41,3824,-71.2138,42.1645,20.1,20.1,0.10612,30,4.93,0,0.428,6.095,65.1,6.3361,5,300,16.6,394.62,class_0
243,54,41,3825,-71.22,42.1782,22.2,22.2,0.1029,30,4.93,0,0.428,6.358,52.9,7.0355,5,300,16.6,372.75,class_0
244,54,41,3826,-71.232,42.1725,23.7,23.7,0.12757,30,4.93,0,0.428,6.393,7.8,7.0355,5,300,16.6,374.71,class_0
245,33,42,3831,-71.2435,42.163,17.6,17.6,0.20608,22,5.86,0,0.431,5.593,76.5,7.9549,6,330,19.1,372.49,class_0
247,33,42,3833,-71.262,42.169,24.3,24.3,0.33983,22,5.86,0,0.431,6.108,34.9,8.0555,6,330,19.1,390.18,class_0
248,33,42,3834,-71.247,42.1703,20.5,20.5,0.19657,22,5.86,0,0.431,6.226,79.2,8.0555,6,330,19.1,376.14,class_0
249,33,42,3835,-71.255,42.1767,24.5,24.5,0.16439,22,5.86,0,0.431,6.433,49.1,7.8265,6,330,19.1,374.71,class_0
250,33,42,3836,-71.2475,42.1825,26.2,26.2,0.19073,22,5.86,0,0.431,6.718,17.5,7.8265,6,330,19.1,393.74,class_0
251,33,42,3837,-71.238,42.191,24.4,24.4,0.1403,22,5.86,0,0.431,6.487,13,7.3967,6,330,19.1,396.28,class_0
252,33,42,3838,-71.2435,42.1982,24.8,24.8,0.21409,22,5.86,0,0.431,6.438,8.9,7.3967,6,330,19.1,377.07,class_0
253,33,42,3839,-71.2685,42.1935,29.6,29.6,0.08221,22,5.86,0,0.431,6.957,6.8,8.9067,6,330,19.1,386.09,class_0
254,33,42,3840,-71.2807,42.1727,42.8,42.8,0.36894,22,5.86,0,0.431,8.259,8.4,8.9067,6,330,19.1,396.9,class_0
255,1,43,3851,-71.2895,42.1575,21.9,21.9,0.04819,80,3.64,0,0.392,6.108,32,9.2203,0,315,16.4,392.89,class_0
256,1,43,3852,-71.269,42.1482,20.9,20.9,0.03548,80,3.64,0,0.392,5.876,19.1,9.2203,0,315,16.4,395.18,class_0
257,72,44,3861,-71.223,42.145,44,44,0.01538,90,3.75,0,0.394,7.454,34.2,6.3361,2,244,15.9,386.34,class_0
258,21,45,4001,-71.0679,42.2073,50,50,0.61154,20,3.97,0,0.647,8.704,86.9,1.801,4,264,13,389.7,class_0
259,21,45,4002,-71.0727,42.2077,36,36,0.66351,20,3.97,0,0.647,7.333,100,1.8946,4,264,13,383.29,class_0
260,21,45,4003,-71.0765,42.2075,30.1,30.1,0.65665,20,3.97,0,0.647,6.842,100,2.0107,4,264,13,391.93,class_0
261,21,45,4004,-71.08,42.204,33.8,33.8,0.54011,20,3.97,0,0.647,7.203,81.8,2.1121,4,264,13,392.8,class_0
262,21,45,4005,-71.079,42.202,43.1,43.1,0.53412,20,3.97,0,0.647,7.52,89.4,2.1398,4,264,13,388.37,class_0
263,21,45,4006,-71.0835,42.2,48.8,48.8,0.52014,20,3.97,0,0.647,8.398,91.5,2.2885,4,264,13,386.86,class_0
264,21,45,4007,-71.075,42.198,31,31,0.82526,20,3.97,0,0.647,7.327,94.5,2.0788,4,264,13,393.42,class_0
265,21,45,4008,-71.071,42.203,36.5,36.5,0.55007,20,3.97,0,0.647,7.206,91.6,1.9301,4,264,13,387.89,class_0
266,21,45,4009,-71.07,42.2,22.8,22.8,0.76162,20,3.97,0,0.647,5.56,62.8,1.9865,4,264,13,392.4,class_0
268,21,45,4011,-71.085,42.1925,50,50,0.57834,20,3.97,0,0.575,8.297,67,2.4216,4,264,13,384.54,class_0
269,21,45,4012,-71.0925,42.2075,43.5,43.5,0.5405,20,3.97,0,0.575,7.47,52.6,2.872,4,264,13,390.3,class_0
272,29,46,4023,-71.094,42.1355,25.2,25.2,0.16211,20,6.96,0,0.464,6.24,16.3,4.429,2,223,18.6,396.9,class_0
273,29,46,4024,-71.0982,42.1445,24.4,24.4,0.1146,20,6.96,0,0.464,6.538,58.7,3.9175,2,223,18.6,394.96,class_0
274,29,46,4025,-71.117,42.151,35.2,35.2,0.22188,20,6.96,1,0.464,7.691,51.8,4.3665,2,223,18.6,390.77,class_0
275,55,47,4031,-71.1305,42.1675,32.4,32.4,0.05644,40,6.41,1,0.447,6.758,32.9,4.0776,3,254,17.6,396.9,class_0
276,55,47,4032,-71.138,42.1733,32,32,0.09604,40,6.41,0,0.447,6.854,42.8,4.2673,3,254,17.6,396.9,class_0
277,55,47,4033,-71.1405,42.1632,33.2,33.2,0.10469,40,6.41,1,0.447,7.267,49,4.7872,3,254,17.6,389.25,class_0
278,55,47,4034,-71.1495,42.173,33.1,33.1,0.06127,40,6.41,1,0.447,6.826,27.6,4.8628,3,254,17.6,393.45,class_0
279,55,47,4035,-71.1395,42.1813,29.1,29.1,0.07978,40,6.41,0,0.447,6.482,32.1,4.1403,3,254,17.6,396.9,class_0
280,83,48,4041,-71.148,42.188,35.1,35.1,0.21038,20,3.33,0,0.4429,6.812,32.2,4.1007,4,216,14.9,396.9,class_0
281,83,48,4042,-71.166,42.187,45.4,45.4,0.03578,20,3.33,0,0.4429,7.82,64.5,4.6947,4,216,14.9,387.31,class_0
