@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute class {class_0,class_1}

@data
1,0,0,2,0,0,1,1,1,1,0,1,1,1,1,0,0,class_0
1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,21,class_0
0,1,1,2,0,1,1,1,1,1,0,1,1,0,0,0,0,class_0
1,0,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,class_0
2,0,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,class_0
1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,7,class_0
1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,4,class_0
1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,class_0
1,1,1,2,0,1,1,0,1,0,1,1,1,0,1,0,3,class_0
1,1,1,2,0,1,1,1,1,1,1,1,1,1,0,1,21,class_0
2,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,10,class_0
2,0,1,2,0,1,0,1,1,1,1,1,1,1,1,1,13,class_0
1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,13,class_0
1,0,1,2,1,1,1,1,1,1,1,1,1,0,1,0,0,class_0
2,0,0,2,1,1,1,1,1,1,1,1,1,0,1,1,0,class_0
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,17,class_0
1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,class_0
1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,15,class_0
1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,class_0
1,0,1,2,1,1,1,0,1,0,1,0,1,1,1,1,0,class_0
1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,class_0
1,0,2,2,0,0,1,1,1,1,1,1,1,1,1,0,0,class_0
2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,3,class_0
2,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,class_0
1,1,0,2,1,1,1,1,1,0,0,1,1,1,1,0,0,class_0
1,1,2,2,1,1,1,0,1,1,0,1,1,1,1,0,0,class_0
1,0,1,2,1,1,0,1,1,1,1,1,1,0,1,1,0,class_0
1,0,1,2,1,1,1,1,1,0,1,1,1,0,1,1,2,class_0
2,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,4,class_0
1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,0,class_0
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,class_0
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,4,class_0
1,1,1,2,0,1,1,0,1,1,1,1,1,1,1,1,21,class_0
0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,3,class_0
2,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,class_0
2,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,7,class_0
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,12,class_0
1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,class_0
1,0,0,2,1,1,1,0,1,0,1,1,1,1,1,1,0,class_0
0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,4,class_0
0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,13,class_0
1,1,0,2,0,1,1,1,1,1,1,1,0,1,1,1,1,class_0
1,1,1,2,0,1,0,1,1,1,1,1,1,1,1,1,13,class_0
1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,13,class_0
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,class_0
1,1,1,2,1,1,1,0,0,1,1,1,1,1,1,1,17,class_0
2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,4,class_0
0,0,1,2,1,1,1,0,1,1,1,1,1,1,1,1,4,class_0
2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,21,class_0
2,0,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,class_0
1,0,1,2,1,1,1,1,1,0,1,1,1,1,1,1,10,class_0
2,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,class_0
2,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,4,class_0
0,1,0,2,0,1,0,0,1,1,1,1,1,1,1,0,0,class_0
1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,17,class_0
2,1,1,2,1,1,1,0,0,1,1,1,1,1,1,1,17,class_0
1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,class_0
1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,4,class_0
2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,21,class_0
1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,13,class_0
0,1,1,2,0,1,1,1,1,1,1,1,1,1,0,1,21,class_0
2,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,7,class_0
1,0,1,2,0,1,0,1,1,1,0,1,1,1,1,0,4,class_0
1,0,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,class_0
1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,2,class_0
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,17,class_0
1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,21,class_0
1,0,0,2,1,1,0,1,1,1,1,1,0,0,0,0,2,class_0
2,0,1,2,1,1,1,1,1,0,1,1,1,1,1,1,4,class_0
1,1,2,2,1,1,1,0,0,1,1,1,1,0,1,0,0,class_0
1,0,0,2,0,1,1,0,1,1,1,1,1,0,1,0,0,class_0
1,0,0,2,0,1,1,1,1,1,1,1,1,1,1,1,0,class_0
2,0,1,2,1,1,0,0,1,1,1,1,1,1,1,1,13,class_0
1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,class_0
2,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,11,class_0
0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,4,class_0
2,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,12,class_0
2,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,3,class_0
1,0,1,2,1,1,1,1,1,1,1,1,1,0,1,0,0,class_0
1,0,1,2,1,1,1,1,1,1,0,0,1,0,0,0,0,class_0
1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,21,class_0
2,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,13,class_0
2,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,class_0
1,0,1,2,0,1,1,1,1,0,1,1,1,1,1,1,4,class_0
1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,11,class_0
1,0,0,2,1,1,1,1,1,1,1,1,1,0,1,1,4,class_0
1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,21,class_0
1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,class_0
1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,10,class_0
1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,10,class_0
1,0,1,2,0,1,0,1,1,1,0,1,1,1,1,0,13,class_0
1,0,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0,class_0
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,17,class_0
0,0,1,2,1,1,1,1,1,0,1,1,1,0,1,0,0,class_0
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,class_0
1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,13,class_0
1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,class_0
1,0,1,2,0,1,1,1,1,1,1,1,1,1,1,1,4,class_0
0,0,1,2,1,1,1,1,1,1,1,1,1,0,1,1,13,class_0
1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,16,class_0
1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,13,class_0
0,0,2,2,1,1,1,1,1,1,1,1,1,0,1,1,12,class_0
1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,6,class_0
1,0,0,2,0,1,1,1,1,1,1,1,1,1,1,1,2,class_0
0,0,1,2,0,1,1,1,1,1,1,1,1,1,1,1,13,class_0
1,0,1,2,0,1,1,1,1,1,1,1,1,1,1,0,0,class_0
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,18,class_0
2,1,1,2,0,1,1,0,1,0,1,1,1,1,1,1,0,class_0
1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,17,class_0
2,1,1,2,0,1,1,0,1,1,1,1,1,1,1,1,0,class_0
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,3,class_0
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,21,class_0
1,1,1,2,1,1,0,0,0,1,1,1,1,0,1,1,21,class_0
0,1,0,2,0,1,0,0,1,1,1,1,1,1,1,0,0,class_0
1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,4,class_0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,21,class_0
1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,class_0
1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,3,class_0
1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,9,class_0
1,0,1,2,1,1,1,1,0,0,1,1,1,1,1,1,10,class_0
2,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5,class_0
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,21,class_0
1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,class_0
2,1,0,2,1,1,0,1,1,0,0,1,1,0,1,0,0,class_0
1,1,1,2,1,1,0,0,0,1,1,1,1,1,1,1,10,class_0
1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,14,class_0
1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,class_0
1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,16,class_0
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,17,class_0
1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,1,2,class_0
2,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,class_0
1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,7,class_0
0,0,1,2,1,1,0,1,1,1,1,1,1,1,1,1,0,class_0
2,0,1,2,1,1,0,1,1,1,1,1,1,0,1,1,4,class_0
2,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,10,class_0
2,1,0,2,1,1,1,0,1,0,1,1,1,0,1,0,0,class_0
1,0,1,2,0,1,1,1,1,1,1,0,1,1,1,1,0,class_0
1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,17,class_0
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,17,class_0
1,0,0,2,1,1,1,1,0,0,1,1,1,1,1,0,0,class_0
1,0,1,2,0,1,0,1,1,1,1,1,1,1,1,1,3,class_0
1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,class_0
2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,11,class_0
2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,6,class_0
1,0,0,2,0,1,1,1,1,1,1,1,1,1,1,1,0,class_0
0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,class_0
1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,4,class_0
1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,class_0
1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,21,class_0
2,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,0,class_0
1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,21,class_0
1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,3,class_0
1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,21,class_0
2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,13,class_0
2,1,0,2,0,1,0,1,1,1,1,1,1,0,1,1,0,class_0
1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,13,class_0
1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,16,class_0
2,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,class_0
1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,class_0
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,21,class_0
1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,3,class_0
1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,17,class_0
1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,4,class_0
1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,class_0
1,1,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,class_0
2,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,class_0
1,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,17,class_0
1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,13,class_0
1,0,0,2,1,1,1,1,1,1,1,0,1,1,1,1,0,class_0
1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,17,class_0
1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,3,class_0
2,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,class_0
1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,class_0
2,0,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,class_0
1,1,1,2,1,1,0,1,0,0,1,1,1,1,1,0,0,class_0
2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,10,class_0
1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,6,class_0
1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,4,class_0
1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,13,class_0
1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,class_0
1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,16,class_0
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,17,class_0
1,0,0,2,0,1,1,1,1,1,1,0,1,1,0,1,0,class_0
1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,17,class_0
1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,17,class_0
2,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,10,class_1
1,0,2,2,1,1,1,0,1,0,1,1,0,1,1,0,0,class_1
2,0,0,2,0,1,0,0,1,0,1,1,1,1,1,1,0,class_1
1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,17,class_1
2,0,1,2,1,1,1,1,1,0,1,1,1,1,1,1,10,class_1
2,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,10,class_1
2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,11,class_1
1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,0,21,class_1
2,1,1,2,1,1,0,1,1,0,1,1,1,1,1,1,11,class_1
1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,4,class_1
1,0,1,2,1,1,1,1,1,1,0,1,1,1,1,1,4,class_1
1,0,1,2,1,1,1,1,0,1,0,0,1,1,1,0,0,class_1
1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,10,class_1
1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,10,class_1
1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,10,class_1
2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,11,class_1
1,1,1,2,1,1,0,1,1,1,1,1,0,0,0,0,4,class_1
1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,2,class_1
1,0,1,2,0,0,0,0,0,0,1,1,1,1,1,0,0,class_1
1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,18,class_1
2,0,1,2,1,1,1,1,1,0,1,1,1,1,1,1,16,class_1
1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,10,class_1
1,0,1,2,1,1,1,1,1,1,1,1,0,0,1,0,0,class_1
1,0,1,2,0,1,0,0,1,0,1,1,1,1,1,0,0,class_1
1,0,1,2,1,1,0,1,1,0,1,1,1,1,1,0,0,class_1
1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,17,class_1
2,0,1,2,1,1,0,1,0,0,1,1,1,1,1,1,4,class_1
2,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,13,class_1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,19,class_1
1,0,1,2,0,1,0,1,0,1,1,1,1,1,1,1,13,class_1
2,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,11,class_1
1,0,1,2,1,1,1,0,1,1,1,1,1,0,1,0,0,class_1
2,1,1,2,1,1,0,1,0,0,1,1,1,1,1,1,17,class_1
2,1,1,2,1,1,1,0,0,1,0,1,1,1,1,1,12,class_1
0,1,1,2,0,1,1,1,0,1,1,1,0,0,0,1,4,class_1
1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,17,class_1
2,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,3,class_1
1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,21,class_1
1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,21,class_1
2,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,4,class_1
1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,10,class_1
2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,11,class_1
2,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,18,class_1
1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,10,class_1
2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,class_1
2,0,1,2,0,1,1,1,1,0,1,1,1,1,1,0,0,class_1
1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,6,class_1
2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,16,class_1
1,0,2,2,1,1,0,1,0,1,1,1,1,1,1,1,0,class_1
2,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,16,class_1
2,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,10,class_1
1,0,1,2,1,1,0,0,1,1,1,1,1,1,1,0,10,class_1
2,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,11,class_1
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,17,class_1
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,6,class_1
1,0,1,2,1,1,1,0,1,0,1,1,1,1,1,0,10,class_1
1,0,1,2,1,1,1,1,0,0,1,1,1,1,1,1,4,class_1
1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,6,class_1
2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,6,class_1
2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,6,class_1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,class_1
2,1,1,2,0,1,0,0,1,0,1,1,1,1,1,0,10,class_1
1,1,1,2,0,1,0,0,0,0,1,1,1,1,1,0,0,class_1
1,0,1,2,1,1,1,0,1,0,0,1,1,1,1,0,0,class_1
2,1,0,2,1,1,1,1,1,0,1,1,1,1,1,1,11,class_1
2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,4,class_1
2,1,1,2,1,1,0,1,1,0,1,1,1,1,1,0,6,class_1
0,0,1,2,0,0,0,1,1,0,0,1,1,1,0,0,4,class_1
1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,class_1
2,0,1,2,1,1,0,1,1,0,1,1,1,1,1,1,10,class_1
2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,class_1
2,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,class_1
1,0,0,2,0,1,1,1,0,1,0,1,1,1,1,0,0,class_1
0,0,1,2,1,1,1,1,0,0,1,0,1,1,1,1,13,class_1
1,1,0,2,1,1,0,0,0,0,1,0,1,1,1,0,0,class_1
0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,4,class_1
1,1,1,2,1,1,0,0,0,1,1,1,1,1,1,1,4,class_1
2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4,class_1
2,1,1,2,1,1,1,1,1,0,1,1,1,1,1,0,11,class_1
2,1,1,2,1,1,0,0,0,0,1,1,1,1,1,0,11,class_1
2,1,1,2,1,1,1,1,1,0,1,1,1,1,1,0,0,class_1
2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,17,class_1
2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,12,class_1
2,1,1,2,1,1,0,0,1,0,1,1,1,1,1,0,6,class_1
1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,4,class_1
1,1,1,2,1,1,1,0,0,0,1,1,1,1,1,1,10,class_1
2,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,2,class_1
1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,18,class_1
2,1,1,2,1,1,0,1,1,0,1,1,1,1,1,0,10,class_1
2,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,4,class_1
1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,4,class_1
2,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,10,class_1
2,0,1,2,1,1,1,0,0,0,1,1,1,1,1,1,7,class_1
1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,6,class_1
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,17,class_1
2,1,1,2,1,1,1,0,0,1,1,1,1,1,1,1,13,class_1
1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,class_1
1,1,1,2,1,1,1,1,0,0,1,1,1,0,1,0,17,class_1
2,0,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,class_1
1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,13,class_1
1,1,1,2,1,1,0,1,1,0,1,1,1,1,1,0,19,class_1
1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,class_1
1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,12,class_1
2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,6,class_1
1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,20,class_1
2,1,1,2,1,1,0,1,1,1,1,1,1,1,1,0,13,class_1
2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,11,class_1
1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,4,class_1
2,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,11,class_1
1,0,1,2,1,1,0,1,0,0,1,1,1,1,1,0,10,class_1
2,0,1,2,1,1,1,1,1,0,1,1,1,1,1,0,0,class_1
2,0,1,2,1,1,1,0,0,1,1,1,0,1,1,0,14,class_1
2,1,1,2,1,1,0,0,0,1,1,1,1,1,1,1,18,class_1
1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,4,class_1
1,1,1,2,0,1,0,0,0,0,0,1,1,1,1,1,11,class_1
