@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute class {class_0,class_1}

@data
10,0,46,50,0,0,3,1,55,5700,3755,0,10.6,4,151,93,63,34,27.5,10,1695,0,class_0
10,4,30,36,2,0,4,1.6,90,5400,3250,0,12.4,4,164,97,67,37,24.5,11,2475,0,class_0
11,0,42,46,2,0,4,1.5,102,5900,2650,0,11.9,4,173,103,67,36,28,12,2350,0,class_0
11,2,24,31,1,0,4,2.2,140,5600,2610,0,17,4,185,107,67,41,28,14,3040,0,class_0
12,0,29,33,0,0,4,1.5,81,5500,2710,0,11.9,5,168,94,63,35,26,11,2345,0,class_0
12,0,22,29,0,0,4,1.8,124,6000,2745,0,13.7,5,172,98,66,36,28,12,2620,0,class_0
12,4,26,34,0,0,4,1.5,92,5550,2540,0,11.9,4,166,94,64,34,23.5,9,2285,0,class_0
12,1,20,27,0,0,4,2,128,6000,2335,0,17.2,5,184,104,69,41,31,14,2885,0,class_0
16,0,29,37,0,0,4,1.6,82,5000,2370,0,13.2,4,164,97,66,34,27,16,2325,0,class_0
16,0,28,36,0,0,4,1.8,103,5500,2220,0,14.5,5,172,98,66,36,26.5,13,2440,0,class_0
16,2,26,34,2,0,4,2.5,164,5600,2505,0,15.5,5,184,103,69,40,29.5,14,2970,0,class_0
16,5,18,24,0,2,6,3,155,5000,2240,1,19.6,7,190,110,72,39,27.5,16,3735,0,class_0
18,4,23,26,2,0,4,1.6,100,5750,2475,0,11.1,4,166,95,65,36,19,6,2450,1,class_0
18,1,19,26,0,1,6,3.8,140,3800,1730,1,18,5,199,113,73,38,28,15,3610,1,class_0
19,0,29,33,0,0,4,1.5,92,6000,2505,0,13.2,5,172,98,67,36,26,11,2295,0,class_0
20,0,29,33,2,0,4,1.6,110,6000,2435,0,13.2,5,170,96,66,33,26,12,2545,0,class_0
20,2,24,30,2,0,4,2.4,150,5600,2130,0,15.9,5,181,103,67,40,28.5,14,3050,0,class_0
20,5,17,23,0,0,6,3,151,4800,2065,1,20,7,190,112,74,41,27,11,4100,0,class_0
21,2,24,31,0,0,4,2.3,155,6000,2380,1,15.2,5,188,103,67,39,28,14,2910,1,class_0
21,1,23,31,2,0,4,2.2,110,5200,2565,1,16.5,5,190,105,70,42,28,16,2890,1,class_0
21,5,18,23,0,0,6,3.8,170,4800,1690,1,20,7,194,110,74,44,30.5,16,3715,1,class_0
22,4,23,30,0,2,4,1.8,92,5000,2360,0,15.9,4,173,97,67,39,24.5,8,2640,1,class_0
23,0,31,41,0,0,4,1.6,74,5600,3130,0,13.2,4,177,99,66,35,25.5,17,2350,1,class_0
23,2,23,31,0,0,4,2,110,5200,2665,0,15.2,5,181,101,66,39,25,13,2575,1,class_0
23,4,19,28,1,1,6,3.4,160,4600,1805,0,15.5,4,196,101,75,43,25,13,3240,1,class_0
23,1,19,27,0,0,6,3.4,200,5000,1890,0,16.5,5,195,108,72,41,28.5,16,3450,1,class_0
25,0,28,38,2,0,4,1.9,85,5000,2145,0,12.8,5,176,102,68,40,26.5,12,2495,1,class_0
26,0,33,37,0,2,3,1.2,73,5600,2875,0,9.2,4,146,90,60,32,23.5,10,2045,0,class_0
26,0,25,30,0,2,4,1.8,90,5200,3375,0,15.9,5,175,97,65,35,27.5,15,2490,0,class_0
26,2,23,30,2,2,4,2.2,130,5600,2330,0,15.9,5,179,102,67,37,27,14,3085,0,class_0
27,0,39,43,0,0,3,1.3,70,6000,3360,0,10.6,4,161,93,63,34,27.5,10,1965,0,class_0
28,0,32,37,2,0,4,1.5,82,5200,3505,0,11.9,5,162,94,65,36,24,11,2055,0,class_0
28,4,25,32,2,0,4,2.2,135,5400,2405,0,15.9,4,174,99,69,39,23,13,2950,0,class_0
28,1,22,29,2,0,4,2.2,130,5400,2340,0,18.5,5,188,103,70,38,28.5,15,3030,0,class_0
29,0,25,33,0,0,4,1.8,81,5500,2550,0,12.4,4,163,93,63,34,26,10,2240,0,class_0
0,1,18,25,1,0,6,3.2,200,5500,2335,0,18,5,195,115,71,38,30,15,3560,0,class_1
1,2,20,26,2,0,6,2.8,172,5500,2280,0,16.9,5,180,102,67,37,28,14,3375,0,class_1
1,1,19,26,1,0,6,2.8,172,5500,2535,0,21.1,6,193,106,70,37,31,17,3405,0,class_1
2,1,22,30,2,1,4,3.5,208,5700,2545,0,21.1,4,186,109,69,39,27,13,3640,0,class_1
3,3,19,28,2,0,6,3.8,170,4800,1570,1,18,6,200,111,74,42,30.5,17,3470,1,class_1
3,3,16,25,2,1,6,5.7,180,4000,1320,1,23,6,216,116,78,45,30.5,21,4105,1,class_1
3,1,19,27,2,0,6,3.8,170,4800,1690,1,18.8,5,198,108,73,41,26.5,14,3495,1,class_1
4,3,16,25,2,0,8,4.9,200,4100,1510,1,18,6,206,114,73,43,35,18,3620,1,class_1
4,1,16,25,1,0,8,4.6,295,6000,1985,1,20,5,204,111,74,44,31,14,3935,1,class_1
5,4,17,25,2,1,8,5.7,300,5000,1450,0,20,2,179,96,74,43,33.5,16,3380,1,class_1
6,3,20,26,2,0,6,3.3,147,4800,1785,1,16,6,203,110,69,44,36,17,3570,1,class_1
7,4,18,24,2,2,6,3,300,6000,2120,0,19.8,4,180,97,72,40,20,11,3805,1,class_1
9,5,15,20,2,2,6,3,145,4800,2080,0,21,7,176,119,72,45,30,13,3735,1,class_1
9,1,21,30,2,0,6,3,140,4800,1885,1,16,5,192,106,71,40,27.5,18,3325,1,class_1
9,3,18,26,2,1,8,4.6,190,4200,1415,1,20,6,212,114,78,43,30,21,3950,1,class_1
11,4,24,31,1,0,4,2.3,160,5800,2855,0,15.9,4,175,100,70,39,23.5,8,2865,0,class_1
13,1,17,22,2,1,8,4.5,278,6000,1955,1,22.5,5,200,113,72,42,29,15,4000,0,class_1
14,1,18,24,2,0,6,3,185,5200,2325,0,18.5,5,188,103,70,40,27.5,14,3510,0,class_1
14,1,18,23,1,1,6,3,225,6000,2510,0,20.6,4,191,106,71,39,25,9,3515,0,class_1
15,1,17,26,1,0,6,3.8,160,4400,1835,1,18.4,6,205,109,73,42,30,19,3695,1,class_1
15,3,18,26,1,1,8,4.6,210,4600,1840,1,20,6,219,117,77,45,31.5,22,4055,1,class_1
16,4,17,25,2,1,6,1.3,255,6500,2325,0,20,2,169,96,69,37,26,14,2895,0,class_1
17,2,20,29,2,1,4,2.3,130,5100,2425,0,14.5,5,175,105,67,34,26,12,2920,0,class_1
17,1,19,25,1,1,6,3.2,217,5500,2220,1,18.5,5,187,110,69,37,27,15,3525,0,class_1
19,1,18,24,2,0,6,3,202,6000,2210,1,19,5,190,107,70,43,27.5,14,3730,0,class_1
20,1,21,26,2,0,6,3,160,5200,2045,1,18.5,5,188,104,69,41,28.5,14,3200,0,class_1
21,3,19,28,2,0,6,3.8,170,4800,1570,1,18,6,201,111,74,42,31.5,17,3470,1,class_1
23,3,19,28,1,0,6,3.8,170,4800,1565,1,18,6,177,111,74,43,30.5,18,3495,1,class_1
24,2,20,26,2,0,4,2.1,140,6000,2910,0,18,5,184,99,67,37,26.5,14,2775,0,class_1
28,5,18,22,2,2,4,2.4,138,5000,2515,0,19.8,7,187,113,71,41,35,14,3785,0,class_1
29,5,17,21,0,0,5,2.5,109,4500,2915,0,21.1,7,187,115,72,38,34,17,3960,0,class_1
29,2,21,30,0,0,4,2,134,5800,2685,0,18.5,5,180,103,67,35,31.5,14,2985,0,class_1
29,4,18,25,0,0,6,2.8,178,5800,2385,0,18.5,4,159,97,66,36,26,15,2810,0,class_1
30,2,21,28,2,1,4,2.3,114,5400,2215,0,15.8,5,190,104,67,37,29.5,14,2985,0,class_1
30,1,20,28,1,0,5,2.4,168,6200,2310,0,19.3,5,184,105,69,38,30,15,3245,0,class_1
