@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16}

@data
28,32,81,7,3.27,12.1,81,3665,7.5,51.6,13.2,4,2,1,823.764,class_2
42,33,76,9.7,3.22,9,76.2,9699,4.8,42.2,14.5,8,8,49,911.817,class_2
47,45,79,6.5,3.41,11.1,77.5,3125,27.1,50.2,20.6,18,8,24,982.291,class_3
43,30,74,10.9,3.23,12.1,83.9,4679,3.5,49.2,11.3,21,32,62,934.7,class_3
45,30,73,9.3,3.29,10.6,86,2140,5.3,40.4,10.5,6,4,4,899.529,class_3
52,42,79,7.7,3.39,9.6,69.2,2302,22.2,41.3,24.2,18,8,27,1017.613,class_3
43,27,72,9,3.25,11.5,87.1,2909,7.2,51.6,9.5,7,3,10,887.466,class_3
45,40,80,8.3,3.32,10.1,70.3,2682,21,46.1,24.1,17,14,78,961.009,class_3
36,29,72,9.5,3.32,10.6,77.6,3437,8.1,45.5,13.8,45,59,263,991.29,class_3
42,29,72,10.7,3.19,10.1,79.5,3508,2.2,38.8,15.7,6,4,18,938.5,class_3
45,28,74,10.6,3.21,11.1,82.6,1883,3.4,41.9,12.3,5,4,20,904.155,class_3
45,33,76,7.7,3.39,11.3,82.2,3152,12.1,47.3,10.9,14,11,42,1003.502,class_3
45,24,70,11.8,3.25,11.1,79.8,3678,1,44.8,14,7,3,8,895.696,class_3
43,35,77,7.6,3.44,9.6,84.6,6441,24.4,43.7,14.3,43,38,206,1071.289,class_4
35,31,81,9.2,3.1,12,78.3,3262,12.6,48.6,13.9,7,4,4,919.729,class_4
36,24,70,9,3.31,10.5,83.2,6582,8.1,42.5,12.6,18,12,37,1001.902,class_5
30,24,72,6.5,3.53,10.8,79.5,3694,13.1,33.8,12.4,11,4,11,941.181,class_5
31,24,72,9,3.37,10.9,82.8,3226,5.1,45.2,12.3,5,3,10,871.338,class_5
10,55,70,7.3,3.11,12.1,88.9,3033,5.9,51,14,144,66,20,839.709,class_5
38,24,72,9.8,3.34,11.4,78,4923,3.8,50.5,11.1,8,5,25,950.672,class_5
33,26,76,8.6,3.2,10.9,83.4,6122,16.3,44.9,10.7,88,63,278,1024.885,class_6
37,31,75,8,3.26,11.9,78.4,4259,13.1,49.6,13.9,23,9,15,958.839,class_6
36,30,75,7.5,3.35,11.4,81.9,4029,12.4,44,12,6,4,16,936.234,class_6
25,12,73,9.2,3.28,12.1,83.1,2095,2,51.9,9.8,20,11,26,857.622,class_6
46,30,72,10.2,3.16,11.3,83.2,3327,8.8,45.3,12.2,4,3,8,923.234,class_6
42,33,77,9.7,3.03,10.7,83.5,7462,11.3,48.7,12.4,41,26,108,994.648,class_6
38,28,72,8.9,3.48,10.7,79.8,3451,11.7,37.5,13,14,13,39,954.442,class_6
35,28,71,8.8,3.29,11.1,86.3,3042,14.7,44.6,11.4,31,21,64,985.95,class_7
39,29,75,8.7,3.23,11.4,78.6,4412,15.6,46.6,13.2,13,7,33,968.665,class_7
60,67,82,10,2.98,11.5,88.6,4657,13.5,47.3,22.4,3,1,1,861.439,class_7
32,25,72,10.9,3.21,11.1,82.5,4355,5,46.4,10.8,7,4,18,874.281,class_7
40,23,71,11.3,3.28,10.3,73.8,1671,2.5,47.4,13.5,5,2,11,912.202,class_7
15,30,73,8.2,3.15,12.2,84.2,4824,4.7,53.1,12.7,17,8,28,871.766,class_8
31,45,85,7.3,3.22,11.4,80.7,1844,11.5,48.1,18.5,1,1,1,891.708,class_9
42,40,77,6.1,3.45,10.4,71.8,2269,22.7,41.4,19.5,8,3,5,971.122,class_9
44,39,78,8.2,3.32,11,79.9,3768,28.6,49.5,17.5,12,9,48,1025.502,class_9
11,53,68,9.2,2.99,12.1,90.6,4700,7.8,48.9,12.3,648,319,130,861.833,class_10
30,20,69,8.8,3.26,11.1,85.4,2934,5.8,44,9.4,33,23,125,929.15,class_11
54,54,81,7.4,3.36,9.7,72.8,3172,31.4,45.5,24.2,20,17,1,1113.156,class_12
37,38,67,11.3,2.99,12,81.5,3387,3.6,50.3,13.5,56,21,44,893.991,class_13
18,48,63,9.2,2.92,12.2,87.7,4253,13.7,51.2,12,311,171,86,911.701,class_14
13,49,68,7,3.36,12.2,90.7,2702,3,51.9,9.7,105,32,3,790.733,class_14
35,40,64,9.6,3.02,12.2,82.5,3626,5.7,54.3,10.1,20,7,20,899.264,class_15
41,37,78,6.2,3.25,12.3,89.5,5308,25.9,59.7,10.3,65,28,102,967.803,class_16
