@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute value_23 numeric
@attribute value_24 numeric
@attribute value_25 numeric
@attribute value_26 numeric
@attribute value_27 numeric
@attribute value_28 numeric
@attribute value_29 numeric
@attribute value_30 numeric
@attribute value_31 numeric
@attribute value_32 numeric
@attribute value_33 numeric
@attribute value_34 numeric
@attribute value_35 numeric
@attribute value_36 numeric
@attribute value_37 numeric
@attribute value_38 numeric
@attribute class {class_0,class_1}

@data
140,372,7,35335,2,1,2,1,1,3,2,1,0,1,2,6,2,3,2,2,45,41,12,17,78,0.75,16,14.1,1100,50.5,35.4,0,0,2.5,1,50,4,96.97,2,class_0
140,410,7,37335,2,1,2,1,1,3,2,1,0,1,2,6,2,3,2,2,47.5,41,6,16.5,72,0.75,20,14.1,1300,50.5,35.4,4,0,2.5,1,50,4,96.97,2,class_0
138,387,64,25509,2,1,2,1,1,3,2,1,0,1,2,4,7,3,2,2,50,46,3,14.6,60,0.625,25,10.5,1750,52.6,36.8,2,0,2.4,0.8,28,4,96.97,2,class_0
145,21,47,37386,2,1,2,1,1,3,2,1,0,1,2,6,2,3,4,1,40,47,12,24.5,78,0.875,30,8.8,2100,54.9,36.3,16,0,2.3,1,40,4,100,2,class_0
144,36,47,37386,2,1,2,1,1,3,2,1,0,0,2,6,9,3,4,1,40,47,13,14.43,76,0.75,16,7.2,2000,51.5,41.2,1,0,2.7,1.4,40,4,100,2,class_0
149,35,47,37386,1,1,2,1,1,3,2,1,0,1,2,6,2,3,4,2,40,43,8,14.2,68,0.75,18,0,2000,62.5,37.5,0,0,2.5,1.2,40,4,106.45,2,class_0
146,27,47,37386,2,1,2,1,1,3,2,1,0,1,2,6,2,3,4,1,45,48,6,14,80,0.75,30,0,2000,62.5,37.5,0,0,2.5,1.2,40,4,109.67,2,class_0
151,35,47,27386,1,1,2,1,1,3,2,1,0,0,2,6,2,3,4,2,50,40,8,16.4,72,1,26,0,2000,62.5,37.5,0,0,2.5,1,40,4,106.45,2,class_0
151,397,47,37386,2,1,2,1,1,3,2,1,0,1,2,5,9,3,4,2,40,40,13,18.5,85,0.5625,30,0,1900,62.5,37.5,4,0,1.8,1.4,40,4,106.45,2,class_0
154,24,47,37355,1,1,2,1,1,3,0,1,0,1,3,3,9,3,2,1,49,43,13,14.5,74,0.75,23,9.1,1900,56.8,34.1,2,0,0.7,0.2,35,4,103.22,2,class_0
156,380,64,25513,2,1,2,1,1,3,2,1,0,1,2,4,7,3,2,2,45,45,6,14.7,75,0.625,30,15,1734,50,35,2,0,1.5,0.6,34,4,103.22,2,class_0
160,400,64,25514,2,1,2,1,1,3,2,1,0,0,2,4,7,3,0,1,55,49,8,12.5,70,0.625,30,5.6,1750,55.6,38.9,0,0,2.5,0.9,34,4,106.66,2,class_0
163,417,64,25515,2,1,2,1,1,3,2,1,0,1,2,4,7,3,2,2,42.5,46,10,14,77,0.625,42,15.8,1850,49.5,34.6,8,0,1.5,0.8,34,4,100,2,class_0
164,419,69,37081,1,1,1,1,1,1,0,1,0,1,2,7,1,3,0,2,35,44,3,15.5,100,0.875,30,0,2200,53.2,46.8,0,0,0,0,30,4,100,2,class_0
182,219,62,35816,1,1,2,1,1,1,0,1,0,1,2,6,2,2,0,1,47.5,68,15,14,78,0.75,22,0,1900,62.5,37.5,0,0,2.1,1.7,33,4,103.125,2,class_0
176,127,26,35458,1,1,2,1,1,1,0,1,0,0,3,3,2,3,0,1,40,60,6,15,78,1,28,0,2380,60,40,3,0,2.5,1,30,4,106.66,2,class_0
177,79,52,47203,2,1,2,1,1,1,0,1,0,0,1,1,9,1,2,1,55,55,10,16.3,100,1,25,0,1650,58.8,41.2,0,0,1.7,1,40,4,106.66,2,class_0
177,221,62,35816,1,1,2,1,1,1,0,1,0,1,3,2,2,2,0,1,40,55,16,15.5,92,0.75,22,9.6,1550,53.2,37.2,1,0,2.9,1.3,33,4,106.66,2,class_0
178,221,62,35816,1,1,2,1,1,1,0,1,0,1,3,2,2,2,0,1,40,52,10,16,86,0.75,26,9.6,1975,53.2,37.2,1,0,2.9,1.3,33,4,100,2,class_0
178,327,32,23055,2,1,2,1,1,3,1,1,0,1,2,4,7,3,2,1,42.5,52,15,13.9,76,0.625,25,0,1800,50,50,0,0,2.5,0.9,40,4,106.66,2,class_0
180,406,64,25520,2,1,2,1,1,3,2,1,0,1,2,4,7,3,0,1,50,56,8,15.2,76,0.625,25,3.4,1760,56.8,39.8,2,0,2.5,0.8,34,4,103.125,2,class_0
181,383,64,25520,2,1,2,1,1,3,2,1,0,1,2,4,7,3,2,1,45,57,8,14,76,0.75,20,3.4,1800,56.2,40.4,2,0,2,0.8,34,4,103.125,2,class_0
167,104,5,37168,1,1,2,1,1,1,0,1,0,1,3,2,2,3,0,2,30,63,10,13,94,1,29,0,1800,56.2,43.8,0,0,2.5,1,30,4,110,2,class_0
168,105,68,37333,1,1,2,1,1,1,0,1,0,1,3,2,2,3,0,2,50,60,8,13.6,86,1.125,28,0,1500,64.1,35.9,0,0,2.5,1,33,4,106.45,2,class_0
169,355,64,25517,2,1,2,1,1,3,2,1,0,0,2,4,7,3,2,2,55,53,10,14.2,72,0.625,25,22.7,1750,45.5,31.8,1,0,2.4,0.9,34,4,103.125,2,class_0
173,140,68,37333,1,1,2,1,1,1,0,1,0,0,3,2,2,3,0,1,35,56,10,15.3,80,0.75,20,0,1900,76.9,23.1,0,0,2.5,1.25,33,4,106.66,2,class_0
173,403,34,37994,2,1,2,1,1,3,2,1,0,0,2,4,7,3,2,2,55,56,6,15,84,0.625,25,16.7,1850,52.1,31.3,4,0,2,0.6,34,4,103.125,2,class_0
171,394,64,25513,2,1,2,1,1,3,2,1,0,0,2,4,7,3,2,1,55,49,3,15,78,0.625,20,17.1,1900,47.6,35.2,0,0,2.5,0.85,34,4,106.45,2,class_0
175,291,64,25519,2,1,2,1,1,3,2,1,0,0,2,4,7,3,2,1,52,64,15,15.5,82,0.625,30,0,1800,71.4,28.6,4,0,2.5,0.9,34,4,103.125,2,class_0
172,121,26,35458,1,1,2,1,1,1,0,1,0,0,3,3,9,3,0,1,40,56,6,16.5,79,0.5,28,0,2300,60.2,39.8,0,0,2.5,1.5,30,4,106.45,2,class_0
187,196,52,47203,2,1,2,1,1,3,2,1,0,0,0,0,7,1,2,1,50,69,14,17,82,0.75,50,0,1700,62.5,37.5,0,0,3,1,40,4,106.45,2,class_0
185,84,52,47203,2,1,2,1,1,3,2,1,0,1,1,1,1,1,2,1,50,68,14,13.4,70,0.625,25,20.4,1700,46.3,33.3,0,0,2.5,1,40,4,106.45,2,class_0
189,425,47,37305,1,1,2,1,1,3,0,1,0,1,3,2,9,3,3,2,35,68,15,15.1,90,0.875,30,6,1500,59.5,34.5,1,0,2.5,1,35,4,106.89,2,class_0
201,409,68,37502,1,1,2,1,1,1,0,1,0,0,2,5,2,3,0,1,40,66,3,15,82,0.8125,30,7,1900,58.1,34.9,5,0,2.5,0.9,30,4,103.125,2,class_0
200,155,50,37938,2,1,2,1,1,3,2,1,0,0,3,3,9,1,2,1,45,65,10,16.3,78,0.75,32,3.4,1700,56.8,39.8,4,0,2.5,1,34,4,106.45,2,class_0
199,225,61,35528,2,1,2,1,1,3,2,1,0,1,3,3,2,2,2,1,40,68,10,14,88,0.75,32,0,1742,60,40,3,0,2.5,1,40,4,103.125,2,class_0
198,387,68,37199,1,1,2,1,1,3,0,1,0,1,2,5,9,3,0,1,40,64,3,16.5,82,0.5625,30,2.3,1900,57.5,40.2,0,0,1.3,0.8,30,4,106.45,2,class_0
197,165,17,37003,2,1,2,1,1,3,1,1,0,1,3,2,2,1,2,1,40,65,8,16.2,79,0.625,30,0,1500,62.5,37.5,4,0,2.5,1,38,4,106.45,2,class_0
196,245,35,37990,2,1,2,1,1,3,2,1,0,1,1,1,1,1,2,1,50,66,6,16,87,1,35,11.1,1530,55.6,33.3,0,0,2.5,1,34,4,100,2,class_0
192,427,47,37365,1,1,2,1,1,3,0,1,0,1,3,2,9,3,2,2,35,62,15,14.5,94,1,35,0,1900,63.3,36.7,0,0,2.5,1,35,4,106.89,2,class_0
192,330,26,35460,1,1,2,1,1,1,0,1,0,0,2,5,2,3,0,1,40,62,3,16,80,0.8125,40,0,2250,62.5,37.5,0,0,2.5,0.7,30,4,110,2,class_0
191,4,47,37365,1,1,2,1,1,3,0,1,0,1,2,6,9,3,2,1,42.5,58,15,15,76,1,20,5.4,2000,54.3,40.2,0,0,2.5,1,35,4,103.33,2,class_0
204,197,52,47204,2,1,2,1,1,1,0,1,0,1,1,1,9,1,2,1,50,64,6,18,64,1,25,0,1300,62.5,37.5,0,0,3,1,40,4,106.45,2,class_0
204,64,52,47204,2,1,2,1,1,1,0,1,0,1,1,1,10,1,2,1,50,64,3,16,86,0.75,22,0,1300,58.8,41.1,0,0,2.5,1,40,4,106.45,2,class_0
202,169,50,37938,2,1,2,1,1,3,2,1,0,1,3,3,2,1,0,1,60,66,3,14.5,85,0.25,25,0,1850,62.2,37.8,0,0,2.5,1,34,4,106.45,2,class_0
12,95,52,47103,2,1,2,1,1,3,2,1,0,1,3,3,9,1,2,1,47.5,63,10,16.4,84,0.5,27,20.7,1800,41.3,38,5,0,2.6,0.3,40,1,96.7,2,class_0
9,61,52,47103,2,1,2,1,1,3,2,1,2,1,3,3,9,1,2,1,50,50,10,14.5,84,0.25,24,20.7,1500,41.3,38,0,0,3,0.6,40,1,103.3,2,class_0
11,192,52,47103,2,1,2,1,1,3,2,1,0,1,1,1,1,1,2,1,50,48,6,13,80,1,30,18.9,1700,47.2,34,0,0,2.7,0.6,40,1,100,2,class_0
14,153,6,34402,2,1,2,1,1,3,2,1,2,1,3,2,9,1,2,2,52,54,18,16,82,0.875,22,15.8,900,49.5,34.7,0,0,2.5,1,50,4,96.7,2,class_0
15,58,42,36648,1,1,2,1,1,3,0,1,0,1,3,2,1,1,0,2,50,60,10,14,75,0.625,33,0,2000,65.2,34.8,0,0,0,0,35,4,96.9,2,class_0
5,119,12,34664,2,1,2,1,1,3,2,1,2,1,3,3,9,3,2,1,45,49,3,16,72,0.375,38,15,1650,50,35,0,0,2.5,0.2,38,1,96.9,2,class_0
4,72,28,36858,2,1,2,1,1,3,2,1,0,1,1,1,5,1,2,1,60,43,14,15,94,1,30,9.5,1500,52.6,37.9,0,4,2.5,1,40,2,100,2,class_0
1,317,64,25416,2,1,2,1,1,3,2,1,0,0,2,4,7,3,2,2,47.5,41,12,18,74,0.5,30,17.7,1900,44.2,38.1,2,0,2.5,1,40,1,100,2,class_0
3,262,28,36858,2,1,2,1,1,3,2,1,0,1,0,0,2,1,2,1,47.5,52,8,14.3,98,0.75,55,11.7,1600,53.2,35.1,0,0,3,1,40,1,100,2,class_0
7,253,52,47103,2,1,2,1,1,3,2,1,0,0,0,0,7,1,2,1,50,52,3,14,80,0.75,60,4.4,1700,54.9,40.7,0,0,2.5,1,40,1,100,2,class_0
10,94,52,47103,2,1,2,1,1,3,2,1,0,1,3,3,2,1,2,1,60,50,10,15,72,0.75,30,15.9,1700,44.2,39.8,1,0,3,0.5,40,1,100,2,class_0
17,93,54,36859,2,1,2,1,1,3,1,1,0,0,0,0,2,1,2,2,50,65,3,17,100,0.625,52,5.6,1650,55.5,38.9,0,0,3,0.6,45,4,106.45,2,class_0
24,395,35,34093,2,1,2,1,1,3,1,1,0,0,2,4,7,3,2,1,52.5,62,16,14.5,95,0.75,20,0,1950,58.8,41.2,0,0,2,1,38,2,100,2,class_0
16,87,53,36859,2,1,2,1,1,3,2,1,0,0,0,0,2,1,2,1,50,56,3,14.3,105,0.75,70,0,1600,55.5,44.5,0,0,3,1,45,2,100,2,class_0
26,144,30,36846,2,1,2,1,1,3,1,1,0,1,0,0,7,1,2,1,50,59,14,13,92,0.625,49,0,1300,58.8,41.2,0,0,3,1.1,40,2,100,2,class_0
27,99,17,36911,2,1,2,1,1,3,1,1,0,0,1,1,6,1,2,1,50,59,15,15,90,0.75,25,0,1500,58.8,41.2,0,0,2.5,1,40,2,100,2,class_0
29,422,64,25427,2,1,2,1,1,3,2,1,0,0,2,4,7,3,2,1,55,49,6,15.6,80,1,30,35.8,1950,41.7,22.5,1,0,2.7,1,40,3,100,2,class_0
28,190,55,34092,2,1,2,1,1,3,2,1,0,1,3,2,2,1,0,1,65,49,12,13.5,82,0.625,30,0,1350,68.2,31.8,1,0,2.5,1,38,3,103.2,2,class_0
27,157,31,36846,1,1,2,1,1,3,2,1,0,0,0,0,2,1,2,1,65,65,15,14,100,0.75,40,7,1200,58.1,34.9,0,0,2.5,1,40,2,100,2,class_0
28,205,55,34092,2,1,2,1,1,3,2,1,0,0,3,2,9,1,0,1,65,58,15,15,74,0.625,32,0,1800,57.5,42.5,1,0,2.5,1,38,3,103.2,2,class_0
30,181,71,34367,2,1,2,1,1,3,2,1,0,1,3,3,9,3,2,2,62.5,47,2,17,75,0.75,30,14.3,1700,47.6,38.1,0,0,3,0.5,40,4,96.9,2,class_0
0,384,32,23040,2,1,2,1,1,3,2,1,0,0,2,4,7,3,2,1,50,59,12,14.5,71,0.625,20,11.1,1650,55.5,33.3,0,0,2.5,1,40,4,103.1,2,class_0
33,254,50,36784,2,1,2,1,1,3,2,1,0,1,3,2,2,1,2,1,60,58,12,15.1,93,1,25,0,1650,56.1,33.9,0,0,2.5,1,40,2,100,2,class_0
34,76,50,36784,2,1,2,1,1,3,2,1,0,0,3,2,2,1,2,1,50,58,14,13.5,100,0.75,35,0,1750,55.5,44.5,3,0,2.7,0.5,40,2,100,2,class_0
32,337,5,34583,1,1,2,1,1,1,0,1,0,1,2,6,2,3,0,2,45,55,3,14,73,0.75,30,0,2100,61.1,38.9,0,0,2.5,0.8,33,4,96.8,2,class_0
39,271,57,36644,2,1,2,1,1,3,2,1,2,0,3,3,2,1,2,2,60,56,10,16,87,0.625,26,10.5,1450,50.5,39,3,0,3,1.3,40,4,93.75,2,class_0
45,175,67,34493,1,1,2,1,1,1,2,1,0,0,3,3,9,3,2,1,40,51,2,16,75,0.5,30,0,1800,58.8,41.2,0,0,2.1,1,30,2,100,2,class_0
43,182,67,34483,1,1,2,1,1,1,2,1,0,1,3,3,2,3,0,1,35,55,18,15,70,0.5,32,0,1950,58.8,41.2,0,0,2.5,1.3,30,2,100,2,class_0
44,182,67,34493,1,1,2,1,1,1,0,1,0,0,3,3,2,3,0,1,35,55,6,15,70,0.5,35,0,2000,58.8,41.2,0,0,2.5,1.5,30,2,100,2,class_0
59,249,29,38061,2,1,2,1,1,3,2,1,2,1,3,2,1,2,2,2,47.5,49,14,15,84,0.75,28,2.2,1600,54.3,43.5,0,0,3,0.9,34,0,108.1,2,class_0
66,238,62,34551,1,1,2,1,1,1,0,1,0,1,3,2,1,2,0,1,35,72,14,15.2,72,1,36,0,2200,65.2,34.8,0,0,2.5,1,30,4,93.6,0,class_0
66,238,62,34551,1,1,2,1,1,1,0,1,0,0,3,2,1,2,0,1,35,56,8,15,70,1,33,0,2350,65.2,34.8,0,0,2.5,1,30,4,93.75,0,class_0
65,133,21,34749,1,1,2,1,1,1,0,1,0,0,3,3,2,3,0,1,45,46,14,16,72,0.5,32,0,1673,58.8,41.2,0,0,2.5,1.5,30,2,103.23,2,class_0
63,239,62,34551,1,1,2,1,1,1,0,1,0,0,3,2,1,2,0,1,40,60,3,15.5,73,0.75,28,0,1850,65.2,34.8,0,0,2.8,1,30,4,100,0,class_0
67,238,62,34551,1,1,2,1,1,1,0,1,0,0,3,2,1,2,0,1,40,49,8,14,82,0.625,30,0,2150,65.2,34.8,1,0,2.5,0.9,30,4,93.75,0,class_0
70,123,47,36197,1,1,2,1,1,3,0,1,0,0,3,2,1,3,2,1,55,50,1,14,80,0.625,32,8,2000,60,32,0,0,2.5,0.9,35,4,93.55,0,class_0
70,123,47,36197,1,1,2,1,1,3,0,1,0,1,3,2,1,3,2,1,55,48,14,14.5,76,0.5,30,8,2000,60,32,0,0,2.5,1,35,4,93.55,0,class_0
71,385,64,25441,2,1,2,1,1,3,2,1,0,0,2,4,7,3,2,1,55,50,8,17,89,1,22,10.4,1650,52.1,37.5,0.75,0,2.5,1.1,34,4,93.55,0,class_0
70,106,47,36197,1,1,2,1,1,3,2,1,0,1,3,3,2,3,1,2,55,50,3,17,78,0.25,32,9.7,1900,52.2,38.1,0,0,3,0.9,35,4,96.97,0,class_0
74,136,47,36197,1,1,2,1,1,3,2,1,0,0,3,3,9,3,2,2,47.5,52,10,15.2,76,0.75,30,17.5,1700,48.7,33.8,0,0,2.5,0.8,35,4,114.3,2,class_0
75,134,47,36197,1,1,2,1,1,3,2,1,0,1,3,2,9,3,1,2,47.5,53,10,15,72,0.75,25,22,1500,45.9,32.1,0,0,2.5,0.8,35,4,114.3,2,class_0
72,139,47,36197,1,1,2,1,1,3,2,1,0,1,3,2,2,3,1,2,47.5,58,12,14,85,0.75,28,16.5,1800,48.5,35,0,0,2.5,0.5,35,4,114.3,2,class_0
69,106,47,36197,1,1,2,1,1,3,2,1,0,1,3,3,2,3,1,1,55,48,6,18,76,0.25,24,10,1600,60,30,0,0,3,0.9,35,4,93.55,0,class_0
73,413,11,38218,1,1,2,1,1,1,0,1,0,1,2,4,7,3,0,2,30,52,12,16.5,80,0.625,40,0,1800,58.1,41.9,1,0,2.5,0.4,35,4,107.4,2,class_0
77,357,64,25443,2,1,2,1,1,3,2,1,0,1,2,4,7,3,2,2,47.5,54,10,14,65,0.625,25,16.1,1500,44.6,39.3,4,0,2.5,1,34,4,114.29,2,class_0
81,116,70,34996,1,1,2,1,1,1,0,1,0,1,3,3,9,3,2,1,35,43,14,13,75,0.75,30,0,2000,62.5,37.5,0,0,2.5,1.1,30,4,100,2,class_0
84,311,64,25445,2,1,2,1,1,3,2,1,0,1,2,4,7,3,2,1,52.5,43,8,15,71,0.75,28,7.4,1500,53.2,39.4,0,0,2.5,1,34,4,98.3,2,class_0
85,315,47,36165,2,1,2,1,1,3,2,1,0,0,2,7,2,3,2,1,65,43,3,16,78,0.75,30,12,2100,46.3,41.7,0,0,2,1,40,4,100,2,class_0
85,122,5,34588,1,1,2,1,1,1,0,1,0,1,3,2,9,3,0,1,37.5,43,3,16,76,0.9375,27,0,2180,62.5,37.5,2,0,2.9,1.2,33,4,96.77,2,class_0
80,114,68,36059,2,1,2,1,1,1,0,1,0,1,3,2,2,3,0,2,47.5,42,12,16.1,73,0.625,30,0,2000,61.9,38.1,0,0,2.8,1,30,4,110,2,class_0
81,116,69,34996,1,1,2,1,1,1,0,1,0,1,3,3,9,3,1,1,35,43,14,13,75,0.75,25,0,2000,62.5,37.5,0,0,2.5,1.1,30,4,100,2,class_0
82,107,69,34996,1,1,2,1,1,1,0,1,0,1,3,3,9,3,2,1,35,42,10,15.9,78,0.375,32,0,2150,62.5,37.5,0,0,1.7,0.9,30,4,101.67,2,class_0
83,141,5,34588,1,1,2,1,1,1,0,1,0,0,3,2,2,3,0,1,40,43,6,15.5,85,0.75,25,4.7,2000,58.1,37.2,0,0,2.5,1,33,4,96.77,2,class_0
85,128,5,34588,1,1,2,1,1,1,0,1,0,1,3,2,2,3,0,1,40,43,8,17.2,78,0.9375,30,1,2180,58.3,40.7,2,0,2.4,0.8,33,4,96.77,2,class_0
88,294,64,25466,2,1,2,1,1,3,2,1,0,1,2,4,7,3,2,1,50,43,8,17,72,0.625,30,14.3,1600,47.6,38.1,0,0,2.5,1,34,4,96.77,2,class_0
92,326,64,25477,2,1,2,1,1,3,2,1,0,0,2,4,7,3,2,2,50,42,3,17,73,0.4375,20,18.5,1800,46.3,35.1,2,0,2.5,1,34,4,100,2,class_0
90,138,39,34716,1,1,2,1,1,3,0,1,0,0,3,3,9,3,2,1,40,51,6,15,70,0.25,24,0.5,0,59.5,40,0,0,3,1,35,4,100,2,class_0
89,115,69,34997,1,1,2,1,1,1,0,1,0,0,3,2,1,3,0,1,32.5,43,3,13,80,0.75,28,0,1500,62.5,37.5,0,0,0,0,30,4,100,2,class_0
87,88,52,47106,2,1,2,1,1,3,2,1,0,0,0,0,7,1,2,1,40,45,6,13.6,90,0.75,45,0,1386,62.5,37.5,0,0,3,0.7,40,4,96.77,2,class_0
91,88,52,47106,2,1,2,1,1,3,2,1,0,0,0,0,7,1,2,1,40,42,3,15,65,0.75,55,0,1650,62.5,37.5,0,0,2.5,1,40,4,96.77,2,class_0
95,399,11,34442,2,1,2,1,1,3,2,1,0,0,2,4,7,3,2,1,50,43,8,14,74,0.625,20,2.2,1800,56.2,41.6,0,0,3,1,38,4,96.875,2,class_0
92,126,69,34997,1,1,2,1,1,1,0,1,0,1,3,2,9,3,0,1,50,47,3,16.2,74,0.75,28,10.8,2000,53.4,35.8,0,0,2.5,1.3,30,4,100,2,class_0
93,120,69,34997,1,1,2,1,1,1,0,1,0,1,3,2,2,3,0,1,50,47,8,16,92,0.75,35,0,1800,68,32,1,0,2.6,1.2,30,4,100,2,class_0
94,129,69,34997,1,1,2,1,1,1,0,1,0,1,3,2,2,3,0,1,32.5,45,6,14,94,0.625,25,0,1800,66.7,33.3,0,0,2.1,1,30,4,100,2,class_0
99,277,63,34259,1,1,1,1,1,1,0,1,0,0,3,2,1,2,0,2,40,47,8,15,88,0.5,34,0,1700,62.5,37.5,0,0,0,0,30,4,100,2,class_0
97,257,52,47106,2,1,2,1,1,3,2,1,0,1,0,0,2,1,2,2,40,46,10,15,70,0.75,50,0,1800,53.9,46.1,0,0,2.5,1,40,4,100,2,class_0
98,88,52,47106,2,1,2,1,1,3,2,1,0,0,0,0,7,1,2,2,40,50,6,14,70,0.75,45,0,1800,60.2,39.8,0,0,2.5,1,40,4,100,2,class_0
101,120,49,36805,2,1,2,1,1,3,2,1,0,0,3,2,2,3,1,1,50,42,10,17,88,0.75,30,0,1600,62.5,27.5,5,0,2.6,1,38,4,106.25,2,class_0
101,120,49,36805,2,1,2,1,1,3,1,1,0,1,3,2,2,3,1,1,50,42,6,15,90,1,35,0,1650,55.5,44.5,0,0,2.5,1,38,4,100,2,class_0
102,265,6,38120,2,1,2,1,1,3,1,1,0,1,3,2,2,1,2,1,45,43,10,20,84,0.625,33,6.6,1200,47.6,41.2,0,0,2.5,0.5,40,4,106.25,2,class_0
103,344,27,34692,1,1,2,1,1,1,2,1,0,0,2,5,2,3,0,1,45,42,10,15,70,0.8125,40,0,1500,58.8,41.2,3,0,2,1,30,4,100,2,class_0
110,342,64,25452,2,1,2,1,1,3,2,1,0,1,2,4,7,3,2,1,67.5,50,2,16.5,73,0.875,20,18.1,1800,47.6,34.3,0,0,2.5,0.8,34,4,110.71,2,class_0
111,142,6,38121,2,1,2,1,1,3,2,1,0,1,3,2,9,1,0,2,45,60,10,16,88,0.75,33,0,1500,56.8,43.2,0,0,2.9,1.1,40,4,103.22,2,class_0
103,281,61,35001,2,1,2,1,1,3,1,1,0,0,3,3,2,2,2,1,42,42,8,14.5,78,1,28,0,1800,61.7,38.3,0,0,2.5,2,40,4,100,2,class_0
105,158,6,38121,2,1,2,1,1,3,1,1,0,0,3,2,2,1,0,1,45,40,10,16,89,0.625,22,0,1300,60,40,1,0,2.5,1,40,4,106.45,2,class_0
106,149,6,38121,2,1,2,1,1,3,1,1,0,0,3,2,2,1,0,1,45,42,8,14,89,0.75,26,0,1450,58.8,41.2,1,0,2.5,1,40,4,103.22,2,class_0
108,57,24,35525,2,1,2,1,1,3,2,1,0,0,3,2,9,1,2,1,40,54,10,14.8,87,0.8125,29,0,1000,58.8,41.2,0,0,2.9,1,40,4,106.45,2,class_0
106,153,6,38121,2,1,2,1,1,3,2,1,0,0,3,2,9,1,0,1,45,42,14,16,83,0.625,30,0,1950,58.8,41.2,0,0,2.5,1,40,4,106.45,2,class_0
