@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute value_23 numeric
@attribute value_24 numeric
@attribute class {class_0,class_1}

@data
3,122,11,0,1,2,1,1,0,95.9,173.2,66.3,50.2,2833,2,4,156,7,3.58,3.86,7,5000,19,24,12629,class_0
3,87,11,0,1,2,1,1,0,95.9,173.2,66.3,50.2,2921,2,4,156,7,3.59,3.86,7,5000,19,24,14869,class_0
3,74,11,0,1,2,1,1,0,95.9,173.2,66.3,50.2,2926,2,4,156,7,3.59,3.86,7,5000,19,24,14489,class_0
1,125,11,0,1,4,2,1,0,96.3,172.4,65.4,51.6,2403,2,4,110,7,3.17,3.46,7.5,5500,23,30,9279,class_0
-1,137,11,0,0,4,2,1,0,96.3,172.4,65.4,51.6,2403,2,4,110,7,3.17,3.46,7.5,5500,23,30,9279,class_0
0,128,12,0,0,4,2,1,0,100.4,181.7,66.5,55.1,3095,1,6,181,0,3.43,3.27,9,5200,17,22,13499,class_0
0,108,12,0,0,4,3,1,0,100.4,184.6,66.5,56.1,3296,1,6,181,0,3.43,3.27,9,5200,17,22,14399,class_0
0,108,12,0,0,4,2,1,0,100.4,184.6,66.5,55.1,3060,1,6,181,0,3.43,3.27,9,5200,19,25,13499,class_0
3,194,12,0,0,2,1,0,0,91.3,170.7,67.9,49.7,3071,1,6,181,0,3.43,3.27,9,5200,19,25,17199,class_0
3,194,12,0,1,2,1,0,0,91.3,170.7,67.9,49.7,3139,1,6,181,0,3.43,3.27,7.8,5200,17,23,19699,class_0
1,231,12,0,0,2,1,0,0,99.2,178.5,67.9,49.7,3139,1,6,181,0,3.43,3.27,9,5200,19,25,18399,class_0
0,161,13,0,1,4,2,0,0,108,186.7,68.3,56,3130,3,4,134,0,3.61,3.21,7,5600,18,24,18150,class_0
3,103,14,0,1,2,1,0,0,95.9,173.2,66.3,50.2,2818,2,4,156,7,3.59,3.86,7,5000,19,24,12764,class_0
3,186,15,0,0,2,1,0,0,94.5,168.9,68.3,50.2,2778,2,4,151,0,3.94,3.11,9.5,5500,19,27,22018,class_0
3,102,15,0,0,2,4,0,1,89.5,168.9,65,51.6,2756,5,6,194,0,3.74,2.9,9.5,5900,17,25,32528,class_0
3,83,15,0,0,2,4,0,1,89.5,168.9,65,51.6,2756,5,6,194,0,3.74,2.9,9.5,5900,17,25,34028,class_0
3,134,15,0,0,2,0,0,1,89.5,168.9,65,51.6,2800,5,6,194,0,3.74,2.9,9.5,5900,17,25,37028,class_0
1,81,15,0,0,2,1,0,0,98.4,175.7,72.3,50.5,3366,6,8,203,0,3.94,3.11,10,5750,17,28,18950,class_0
0,134,16,0,0,4,3,1,0,96.1,181.5,66.5,55.2,2579,2,4,132,0,3.46,3.9,8.7,5200,23,31,9295,class_0
2,134,16,0,0,2,1,1,0,96.1,176.8,66.6,50.5,2460,2,4,132,0,3.46,3.9,8.7,4400,23,31,9895,class_0
3,150,17,0,0,2,1,1,0,99.1,186.6,66.5,56.1,2658,2,4,121,0,3.54,3.07,9.31,5250,21,28,11850,class_0
2,104,17,0,0,4,2,1,0,99.1,186.6,66.5,56.1,2695,2,4,121,0,3.54,3.07,9.3,5250,21,28,12170,class_0
3,150,17,0,0,2,1,1,0,99.1,186.6,66.5,56.1,2707,2,4,121,0,2.54,2.07,9.3,5250,21,28,15040,class_0
2,104,17,0,0,4,2,1,0,99.1,186.6,66.5,56.1,2758,2,4,121,0,3.54,3.07,9.3,5250,21,28,15510,class_0
3,150,17,0,1,2,1,1,0,99.1,186.6,66.5,56.1,2808,0,4,121,0,3.54,3.07,9,5500,19,26,18150,class_0
2,104,17,0,1,4,2,1,0,99.1,186.6,66.5,56.1,2847,0,4,121,0,3.54,3.07,9,5500,19,26,18620,class_0
0,102,18,0,1,4,2,2,0,97,172,65.4,54.3,2510,5,4,108,0,3.62,2.64,7.7,4800,24,29,11259,class_0
0,85,18,0,1,4,3,2,0,96.9,173.6,65.4,54.9,2650,5,4,108,0,3.62,2.64,7.7,4800,23,23,11694,class_0
1,168,19,0,0,2,2,0,0,94.5,168.7,64,52.6,2265,0,4,98,0,3.24,3.08,9.4,6600,26,29,9298,class_0
1,168,19,0,0,2,1,0,0,94.5,168.7,64,52.6,2300,0,4,98,0,3.24,3.08,9.4,6600,26,29,9538,class_0
2,134,19,0,0,2,4,0,0,98.4,176.2,65.6,52,2540,2,4,146,0,3.62,3.5,9.3,4800,24,30,8449,class_0
2,134,19,0,0,2,4,0,0,98.4,176.2,65.6,52,2536,2,4,146,0,3.62,3.5,9.3,4800,24,30,9639,class_0
2,134,19,0,0,2,1,0,0,98.4,176.2,65.6,52,2551,2,4,146,0,3.62,3.5,9.3,4800,24,30,9989,class_0
2,134,19,0,0,2,4,0,0,98.4,176.2,65.6,52,2679,2,4,146,0,3.62,3.5,9.3,4800,24,30,11199,class_0
2,134,19,0,0,2,1,0,0,98.4,176.2,65.6,52,2714,2,4,146,0,3.62,3.5,9.3,4800,24,30,11549,class_0
2,134,19,0,0,2,0,0,0,98.4,176.2,65.6,53,2975,2,4,146,0,3.62,3.5,9.3,4800,24,30,17669,class_0
3,197,19,0,0,2,1,0,0,102.9,183.5,67.7,52,2976,0,6,171,0,3.27,3.35,9.3,5200,20,24,16558,class_0
3,197,19,0,0,2,1,0,0,102.9,183.5,67.7,52,3016,0,6,171,0,3.27,3.35,9.3,5200,19,24,15998,class_0
-1,90,19,0,0,4,2,0,0,104.5,187.8,66.5,54.1,3131,0,6,171,0,3.27,3.35,9.2,5200,20,24,15690,class_0
-1,65,19,0,0,4,3,0,0,104.5,187.8,66.5,54.1,3151,0,6,161,0,3.27,3.35,9.2,5200,19,24,15750,class_0
0,113,20,0,0,4,2,1,0,100.4,180.2,66.9,55.1,2661,2,5,136,0,3.19,3.4,8.5,5500,19,24,13295,class_0
-2,103,21,0,0,4,2,0,0,104.3,188.8,67.2,56.2,2912,2,4,141,0,3.78,3.15,9.5,5400,23,28,12940,class_0
-1,74,21,0,0,4,3,0,0,104.3,188.8,67.2,57.5,3034,2,4,141,0,3.78,3.15,9.5,5400,23,28,13415,class_0
-2,103,21,0,0,4,2,0,0,104.3,188.8,67.2,56.2,2935,2,4,141,0,3.78,3.15,9.5,5400,24,28,15985,class_0
-1,74,21,0,0,4,3,0,0,104.3,188.8,67.2,57.5,3042,2,4,141,0,3.78,3.15,9.5,5400,24,28,16515,class_0
-2,103,21,0,1,4,2,0,0,104.3,188.8,67.2,56.2,3045,2,4,130,0,3.62,3.15,7.5,5100,17,22,18420,class_0
-1,74,21,0,1,4,3,0,0,104.3,188.8,67.2,57.5,3157,2,4,130,0,3.62,3.15,7.5,5100,17,22,18950,class_0
-1,95,21,0,0,4,2,0,0,109.1,188.8,68.9,55.5,2952,2,4,141,0,3.78,3.15,9.5,5400,23,28,16845,class_0
-1,95,21,0,1,4,2,0,0,109.1,188.8,68.8,55.5,3049,2,4,141,0,3.78,3.15,8.7,5300,19,25,19045,class_0
-1,95,21,0,0,4,2,0,0,109.1,188.8,68.9,55.5,3012,1,6,173,0,3.58,2.87,8.8,5500,18,23,21485,class_0
-1,95,21,1,1,4,2,0,0,109.1,188.8,68.9,55.5,3217,2,6,145,6,3.01,3.4,23,4800,26,27,22470,class_0
-1,95,21,0,1,4,2,0,0,109.1,188.8,68.9,55.5,3062,2,4,141,0,3.78,3.15,9.5,5400,19,25,22625,class_0
2,164,1,0,0,4,2,1,0,99.8,176.6,66.2,54.3,2337,2,4,109,0,3.19,3.4,10,5500,24,30,13950,class_1
2,192,2,0,0,2,2,0,0,101.2,176.8,64.8,54.3,2395,2,4,108,0,3.5,2.8,8.8,5800,23,29,16430,class_1
0,192,2,0,0,4,2,0,0,101.2,176.8,64.8,54.3,2395,2,4,108,0,3.5,2.8,8.8,5800,23,29,16925,class_1
2,121,3,0,0,2,1,1,0,88.4,141.1,60.3,53.2,1488,3,3,61,1,2.91,3.03,9.5,5100,47,53,5151,class_1
1,98,3,0,0,2,1,1,0,94.5,155.9,63.6,52,1874,2,4,90,1,3.03,3.11,9.6,5400,38,43,6295,class_1
0,81,3,0,0,4,2,1,0,94.5,158.8,63.6,52,1909,2,4,90,1,3.03,3.11,9.6,5400,38,43,6575,class_1
1,118,4,0,0,2,1,1,0,93.7,157.3,63.8,50.8,1876,2,4,90,1,2.97,3.23,9.41,5500,37,41,5572,class_1
1,118,4,0,0,2,1,1,0,93.7,157.3,63.8,50.8,1876,2,4,90,1,2.97,3.23,9.4,5500,31,38,6377,class_1
1,118,4,0,1,2,1,1,0,93.7,157.3,63.8,50.8,2128,2,4,98,0,3.03,3.39,7.6,5500,24,30,7957,class_1
1,148,4,0,0,4,1,1,0,93.7,157.3,63.8,50.6,1967,2,4,90,1,2.97,3.23,9.4,5500,31,38,6229,class_1
1,148,4,0,0,4,2,1,0,93.7,157.3,63.8,50.6,1989,2,4,90,1,2.97,3.23,9.4,5500,31,38,6692,class_1
1,148,4,0,0,4,2,1,0,93.7,157.3,63.8,50.6,1989,2,4,90,1,2.97,3.23,9.4,5500,31,38,7609,class_1
1,148,4,0,1,4,2,1,0,93.7,157.3,63.8,50.6,2191,2,4,98,0,3.03,3.39,7.6,5500,24,30,8558,class_1
-1,110,4,0,0,4,3,1,0,103.3,174.6,64.6,59.8,2535,2,4,122,1,3.34,3.46,8.5,5000,24,30,8921,class_1
2,137,5,0,0,2,1,1,0,86.6,144.6,63.9,50.8,1713,2,4,92,3,2.91,3.41,9.6,4800,49,54,6479,class_1
2,137,5,0,0,2,1,1,0,86.6,144.6,63.9,50.8,1819,2,4,92,3,2.91,3.41,9.2,6000,31,38,6855,class_1
1,101,5,0,0,2,1,1,0,93.7,150,64,52.6,1837,2,4,79,3,2.91,3.07,10.1,5500,38,42,5399,class_1
1,101,5,0,0,2,1,1,0,93.7,150,64,52.6,1940,2,4,92,3,2.91,3.41,9.2,6000,30,34,6529,class_1
1,101,5,0,0,2,1,1,0,93.7,150,64,52.6,1956,2,4,92,3,2.91,3.41,9.2,6000,30,34,7129,class_1
0,110,5,0,0,4,2,1,0,96.5,163.4,64,54.5,2010,2,4,92,3,2.91,3.41,9.2,6000,30,34,7295,class_1
0,78,5,0,0,4,3,1,0,96.5,157.1,63.9,58.3,2024,2,4,92,3,2.92,3.41,9.2,6000,30,34,7295,class_1
0,106,5,0,0,2,1,1,0,96.5,167.5,65.2,53.3,2236,2,4,110,3,3.15,3.58,9,5800,27,33,7895,class_1
0,106,5,0,0,2,1,1,0,96.5,167.5,65.2,53.3,2289,2,4,110,3,3.15,3.58,9,5800,27,33,9095,class_1
0,85,5,0,0,4,2,1,0,96.5,175.4,65.2,54.1,2304,2,4,110,3,3.15,3.58,9,5800,27,33,8845,class_1
0,85,5,0,0,4,2,1,0,96.5,175.4,62.5,54.1,2372,2,4,110,3,3.15,3.58,9,5800,27,33,10295,class_1
0,85,5,0,0,4,2,1,0,96.5,175.4,65.2,54.1,2465,2,4,110,0,3.15,3.58,9,5800,24,28,12945,class_1
1,107,5,0,0,2,2,1,0,96.5,169.1,66,51,2293,2,4,110,1,3.15,3.58,9.1,5500,25,31,10345,class_1
0,161,6,0,0,4,2,0,0,94.3,170.7,61.8,53.5,2337,2,4,111,1,3.31,3.23,8.5,4800,24,29,6785,class_1
1,74,6,0,0,2,2,1,0,94.5,155.9,63.6,52,1874,2,4,90,1,3.03,3.11,9.6,5400,38,43,12290,class_1
0,106,6,0,0,4,2,1,0,94.5,155.9,63.6,52,1909,2,4,90,1,3.03,3.11,9.6,5400,38,43,22625,class_1
2,74,6,0,0,2,1,0,0,96,172.6,65.2,51.4,2734,2,4,119,4,3.43,3.23,9.2,5000,24,29,11048,class_1
1,104,8,0,0,2,1,1,0,93.1,159.1,64.2,54.1,1890,2,4,91,1,3.03,3.15,9,5000,30,31,5195,class_1
1,104,8,0,0,2,1,1,0,93.1,159.1,64.2,54.1,1900,2,4,91,1,3.03,3.15,9,5000,31,38,6095,class_1
1,104,8,0,0,2,1,1,0,93.1,159.1,64.2,54.1,1905,2,4,91,1,3.03,3.15,9,5000,31,38,6795,class_1
1,113,8,0,0,4,2,1,0,93.1,166.8,64.2,54.1,1945,2,4,91,1,3.03,3.15,9,5000,31,38,6695,class_1
1,113,8,0,0,4,2,1,0,93.1,166.8,64.2,54.1,1950,2,4,91,1,3.08,3.15,9,5000,31,38,7395,class_1
3,150,8,0,0,2,1,0,0,95.3,169,65.7,49.6,2380,4,2,70,5,3.19,3.41,9.4,6000,17,23,10945,class_1
3,150,8,0,0,2,1,0,0,95.3,169,65.7,49.6,2380,4,2,70,5,2.97,3.4,9.4,6000,17,23,11845,class_1
3,150,8,0,0,2,1,0,0,95.3,169,65.7,49.6,2385,4,2,70,5,3.54,3.4,9.4,6000,17,23,13645,class_1
1,129,8,0,0,2,1,1,0,98.8,177.8,66.5,53.7,2385,2,4,122,1,3.39,3.39,8.6,4800,26,32,8845,class_1
0,115,8,0,0,4,2,1,0,98.8,177.8,66.5,55.5,2410,2,4,122,1,3.39,3.39,8.6,4800,26,32,8495,class_1
1,129,8,0,0,2,1,1,0,98.8,177.8,66.5,53.7,2385,2,4,122,1,3.39,3.39,8.6,4800,26,32,10595,class_1
0,115,8,0,0,4,2,1,0,98.8,177.8,66.5,55.5,2410,2,4,122,1,3.39,3.39,8.6,4800,26,32,10245,class_1
0,128,8,1,0,4,2,1,0,98.8,177.8,66.5,55.5,2443,2,4,122,6,3.39,3.39,22.7,4650,36,42,10795,class_1
0,115,8,0,0,4,1,1,0,98.8,177.8,66.5,55.5,2425,2,4,122,1,3.39,3.39,8.6,4800,26,32,11245,class_1
0,168,8,1,0,4,2,0,0,104.9,175,66.1,54.4,2700,2,4,134,6,3.43,3.64,22,4200,31,39,18344,class_1
2,161,11,0,0,2,1,1,0,93.7,157.3,64.4,50.8,1918,2,4,92,1,2.97,3.23,9.4,5500,37,41,5389,class_1
2,161,11,0,0,2,1,1,0,93.7,157.3,64.4,50.8,1944,2,4,92,1,2.97,3.23,9.4,5500,31,38,6189,class_1
2,161,11,0,0,2,1,1,0,93.7,157.3,64.4,50.8,2004,2,4,92,1,2.97,3.23,9.4,5500,31,38,6669,class_1
1,161,11,0,1,2,1,1,0,93,157.3,63.8,50.8,2145,2,4,98,7,3.03,3.39,7.6,5500,24,30,7689,class_1
3,153,11,0,0,2,1,1,0,96.3,173,65.4,49.4,2328,2,4,122,1,3.35,3.46,8.5,5000,25,32,8499,class_1
1,125,11,0,0,4,2,1,0,96.3,172.4,65.4,51.6,2365,2,4,122,1,3.35,3.46,8.5,5000,25,32,6989,class_1
1,125,11,0,0,4,2,1,0,96.3,172.4,65.4,51.6,2405,2,4,122,1,3.35,3.46,8.5,5000,25,32,8189,class_1
1,128,12,0,0,2,2,1,0,94.5,165.3,63.8,54.5,1889,2,4,97,1,3.15,3.29,9.4,5200,31,37,5499,class_1
1,128,12,1,0,2,2,1,0,94.5,165.3,63.8,54.5,2017,2,4,103,6,2.99,3.47,21.9,4800,45,50,7099,class_1
1,128,12,0,0,2,2,1,0,94.5,165.3,63.8,54.5,1918,2,4,97,1,3.15,3.29,9.4,5200,31,37,6649,class_1
1,122,12,0,0,4,2,1,0,94.5,165.3,63.8,54.5,1938,2,4,97,1,3.15,3.29,9.4,5200,31,37,6849,class_1
1,103,12,0,0,4,3,1,0,94.5,170.2,63.8,53.5,2024,2,4,97,1,3.15,3.29,9.4,5200,31,37,7349,class_1
1,128,12,0,0,2,2,1,0,94.5,165.3,63.8,54.5,1951,2,4,97,1,3.15,3.29,9.4,5200,31,37,7299,class_1
1,128,12,0,0,2,1,1,0,94.5,165.6,63.8,53.3,2028,2,4,97,1,3.15,3.29,9.4,5200,31,37,7799,class_1
1,122,12,0,0,4,2,1,0,94.5,165.3,63.8,54.5,1971,2,4,97,1,3.15,3.29,9.4,5200,31,37,7499,class_1
1,103,12,0,0,4,3,1,0,94.5,170.2,63.8,53.5,2037,2,4,97,1,3.15,3.29,9.4,5200,31,37,7999,class_1
2,168,12,0,0,2,4,1,0,95.1,162.4,63.8,53.3,2008,2,4,97,1,3.15,3.29,9.4,5200,31,37,8249,class_1
0,106,12,0,0,4,1,1,0,97.2,173.4,65.2,54.7,2324,2,4,120,1,3.33,3.47,8.5,5200,27,34,8949,class_1
0,106,12,0,0,4,2,1,0,97.2,173.4,65.2,54.7,2302,2,4,120,1,3.33,3.47,8.5,5200,27,34,9549,class_1
0,161,13,0,0,4,2,0,0,107.9,186.7,68.4,56.7,3020,3,4,120,0,3.46,3.19,8.4,5000,19,24,11900,class_1
0,161,13,1,1,4,2,0,0,107.9,186.7,68.4,56.7,3197,3,4,152,6,3.7,3.52,21,4150,28,33,13200,class_1
0,122,13,0,0,4,3,0,0,114.2,198.9,68.4,58.7,3230,3,4,120,0,3.46,3.19,8.4,5000,19,24,12440,class_1
0,83,13,1,1,4,3,0,0,114.2,198.9,68.4,58.7,3430,3,4,152,6,3.7,3.52,21,4150,25,25,13860,class_1
0,161,13,0,0,4,2,0,0,107.9,186.7,68.4,56.7,3075,3,4,120,0,3.46,2.19,8.4,5000,19,24,15580,class_1
0,161,13,1,1,4,2,0,0,107.9,186.7,68.4,56.7,3252,3,4,152,6,3.7,3.52,21,4150,28,33,16900,class_1
0,89,13,0,0,4,3,0,0,114.2,198.9,68.4,56.7,3285,3,4,120,0,3.46,2.19,8.4,5000,19,24,16695,class_1
0,168,13,1,1,4,3,0,0,114.2,198.9,68.4,58.7,3485,3,4,152,6,3.7,3.52,21,4150,25,25,17075,class_1
0,161,13,0,0,4,2,0,0,107.9,186.7,68.4,56.7,3075,3,4,120,0,3.46,3.19,8.4,5000,19,24,16630,class_1
0,161,13,1,1,4,2,0,0,107.9,186.7,68.4,56.7,3252,3,4,152,6,3.7,3.52,21,4150,28,33,17950,class_1
1,119,14,0,0,2,1,1,0,93.7,157.3,63.8,50.8,1918,2,4,90,1,2.97,3.23,9.4,5500,37,41,5572,class_1
1,119,14,0,1,2,1,1,0,93.7,157.3,63.8,50.8,2128,2,4,98,7,3.03,3.39,7.6,5500,24,30,7957,class_1
1,154,14,0,0,4,1,1,0,93.7,157.3,63.8,50.6,1967,2,4,90,1,2.97,3.23,9.4,5500,31,38,6229,class_1
1,154,14,0,0,4,2,1,0,93.7,167.3,63.8,50.8,1989,2,4,90,1,2.97,3.23,9.4,5500,31,38,6692,class_1
1,154,14,0,0,4,2,1,0,93.7,167.3,63.8,50.8,2191,2,4,98,1,2.97,3.23,9.4,5500,31,38,7609,class_1
-1,74,14,0,0,4,3,1,0,103.3,174.6,64.6,59.8,2535,2,4,122,1,3.35,3.46,8.5,5000,24,30,8921,class_1
2,83,18,0,0,2,1,1,0,93.7,156.9,63.4,53.7,2050,5,4,97,1,3.62,2.36,9,4900,31,36,5118,class_1
2,83,18,0,0,2,1,1,0,93.7,157.9,63.6,53.7,2120,5,4,108,1,3.62,2.64,8.7,4400,26,31,7053,class_1
2,83,18,0,0,2,1,2,0,93.3,157.3,63.8,55.7,2240,5,4,108,1,3.62,2.64,8.7,4400,26,31,7603,class_1
0,102,18,0,0,4,2,1,0,97.2,172,65.4,52.5,2145,5,4,108,1,3.62,2.64,9.5,4800,32,37,7126,class_1
0,102,18,0,0,4,2,1,0,97.2,172,65.4,52.5,2190,5,4,108,1,3.62,2.64,9.5,4400,28,33,7775,class_1
0,102,18,0,0,4,2,1,0,97.2,172,65.4,52.5,2340,5,4,108,0,3.62,2.64,9,5200,26,32,9960,class_1
0,102,18,0,0,4,2,2,0,97,172,65.4,54.3,2385,5,4,108,1,3.62,2.64,9,4800,24,25,9233,class_1
0,89,18,0,0,4,3,1,0,97,173.5,65.4,53,2290,5,4,108,1,3.62,2.64,9,4800,28,32,7463,class_1
0,89,18,0,0,4,3,1,0,97,173.5,65.4,53,2455,5,4,108,0,3.62,2.64,9,5200,25,31,10198,class_1
0,85,18,0,0,4,3,2,0,96.9,173.6,65.4,54.9,2420,5,4,108,1,3.62,2.64,9,4800,23,29,8013,class_1
1,87,19,0,0,2,1,1,0,95.7,158.7,63.6,54.5,1985,2,4,92,1,3.05,3.03,9,4800,35,39,5348,class_1
1,87,19,0,0,2,1,1,0,95.7,158.7,63.6,54.5,2040,2,4,92,1,3.05,3.03,9,4800,31,38,6338,class_1
1,74,19,0,0,4,1,1,0,95.7,158.7,63.6,54.5,2015,2,4,92,1,3.05,3.03,9,4800,31,38,6488,class_1
0,77,19,0,0,4,3,1,0,95.7,169.7,63.6,59.1,2280,2,4,92,1,3.05,3.03,9,4800,31,37,6918,class_1
0,81,19,0,0,4,3,2,0,95.7,169.7,63.6,59.1,2290,2,4,92,1,3.05,3.03,9,4800,27,32,7898,class_1
0,91,19,0,0,4,3,2,0,95.7,169.7,63.6,59.1,3110,2,4,92,1,3.05,3.03,9,4800,27,32,8778,class_1
0,91,19,0,0,4,2,1,0,95.7,166.3,64.4,53,2081,2,4,98,1,3.19,3.03,9,4800,30,37,6938,class_1
0,91,19,0,0,4,1,1,0,95.7,166.3,64.4,52.8,2109,2,4,98,1,3.19,3.03,9,4800,30,37,7198,class_1
0,91,19,1,0,4,2,1,0,95.7,166.3,64.4,53,2275,2,4,110,6,3.27,3.35,22.5,4500,34,36,7898,class_1
0,91,19,1,0,4,1,1,0,95.7,166.3,64.4,52.8,2275,2,4,110,6,3.27,3.35,22.5,4500,38,47,7788,class_1
0,91,19,0,0,4,2,1,0,95.7,166.3,64.4,53,2094,2,4,98,1,3.19,3.03,9,4800,38,47,7738,class_1
0,91,19,0,0,4,1,1,0,95.7,166.3,64.4,52.8,2122,2,4,98,1,3.19,3.03,9,4800,28,34,8358,class_1
0,91,19,0,0,4,2,1,0,95.7,166.3,64.4,52.8,2140,2,4,98,1,3.19,3.03,9,4800,28,34,9258,class_1
1,168,19,0,0,2,2,0,0,94.5,168.7,64,52.6,2169,2,4,98,1,3.19,3.03,9,4800,29,34,8058,class_1
1,168,19,0,0,2,1,0,0,94.5,168.7,64,52.6,2204,2,4,98,1,3.19,3.03,9,4800,29,34,8238,class_1
-1,65,19,0,0,4,2,1,0,102.4,175.6,66.5,54.9,2326,2,4,122,0,3.31,3.54,8.7,4200,29,34,8948,class_1
-1,65,19,1,1,4,2,1,0,102.4,175.6,66.5,54.9,2480,2,4,110,6,3.27,3.35,22.5,4500,30,33,10698,class_1
