@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute class {class_0,class_1,class_2}

@data
115,14,1721,6428,1120,2193,373,112,154,1078,537,449,0.341,0.393,0.506,0.992,2,class_0
1056,17,1941,7559,1183,2416,371,164,58,1273,472,278,0.32,0.362,0.435,0.947,6,class_0
616,21,2792,10430,1736,3415,640,252,101,1732,963,327,0.327,0.39,0.466,0.94,5,class_0
1038,20,2549,9459,1627,3152,605,191,113,1309,1091,376,0.333,0.404,0.473,0.975,3,class_0
85,18,2488,9350,1410,2711,434,88,426,1475,1045,1046,0.29,0.364,0.492,0.973,3,class_0
1218,19,2292,7706,1798,2654,525,71,521,1839,2019,709,0.344,0.483,0.634,0.974,3,class_0
200,23,3308,11988,1816,3419,646,59,452,1844,1845,1393,0.285,0.382,0.462,0.981,3,class_0
669,13,1165,4019,378,1022,163,19,57,366,208,499,0.254,0.294,0.347,0.985,4,class_1
1197,13,1424,5557,844,1588,249,48,9,394,453,223,0.286,0.343,0.353,0.974,4,class_1
123,14,1281,4019,591,1082,188,49,37,303,414,447,0.269,0.34,0.368,0.955,6,class_1
741,17,1959,6606,823,1832,295,35,336,1122,594,1059,0.277,0.339,0.485,0.994,2,class_1
1237,12,1129,3912,558,999,170,27,130,433,342,918,0.255,0.321,0.412,0.975,3,class_1
913,10,568,1104,142,260,43,10,37,109,94,220,0.236,0.307,0.393,0.96,5,class_1
391,15,1078,3048,299,707,108,54,22,317,263,315,0.232,0.296,0.324,0.966,0,class_1
60,12,1139,3404,357,815,140,21,73,351,370,424,0.239,0.315,0.357,0.98,4,class_1
436,13,1281,4418,623,1325,255,45,47,501,223,310,0.3,0.336,0.41,0.981,3,class_1
332,15,1749,6332,1099,1848,320,79,351,1119,894,1556,0.292,0.381,0.534,0.989,2,class_1
499,11,1195,3927,442,999,140,44,55,342,300,622,0.254,0.312,0.354,0.97,5,class_1
138,13,1541,5032,811,1281,216,53,256,796,795,1033,0.255,0.36,0.471,0.975,3,class_1
86,15,1236,3330,390,846,138,25,36,296,250,636,0.254,0.307,0.343,0.956,5,class_1
1178,15,1481,4760,558,1168,126,19,13,282,302,482,0.245,0.291,0.288,0.977,4,class_1
440,17,2082,7339,985,2101,359,49,206,852,423,706,0.286,0.33,0.433,0.979,3,class_1
685,15,1380,4345,448,1216,170,26,32,377,138,267,0.28,0.307,0.353,0.968,3,class_1
933,15,1667,5789,780,1777,236,50,31,427,311,377,0.307,0.346,0.381,0.979,3,class_1
740,10,643,1715,248,418,67,19,9,123,185,224,0.244,0.322,0.321,0.97,4,class_1
1154,11,940,2155,211,505,75,13,8,156,227,280,0.234,0.31,0.292,0.967,5,class_1
301,10,873,2026,244,490,73,12,19,143,206,331,0.242,0.313,0.318,0.97,5,class_1
805,14,1635,6341,870,1841,328,124,49,976,310,55,0.29,0.328,0.404,1,3,class_1
689,12,847,2646,246,660,106,33,17,296,124,241,0.249,0.288,0.334,0.971,0,class_1
1266,14,1432,5164,614,1302,204,39,251,815,260,1201,0.252,0.29,0.453,0.981,3,class_1
3,17,1370,4123,397,1010,183,13,90,513,461,622,0.245,0.323,0.361,0.986,0,class_1
139,13,1324,4369,386,1103,135,26,60,457,333,459,0.252,0.31,0.336,0.96,6,class_1
742,10,544,1579,163,401,51,10,13,156,177,124,0.254,0.334,0.324,0.987,0,class_1
1100,11,624,1407,167,309,56,5,9,86,127,198,0.22,0.287,0.286,0.96,5,class_1
690,18,1580,5388,661,1328,174,76,13,390,592,363,0.246,0.326,0.314,0.933,6,class_1
124,11,1300,4620,725,1296,185,35,80,467,561,399,0.281,0.36,0.388,0.979,4,class_1
56,10,425,865,114,217,42,1,38,145,71,136,0.251,0.309,0.434,0.958,3,class_1
743,11,909,2828,201,712,94,9,50,304,207,344,0.252,0.307,0.344,0.992,0,class_1
409,14,1212,3581,432,915,128,15,155,540,545,577,0.256,0.358,0.429,0.986,0,class_1
140,17,1931,6082,772,1564,234,43,189,773,852,1126,0.257,0.35,0.403,0.946,6,class_1
141,11,955,2937,339,775,107,23,9,222,187,164,0.264,0.312,0.325,0.98,3,class_1
444,13,874,2280,285,573,76,13,1,196,382,165,0.251,0.36,0.297,0.971,6,class_1
383,19,2039,7117,964,1981,320,23,242,1013,762,926,0.278,0.351,0.432,0.985,3,class_1
1164,16,2019,7060,982,1790,289,38,242,1039,1031,923,0.254,0.355,0.408,0.959,6,class_1
4,12,972,3007,430,811,143,28,19,288,292,318,0.27,0.337,0.355,0.983,3,class_1
683,12,1428,4759,715,1219,216,30,241,716,551,1234,0.256,0.338,0.466,0.98,3,class_1
691,10,866,3306,580,962,83,47,16,255,440,547,0.291,0.379,0.359,0.954,3,class_1
928,10,941,3378,418,938,163,9,18,314,304,209,0.278,0.34,0.347,0.986,4,class_1
1179,10,1100,4014,516,1073,128,47,10,391,279,254,0.267,0.32,0.33,0.955,3,class_1
640,11,1223,4146,532,1009,142,38,10,429,396,142,0.243,0.321,0.303,0.935,5,class_1
333,18,2016,7629,1130,2165,442,71,79,710,748,627,0.284,0.355,0.391,0.953,5,class_1
142,10,393,1049,54,237,31,3,9,66,87,168,0.226,0.288,0.287,0.987,0,class_1
806,10,1017,3330,250,765,123,18,81,375,172,610,0.23,0.273,0.35,0.982,0,class_1
388,13,1141,3586,393,969,150,17,104,449,421,470,0.27,0.351,0.409,0.99,0,class_1
935,10,546,1605,163,432,95,11,26,220,143,163,0.269,0.33,0.391,0.983,0,class_1
574,14,1544,5145,833,1424,229,57,164,703,521,638,0.277,0.347,0.439,0.982,3,class_1
451,10,1019,3477,450,1010,165,51,25,272,258,258,0.29,0.342,0.389,0.98,3,class_1
355,19,2292,8198,1236,2135,366,28,338,1276,805,1069,0.26,0.346,0.436,0.977,1,class_1
705,10,393,661,79,153,18,4,14,90,54,150,0.231,0.292,0.334,0.98,2,class_1
542,12,1463,5660,955,1759,182,82,39,617,425,14,0.311,0.362,0.393,0.956,3,class_1
544,11,1320,5208,685,1473,196,31,22,360,260,243,0.283,0.319,0.345,0.973,4,class_1
926,18,2016,5784,676,1316,175,33,20,389,576,839,0.228,0.302,0.28,0.977,5,class_1
184,18,2405,8995,1151,2514,425,56,201,1106,836,776,0.279,0.343,0.406,0.964,6,class_1
558,15,1741,6478,865,1823,311,66,206,942,470,636,0.281,0.333,0.445,0.985,3,class_1
171,12,982,2878,214,696,98,6,18,260,328,251,0.242,0.322,0.299,0.99,0,class_1
57,10,411,1125,83,287,46,12,0,108,62,45,0.255,0.295,0.317,0.988,0,class_1
837,17,1500,4651,610,1274,190,30,79,476,349,551,0.274,0.329,0.379,0.977,3,class_1
216,15,1062,3821,549,978,203,67,55,533,478,572,0.256,0.34,0.387,0.942,0,class_1
781,11,912,3028,334,755,167,23,36,387,284,268,0.249,0.316,0.355,0.968,4,class_1
991,15,663,1813,150,441,71,6,6,206,78,117,0.243,0.278,0.299,0.986,0,class_1
87,11,947,3028,138,516,45,21,2,193,88,81,0.17,0.194,0.201,0.972,0,class_1
1293,11,1350,5163,809,1550,299,59,242,898,435,694,0.3,0.359,0.522,0.974,3,class_1
303,17,1349,2679,312,690,100,16,54,289,380,347,0.258,0.351,0.367,0.992,2,class_1
1267,10,1071,3700,523,970,177,30,75,391,428,606,0.262,0.341,0.387,0.978,4,class_1
278,11,853,2553,236,603,109,9,49,278,210,422,0.236,0.297,0.344,0.959,5,class_1
1075,11,561,1330,96,287,37,3,3,78,76,134,0.216,0.26,0.255,0.989,0,class_1
843,14,1383,4136,422,1053,150,23,58,343,298,569,0.255,0.309,0.344,0.989,3,class_1
217,11,709,2018,196,539,88,29,23,256,160,196,0.267,0.322,0.374,0.982,0,class_1
1092,10,612,1745,204,425,60,10,27,171,142,252,0.244,0.306,0.336,0.949,6,class_1
143,11,1228,4536,749,1171,190,74,28,345,619,451,0.258,0.353,0.351,0.96,3,class_1
864,15,970,2117,214,499,90,11,27,275,221,329,0.236,0.309,0.327,0.938,6,class_1
905,13,1383,5706,819,1521,208,95,33,706,268,129,0.267,0.301,0.354,0.935,4,class_1
203,11,1147,4192,629,1205,139,75,17,324,344,161,0.287,0.345,0.369,0.966,3,class_1
865,14,1217,3151,310,861,144,20,29,354,236,287,0.273,0.326,0.359,0.97,3,class_1
1202,10,600,1738,220,432,85,13,76,276,234,395,0.249,0.339,0.444,0.992,2,class_1
836,11,243,488,44,106,12,5,0,29,23,73,0.217,0.268,0.262,0.964,0,class_1
938,12,1338,4494,966,1216,236,35,41,379,1153,452,0.271,0.423,0.366,0.976,4,class_1
1076,10,767,2415,467,726,133,51,50,340,331,310,0.301,0.395,0.46,0.963,3,class_1
1032,17,1947,6042,776,1513,282,55,134,620,449,877,0.25,0.305,0.382,0.988,3,class_1
356,12,1444,5296,731,1366,178,62,21,308,552,462,0.258,0.33,0.327,0.979,4,class_1
692,11,1002,3519,347,874,160,20,62,451,202,407,0.248,0.292,0.358,0.975,4,class_1
918,13,1615,5904,1151,1696,319,109,44,695,1092,436,0.287,0.402,0.401,0.989,2,class_1
1016,18,1867,6440,883,1751,276,67,43,848,723,515,0.272,0.352,0.356,0.957,6,class_1
807,12,551,1462,117,320,56,5,26,148,96,246,0.219,0.269,0.317,0.984,0,class_1
172,12,1538,5233,643,1478,250,21,100,658,653,662,0.282,0.363,0.396,0.992,2,class_1
452,12,1540,5562,692,1415,221,40,106,556,462,558,0.254,0.315,0.366,0.982,4,class_1
125,14,1849,7043,1258,1886,302,66,332,1024,914,1757,0.268,0.356,0.471,0.977,3,class_1
52,10,976,3068,363,833,143,24,56,355,229,387,0.272,0.325,0.389,0.982,3,class_1
1077,13,1373,4589,645,1260,162,46,151,737,608,463,0.275,0.363,0.429,0.958,6,class_1
144,19,2264,7245,679,1838,303,26,105,826,663,608,0.254,0.318,0.346,0.986,0,class_1
485,11,930,2632,410,745,120,28,14,270,173,186,0.283,0.331,0.366,0.982,3,class_1
1227,14,784,1581,183,430,50,12,20,158,143,275,0.272,0.333,0.357,0.972,3,class_1
844,11,930,2517,266,625,91,19,31,244,240,239,0.248,0.316,0.337,0.979,4,class_1
866,16,2247,8418,987,2191,262,99,15,525,474,569,0.26,0.301,0.32,0.98,5,class_1
453,15,1045,3401,343,852,102,38,13,392,129,0,0.251,0.286,0.314,0.963,0,class_1
252,16,1725,5780,645,1396,200,33,162,654,470,931,0.242,0.301,0.372,0.965,6,class_1
845,15,2034,7455,1104,2143,318,68,282,1141,713,1017,0.287,0.351,0.462,0.952,6,class_1
641,13,1086,4222,668,1067,137,53,24,528,328,233,0.253,0.315,0.32,0.929,0,class_1
185,11,697,1605,224,363,50,8,52,175,184,411,0.226,0.313,0.364,0.971,3,class_1
88,14,1461,5430,754,1471,275,84,33,552,290,18,0.271,0.317,0.371,0.933,6,class_1
636,11,1221,3895,540,1020,175,37,112,485,351,574,0.262,0.325,0.412,0.98,3,class_1
863,12,1330,4999,529,1351,225,75,13,637,221,41,0.27,0.304,0.353,0.983,2,class_1
1203,15,1425,3650,466,989,155,19,52,388,579,433,0.271,0.373,0.367,0.973,3,class_1
1155,19,1305,3881,544,1170,164,87,32,586,449,246,0.301,0.378,0.413,0.971,3,class_1
392,12,1186,3672,443,925,184,40,94,365,359,723,0.252,0.321,0.401,0.963,5,class_1
1116,11,919,2272,245,562,80,11,16,187,205,229,0.247,0.312,0.313,0.968,5,class_1
9,11,1252,4169,457,1064,95,32,2,348,557,98,0.255,0.347,0.295,0.939,5,class_1
808,12,1366,4117,601,1041,170,43,139,507,663,785,0.253,0.357,0.416,0.973,3,class_1
410,15,1845,6045,550,1355,201,38,60,461,444,845,0.224,0.282,0.3,0.97,5,class_1
553,10,1013,3202,420,794,141,6,110,462,434,469,0.248,0.34,0.399,0.994,2,class_1
1204,12,1437,5699,886,1726,191,89,25,900,420,148,0.303,0.364,0.381,0.959,3,class_1
1252,12,1336,3865,477,950,175,40,71,431,281,605,0.246,0.299,0.367,0.943,6,class_1
867,12,1129,3449,331,803,108,13,47,254,317,414,0.233,0.301,0.313,0.964,5,class_1
1009,13,1221,3642,404,964,144,11,102,454,314,616,0.265,0.326,0.394,0.977,3,class_1
1253,17,1786,7363,1521,1952,239,138,64,529,748,708,0.265,0.337,0.361,0.89,3,class_1
496,13,1051,2262,330,582,78,19,84,322,242,275,0.257,0.333,0.42,0.977,3,class_1
511,12,1102,4300,614,1176,119,55,18,303,259,1,0.273,0.317,0.339,0.927,3,class_1
1044,13,1183,4820,954,1646,295,85,46,353,466,167,0.341,0.403,0.467,0.883,3,class_1
89,10,479,1564,208,413,85,10,22,225,151,239,0.264,0.333,0.373,0.938,6,class_1
90,12,1610,6056,937,1651,241,102,94,545,482,793,0.273,0.329,0.393,0.981,3,class_1
91,22,2517,9397,1077,2715,498,49,174,1208,450,453,0.289,0.324,0.408,0.992,2,class_1
357,10,1286,4553,718,1203,157,44,93,418,672,575,0.264,0.364,0.379,0.988,3,class_1
10,14,1496,5053,778,1422,220,52,54,402,471,709,0.281,0.345,0.378,0.986,3,class_1
642,14,960,3873,578,944,131,40,15,390,128,305,0.244,0.27,0.31,0.912,4,class_1
1192,18,1691,4471,485,1318,230,33,126,673,477,270,0.295,0.364,0.446,0.988,0,class_1
1101,13,1346,5139,656,1401,256,23,50,449,420,477,0.273,0.331,0.361,0.971,5,class_1
510,16,1866,6573,901,2018,444,72,72,951,363,433,0.307,0.354,0.429,0.987,2,class_1
512,15,1853,7241,1188,2077,362,108,41,611,872,565,0.287,0.366,0.384,0.97,3,class_1
1254,13,1251,4920,722,1299,236,69,39,683,270,454,0.264,0.303,0.364,0.886,6,class_1
1021,11,1187,4637,869,1389,224,129,65,673,464,182,0.3,0.368,0.446,0.92,3,class_1
666,16,1689,5536,720,1443,230,20,240,882,831,1135,0.261,0.359,0.439,0.974,3,class_1
707,13,1352,4250,541,1113,162,35,48,438,310,439,0.262,0.316,0.35,0.988,3,class_1
353,16,1946,7210,1280,1804,186,74,9,436,1158,346,0.25,0.356,0.3,0.936,5,class_1
344,12,671,2392,287,511,58,12,2,106,124,97,0.214,0.254,0.25,0.916,0,class_1
126,11,1283,4831,667,1225,186,60,10,329,456,220,0.254,0.324,0.323,0.934,6,class_1
429,15,1688,5952,753,1647,263,56,60,596,259,691,0.277,0.309,0.37,0.944,6,class_1
1004,13,923,3295,442,901,135,46,11,394,159,9,0.273,0.311,0.352,0.953,3,class_1
782,16,1886,6652,926,1757,321,89,226,840,650,1064,0.264,0.333,0.441,0.984,3,class_1
351,12,1490,5353,936,1482,261,86,239,950,947,961,0.277,0.388,0.492,0.99,2,class_1
63,19,2328,8684,1181,2249,313,86,79,646,618,1142,0.259,0.313,0.342,0.964,5,class_1
173,13,1360,4762,759,1382,295,87,106,766,548,584,0.29,0.367,0.455,0.956,3,class_1
242,13,740,1950,132,458,66,12,18,169,241,354,0.235,0.321,0.309,0.983,0,class_1
61,12,1010,2733,372,722,140,9,96,358,538,611,0.264,0.389,0.427,0.978,3,class_1
832,18,2017,6964,936,1913,333,46,138,775,608,807,0.275,0.335,0.395,0.976,3,class_1
895,16,1941,6707,662,1725,285,49,118,689,522,1135,0.257,0.313,0.367,0.971,5,class_1
26,11,938,2850,371,741,119,38,64,350,268,389,0.26,0.329,0.396,0.958,6,class_1
612,12,1118,4638,720,1201,142,47,18,204,111,91,0.259,0.281,0.321,0.853,6,class_1
238,10,1325,4644,568,1199,172,25,55,474,491,467,0.258,0.334,0.342,0.969,5,class_1
92,10,709,1970,194,506,67,14,6,235,206,59,0.257,0.334,0.314,0.971,0,class_1
253,11,991,3972,729,995,125,47,31,423,361,290,0.251,0.32,0.329,0.905,3,class_1
489,19,2296,7971,1025,2092,371,31,324,1225,848,997,0.262,0.338,0.439,0.991,0,class_1
1110,15,1651,5606,712,1677,278,17,204,890,642,663,0.299,0.372,0.464,0.97,3,class_1
145,10,705,2465,508,694,104,50,29,213,417,79,0.282,0.391,0.4,0.875,3,class_1
1033,10,859,2786,214,627,87,12,50,252,101,430,0.225,0.254,0.319,0.985,0,class_1
513,11,1226,5016,785,1415,233,43,21,377,426,297,0.282,0.341,0.358,0.97,3,class_1
345,10,1114,4341,584,1122,137,52,9,354,270,866,0.258,0.31,0.32,0.915,6,class_1
304,12,1422,5554,732,1571,243,56,21,426,424,309,0.283,0.336,0.358,0.984,4,class_1
1005,17,2089,6705,1046,1820,241,41,377,1103,1043,1091,0.271,0.377,0.488,0.992,2,class_1
809,10,587,2454,336,618,83,31,4,156,84,127,0.252,0.278,0.316,0.845,3,class_1
201,10,631,1519,190,383,71,8,55,197,90,291,0.252,0.3,0.418,0.953,3,class_1
284,12,1289,4451,491,1229,191,29,66,519,254,406,0.276,0.318,0.377,0.994,2,class_1
1308,11,1105,3244,357,819,130,26,35,285,390,341,0.252,0.335,0.341,0.969,5,class_1
1050,22,2030,6754,990,1977,347,99,95,920,820,598,0.293,0.372,0.416,0.99,2,class_1
209,17,2006,7310,1084,2087,436,60,199,976,664,938,0.285,0.35,0.443,0.985,3,class_1
1102,18,1329,4069,393,998,190,15,59,436,320,450,0.245,0.304,0.343,0.99,0,class_1
146,12,829,2261,320,624,96,26,105,374,212,392,0.276,0.343,0.481,0.976,3,class_1
1126,17,2073,7162,977,1868,328,21,316,1139,1012,1235,0.261,0.357,0.445,0.961,6,class_1
243,17,2175,7571,912,2109,392,42,185,972,632,926,0.279,0.336,0.415,0.993,2,class_1
297,11,915,2113,237,458,75,17,14,190,238,471,0.217,0.297,0.288,0.959,5,class_1
1169,11,1368,4988,754,1329,210,52,180,773,562,682,0.266,0.342,0.438,0.972,3,class_1
58,15,1717,6478,1144,1958,407,107,90,977,824,556,0.302,0.383,0.44,0.967,3,class_1
564,15,1919,7417,980,2158,322,124,57,941,276,306,0.291,0.319,0.391,0.98,2,class_1
271,13,1456,5618,1214,1720,205,100,20,654,991,117,0.306,0.416,0.389,0.93,4,class_1
588,10,502,1495,135,356,49,9,41,179,115,242,0.238,0.296,0.365,0.983,0,class_1
543,10,969,3054,370,808,133,48,44,321,221,474,0.265,0.317,0.383,0.974,3,class_1
643,18,1994,6847,1118,1826,332,39,340,1180,1262,1441,0.267,0.383,0.476,0.978,3,class_1
618,10,1272,4813,548,1230,150,23,27,304,365,362,0.256,0.31,0.313,0.983,4,class_1
1238,10,700,1708,169,453,66,37,6,191,216,177,0.265,0.351,0.358,0.975,0,class_1
164,13,950,3346,394,858,111,32,20,429,176,58,0.256,0.311,0.327,0.947,0,class_1
644,17,1157,4283,619,1226,226,60,77,687,339,299,0.286,0.347,0.421,0.937,0,class_1
354,12,1362,4648,594,1273,192,57,159,682,379,1140,0.274,0.331,0.442,0.988,2,class_1
586,12,1582,5730,1070,1558,309,62,178,829,1070,713,0.272,0.39,0.441,0.948,6,class_1
1279,12,892,1834,251,437,53,25,6,125,153,262,0.238,0.304,0.304,0.986,3,class_1
500,10,870,2328,314,645,85,24,5,187,169,291,0.277,0.331,0.341,0.979,3,class_1
67,10,816,2839,410,697,86,31,8,301,303,94,0.246,0.323,0.306,0.919,6,class_1
539,11,918,2877,384,731,98,44,39,278,232,384,0.254,0.316,0.359,0.973,3,class_1
1117,14,1841,6503,971,1730,283,21,374,1159,951,880,0.266,0.362,0.489,0.98,3,class_1
999,10,1004,3422,481,833,141,25,173,520,383,902,0.243,0.324,0.451,0.991,2,class_1
305,16,1701,4907,667,1335,187,52,32,373,467,660,0.272,0.34,0.351,0.986,3,class_1
1180,16,1799,6390,747,1687,310,133,22,709,331,405,0.264,0.306,0.364,0.962,3,class_1
744,10,908,2329,404,596,79,24,86,329,338,263,0.256,0.351,0.421,0.99,2,class_1
1027,10,543,1204,146,306,46,6,33,168,235,200,0.254,0.378,0.385,0.974,0,class_1
218,13,1390,5796,994,1531,206,68,29,467,197,84,0.264,0.293,0.338,0.973,2,class_1
2,10,813,2787,404,795,134,51,28,417,214,158,0.285,0.339,0.4,0.972,3,class_1
306,19,2488,8723,993,2326,389,48,101,950,736,1186,0.267,0.325,0.357,0.971,5,class_1
1316,11,1374,5061,605,1257,176,82,22,452,345,285,0.248,0.3,0.329,0.934,6,class_1
68,10,603,1178,158,260,31,11,9,83,161,297,0.221,0.316,0.289,0.945,5,class_1
378,13,1316,5364,847,1576,180,102,26,557,365,73,0.294,0.341,0.38,0.945,3,class_1
783,20,1172,3372,408,965,130,26,2,219,208,107,0.286,0.329,0.342,0.988,3,class_1
207,17,1896,7349,1012,2192,415,47,241,1125,448,911,0.298,0.34,0.466,0.992,2,class_1
1292,18,1473,4702,573,1341,240,40,173,812,309,357,0.285,0.332,0.464,0.977,0,class_1
1239,18,2200,8804,1184,2252,289,155,34,1135,382,205,0.256,0.289,0.335,0.924,5,class_1
1061,10,1086,4404,650,1120,110,80,31,268,174,80,0.254,0.288,0.337,0.947,3,class_1
256,11,946,2796,260,750,126,17,38,313,264,143,0.268,0.341,0.366,0.987,0,class_1
1312,11,1075,2978,355,832,128,17,131,499,247,414,0.279,0.339,0.466,0.961,3,class_1
11,13,1584,5534,704,1494,276,68,108,717,389,659,0.27,0.322,0.403,0.985,3,class_1
69,11,1058,3712,470,974,174,32,66,351,298,218,0.262,0.318,0.38,0.965,6,class_1
346,20,2239,9140,1357,2705,396,109,37,842,572,345,0.296,0.34,0.375,0.979,3,class_1
321,16,1573,5026,585,1276,179,18,179,657,424,477,0.254,0.315,0.404,0.989,0,class_1
497,11,1220,3951,575,1134,232,83,119,719,561,514,0.287,0.38,0.478,0.944,3,class_1
1320,14,1210,3435,507,921,152,35,86,419,431,664,0.268,0.351,0.408,0.975,3,class_1
908,16,1012,3202,337,709,86,50,11,342,309,0,0.221,0.294,0.29,0.971,0,class_1
620,12,1478,5930,832,1591,195,95,38,531,289,257,0.268,0.303,0.352,0.974,4,class_1
