@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute class {class_0,class_1}

@data
53,12091,13439,147,379,114,7,2,4,12,10,26205,12008,9781,3272,class_0
54,19482,39497,229,1214,210,11,4,2,13,12,60674,10923,26244,4957,class_0
57,72854,83100,305,4066,431,94,11,5,59,15,160940,16713,27311,4205,class_0
58,58888,75293,194,1940,551,38,38,5,70,27,137044,36168,28892,8482,class_0
59,9634,12126,114,307,53,2,2,0,17,3,22258,7014,5960,2375,class_0
60,4084,8014,108,182,53,4,2,0,5,9,12461,4479,5742,1874,class_0
61,2647,4051,27,59,4,3,0,1,1,8,6801,3583,3188,1140,class_0
62,1399,2326,26,29,13,0,1,0,0,0,3794,1388,1636,425,class_0
64,3835,4511,46,149,30,3,2,1,6,0,8583,3054,2931,1091,class_0
65,5637,12176,120,265,68,11,3,2,18,7,18307,5341,7706,2342,class_0
66,2796,4983,88,93,32,20,0,0,5,9,8026,2992,3522,1287,class_0
4,97318,115185,570,4470,643,39,11,11,76,72,218395,80416,87980,25249,class_1
5,386518,177279,789,7099,1212,128,49,35,123,74,573306,320736,142834,38964,class_1
12,328702,289456,561,5355,759,119,88,36,124,69,625269,317378,209634,24722,class_1
15,107680,152082,650,2752,954,160,36,16,41,57,264428,112258,126857,13844,class_1
16,40958,73029,504,1729,297,24,6,3,20,110,116680,37768,60839,8587,class_1
28,166581,176967,836,7348,1104,215,35,29,150,66,353331,144223,136621,25154,class_1
35,73560,106141,305,3587,538,81,30,5,96,34,184377,65692,80882,18389,class_1
36,61425,39053,282,1932,330,28,9,7,31,16,103113,50058,33914,6672,class_1
40,49169,57948,272,2489,243,35,5,3,26,19,110209,41835,44059,10360,class_1
41,44648,55135,563,1810,361,26,14,6,49,22,102634,37033,41397,11340,class_1
47,140115,134476,446,3881,892,65,13,7,45,41,279981,105513,106026,18191,class_1
49,268945,152846,3407,5564,743,143,45,302,103,188,432286,230621,133762,30739,class_1
50,69550,68581,570,3392,412,82,18,14,77,17,142713,66472,48346,18011,class_1
51,199660,184312,1010,9986,1222,444,40,27,167,70,396938,184728,152125,36990,class_1
52,74977,90101,538,2060,365,59,8,5,36,46,168195,66735,67943,14991,class_1
55,41559,34705,124,1368,165,12,4,10,29,13,77989,63648,69198,14939,class_1
56,12795,36248,311,723,131,13,1,1,19,43,50285,45051,59778,9357,class_1
63,97063,82214,396,2436,3211,33,9888,3,59,2927,198230,78905,63067,17319,class_1
