@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7}

@data
11,56,56,69,1141,53,1549,447,1,3,4,90,2355,class_0
11,57,57,70,981,45,508,555,1,2,2,91,2250,class_0
12,58,58,71,382,36,695,558,1,4,2,87,2440,class_0
12,61,61,74,601,47,2158,624,1,0,4,91,2252,class_0
12,63,63,76,533,38,816,184,1,3,2,88,2077,class_0
13,65,65,78,345,46,1794,1006,1,4,4,87,2200,class_0
13,65,65,78,1003,43,345,775,1,3,2,87,2180,class_0
13,65,65,79,419,39,1921,964,1,0,2,90,2200,class_0
13,66,66,80,618,42,966,333,1,4,2,91,2201,class_0
15,70,70,84,1042,51,747,225,1,3,4,87,2100,class_0
15,73,73,88,664,46,859,717,1,2,4,91,2333,class_0
19,83,83,100,531,42,796,763,1,2,2,90,2190,class_0
19,85,85,102,612,51,851,997,1,0,4,91,2417,class_0
21,90,90,107,425,38,733,581,1,3,4,89,2280,class_0
22,93,93,111,772,42,1367,1078,1,0,4,89,2370,class_0
23,105,105,124,430,31,122,1742,1,3,2,88,2480,class_0
23,106,106,125,799,44,615,415,1,3,4,87,2296,class_0
23,106,106,126,526,42,686,853,1,3,4,88,2328,class_0
23,106,106,127,681,45,1210,1014,1,0,2,91,2420,class_0
27,118,118,141,897,44,792,389,1,3,2,88,2200,class_0
27,119,119,142,404,37,1079,211,1,3,4,87,2415,class_0
30,123,124,147,1018,46,1326,974,1,0,4,91,2453,class_0
31,124,125,148,884,44,694,309,1,3,4,87,2254,class_0
33,130,131,155,685,37,1190,609,1,2,2,90,2460,class_0
33,131,133,158,397,40,1162,393,1,3,2,88,2320,class_0
33,132,132,156,546,45,894,681,1,3,4,89,2370,class_0
33,132,132,157,613,44,917,1469,1,4,4,91,2405,class_0
33,136,138,164,398,42,572,261,1,3,2,88,2100,class_0
33,136,138,165,729,51,1325,949,1,4,4,91,2120,class_0
34,138,140,167,2140,52,723,450,1,3,2,87,2140,class_0
34,138,140,168,1424,44,917,478,1,3,2,88,2200,class_0
34,138,140,169,818,58,738,508,1,3,2,89,2150,class_0
0,2,2,2,435,50,926,708,0,2,4,88,3280,class_1
1,4,3,3,185,35,998,894,0,2,4,89,3100,class_1
3,7,7,7,1467,54,712,1366,0,3,4,88,3360,class_1
3,8,8,8,1036,35,1049,908,0,4,2,90,3240,class_1
3,9,9,9,880,50,996,642,0,4,2,88,3210,class_1
5,14,15,16,733,39,736,353,0,3,2,87,3070,class_1
5,14,15,17,585,39,717,150,0,2,2,91,3191,class_1
5,21,21,25,1200,58,782,332,0,4,4,90,3155,class_1
6,28,28,35,298,40,332,611,0,2,2,90,3000,class_1
6,29,29,36,1362,55,730,1102,0,3,4,88,3190,class_1
6,29,29,37,511,55,710,959,0,2,4,91,3310,class_1
9,39,39,48,877,46,742,765,0,3,4,89,3060,class_1
10,48,47,57,651,42,1353,1063,0,2,2,90,3445,class_1
10,52,53,64,707,38,2234,455,0,3,4,88,3140,class_1
10,52,53,65,735,46,1219,581,0,2,4,90,3080,class_1
10,52,53,66,480,44,1901,328,0,2,4,91,3290,class_1
12,60,60,73,562,45,519,892,0,2,4,91,3160,class_1
14,68,68,82,466,43,936,844,0,2,2,90,3370,class_1
17,78,78,95,992,55,1102,1012,0,2,4,90,3280,class_1
19,82,82,99,273,51,1093,450,0,3,4,88,3470,class_1
20,87,87,104,800,60,705,582,0,2,4,90,3058,class_1
21,88,88,105,712,51,253,862,0,3,4,88,3200,class_1
22,95,95,113,952,48,1260,1369,0,4,2,87,3020,class_1
23,99,99,117,765,54,1495,1668,0,2,2,91,3324,class_1
23,101,101,119,808,51,611,1409,0,0,4,89,3160,class_1
23,102,102,120,907,64,1422,885,0,4,4,88,3210,class_1
24,110,110,132,710,51,1350,520,0,2,4,88,3460,class_1
25,111,112,133,1983,64,966,1024,0,0,4,89,3010,class_1
25,113,113,135,1701,60,1657,751,0,4,4,88,3070,class_1
33,133,134,159,790,51,1632,1246,0,0,4,89,3450,class_1
35,141,143,172,519,42,1143,723,0,2,4,88,3010,class_1
0,2,2,2,618,41,730,722,1,2,4,88,3280,class_1
1,4,3,3,710,31,571,757,1,2,4,89,3100,class_1
3,7,7,7,794,37,479,686,1,3,4,88,3360,class_1
3,8,8,8,426,32,669,903,1,4,2,90,3240,class_1
3,9,9,9,535,33,686,526,1,4,2,88,3210,class_1
5,14,15,16,660,39,961,144,1,3,2,87,3070,class_1
5,14,15,17,583,42,627,174,1,2,2,91,3191,class_1
5,21,21,25,345,51,935,560,1,4,4,90,3155,class_1
6,28,28,35,2043,46,1119,769,1,2,2,90,3000,class_1
6,29,29,36,424,43,1580,454,1,3,4,88,3190,class_1
6,29,29,37,446,44,1133,794,1,2,4,91,3310,class_1
9,39,39,48,868,44,1011,685,1,3,4,89,3060,class_1
10,48,47,57,438,50,1707,408,1,2,2,90,3445,class_1
10,52,53,64,359,47,775,438,1,3,4,88,3140,class_1
10,52,53,65,609,40,1261,318,1,2,4,90,3080,class_1
10,52,53,66,258,38,1594,708,1,2,4,91,3290,class_1
12,60,60,73,539,43,1015,562,1,2,4,91,3160,class_1
14,68,68,82,443,45,1132,716,1,2,2,90,3370,class_1
17,78,78,95,630,47,1689,1075,1,2,4,90,3280,class_1
19,82,82,99,859,49,774,450,1,3,4,88,3470,class_1
20,87,87,104,833,58,1028,331,1,2,4,90,3058,class_1
21,88,88,105,410,35,1512,913,1,3,4,88,3200,class_1
22,95,95,113,377,46,1752,1323,1,4,2,87,3020,class_1
23,99,99,117,840,47,1415,1552,1,2,2,91,3324,class_1
23,101,101,119,736,44,664,1043,1,0,4,89,3160,class_1
23,102,102,120,861,49,1500,1049,1,4,4,88,3210,class_1
24,110,110,132,539,38,2119,593,1,2,4,88,3460,class_1
25,111,112,133,2192,77,839,554,1,0,4,89,3010,class_1
25,113,113,135,157,45,930,328,1,4,4,88,3070,class_1
33,133,134,159,544,51,1554,1107,1,0,4,89,3450,class_1
35,141,143,172,445,42,1793,634,1,2,4,88,3010,class_1
1,3,4,4,600,49,168,1871,0,3,4,89,2790,class_2
2,5,5,5,1036,56,865,1742,0,2,2,90,2862,class_2
3,6,6,6,815,47,1340,315,0,4,4,91,2992,class_2
5,12,12,13,343,37,659,523,0,2,2,91,2671,class_2
5,13,13,14,864,50,1692,1052,0,4,2,88,2890,class_2
5,16,17,20,770,49,775,531,0,4,4,90,2540,class_2
5,17,18,21,772,44,1293,737,0,3,4,88,2750,class_2
5,17,18,22,493,41,1171,550,0,2,4,91,2830,class_2
6,28,28,34,791,62,1008,1776,0,4,2,87,2870,class_2
8,35,34,42,399,39,729,908,0,2,2,89,2790,class_2
8,36,35,43,1488,49,1003,529,0,3,2,87,2550,class_2
8,36,35,44,503,42,1234,647,0,2,4,91,2730,class_2
8,37,36,45,1421,47,672,772,0,3,4,89,2840,class_2
9,38,38,47,745,41,1721,1574,0,0,4,89,2740,class_2
10,47,48,58,479,42,580,921,0,3,2,87,2868,class_2
10,49,49,59,970,46,691,579,0,3,2,89,2650,class_2
10,49,49,60,550,42,1051,1501,0,0,2,91,2810,class_2
10,53,54,67,721,47,1113,1037,0,4,4,88,2660,class_2
12,59,59,72,750,50,1361,1214,0,0,4,91,2850,class_2
12,64,64,77,1279,59,770,681,0,4,2,90,2650,class_2
13,67,67,81,1196,54,869,1717,0,3,4,89,2850,class_2
19,81,81,98,846,52,820,1487,0,4,4,87,2590,class_2
19,86,86,103,921,39,186,268,0,3,2,88,2630,class_2
21,89,89,106,743,64,585,957,0,2,4,87,2725,class_2
22,91,91,108,772,44,1152,499,0,0,2,90,2594,class_2
22,92,92,109,971,50,1613,584,0,3,4,89,2740,class_2
22,92,92,110,1024,61,1243,906,0,0,4,91,2838,class_2
23,97,98,116,407,41,1234,687,0,0,2,89,2680,class_2
23,98,97,115,1226,53,1390,103,0,3,2,87,2739,class_2
23,107,107,128,1105,59,1404,813,0,0,4,90,2790,class_2
23,107,107,129,546,56,1803,413,0,0,4,91,2740,class_2
24,109,109,131,405,70,1085,1435,0,4,4,87,2650,class_2
25,112,111,134,1831,60,300,535,0,3,4,87,2900,class_2
26,114,114,136,663,46,1201,840,0,3,4,89,2820,class_2
26,114,114,137,762,55,1044,252,0,2,4,91,2860,class_2
26,115,115,138,873,52,717,467,0,3,4,87,2580,class_2
27,117,117,140,846,44,879,497,0,4,2,87,2530,class_2
28,38,121,144,1656,57,205,411,0,3,4,88,2660,class_2
29,121,123,146,718,46,1776,508,0,4,2,88,2840,class_2
29,122,122,145,584,37,120,435,0,3,4,87,2990,class_2
31,126,127,150,1007,52,1957,842,0,0,4,90,2640,class_2
33,129,130,154,871,51,1380,1160,0,4,4,87,2780,class_2
34,139,141,170,1182,59,1104,1436,0,0,4,90,2990,class_2
1,3,4,4,515,39,324,245,1,3,4,89,2790,class_2
2,5,5,5,397,46,853,262,1,2,2,90,2862,class_2
3,6,6,6,1144,40,1014,179,1,4,4,91,2992,class_2
5,12,12,13,739,35,910,230,1,2,2,91,2671,class_2
5,13,13,14,559,42,1731,796,1,4,2,88,2890,class_2
5,16,17,20,485,37,1749,890,1,4,4,90,2540,class_2
5,17,18,21,752,40,614,845,1,3,4,88,2750,class_2
5,17,18,22,956,44,1377,424,1,2,4,91,2830,class_2
6,28,28,34,1698,82,1863,853,1,4,2,87,2870,class_2
8,35,34,42,297,32,795,457,1,2,2,89,2790,class_2
8,36,35,43,653,36,748,486,1,3,2,87,2550,class_2
8,36,35,44,457,39,739,781,1,2,4,91,2730,class_2
8,37,36,45,537,45,1295,707,1,3,4,89,2840,class_2
9,38,38,47,589,39,1738,1670,1,0,4,89,2740,class_2
10,47,48,58,301,34,1589,290,1,3,2,87,2868,class_2
10,49,49,59,496,35,870,187,1,3,2,89,2650,class_2
10,49,49,60,418,45,1592,1033,1,0,2,91,2810,class_2
10,53,54,67,470,50,1773,702,1,4,4,88,2660,class_2
12,59,59,72,378,40,1452,900,1,0,4,91,2850,class_2
12,64,64,77,854,48,674,733,1,4,2,90,2650,class_2
13,67,67,81,937,53,603,293,1,3,4,89,2850,class_2
19,81,81,98,801,46,1300,1255,1,4,4,87,2590,class_2
19,86,86,103,614,48,1135,650,1,3,2,88,2630,class_2
21,89,89,106,626,40,1277,455,1,2,4,87,2725,class_2
22,91,91,108,612,40,1033,413,1,0,2,90,2594,class_2
22,92,92,109,998,40,1229,526,1,3,4,89,2740,class_2
22,92,92,110,711,53,1395,1232,1,0,4,91,2838,class_2
23,97,98,116,525,44,656,854,1,0,2,89,2680,class_2
23,98,97,115,664,37,740,89,1,3,2,87,2739,class_2
23,107,107,128,629,47,1205,744,1,0,4,90,2790,class_2
23,107,107,129,873,47,971,558,1,0,4,91,2740,class_2
24,109,109,131,328,40,1737,555,1,4,4,87,2650,class_2
25,112,111,134,1786,50,546,176,1,3,4,87,2900,class_2
26,114,114,136,810,50,1552,873,1,3,4,89,2820,class_2
26,114,114,137,446,43,891,1117,1,2,4,91,2860,class_2
26,115,115,138,345,41,832,540,1,3,4,87,2580,class_2
27,117,117,140,601,41,1848,529,1,4,2,87,2530,class_2
28,38,121,144,873,38,617,1193,1,3,4,88,2660,class_2
29,121,123,146,1250,35,1395,1535,1,4,2,88,2840,class_2
29,122,122,145,440,35,346,638,1,3,4,87,2990,class_2
31,126,127,150,675,44,1899,1121,1,0,4,90,2640,class_2
33,129,130,154,973,46,1200,1167,1,4,4,87,2780,class_2
34,139,141,170,604,46,1154,2474,1,0,4,90,2990,class_2
4,10,10,10,423,39,541,1629,0,2,4,90,3500,class_3
5,15,16,18,1328,64,406,493,0,3,4,89,3693,class_3
5,15,16,19,533,54,1529,613,0,2,4,91,3990,class_3
6,26,26,32,786,43,1132,667,0,2,4,89,3820,class_3
6,27,27,33,517,43,767,979,0,2,4,90,3540,class_3
10,54,52,63,541,44,1224,1264,0,0,2,89,3630,class_3
18,79,79,96,863,48,314,1247,0,1,4,89,3710,class_3
18,80,80,97,471,40,1728,855,0,1,4,90,4080,class_3
4,10,10,10,834,46,764,1113,1,2,4,90,3500,class_3
5,15,16,18,1365,42,260,495,1,3,4,89,3693,class_3
5,15,16,19,1101,48,1527,626,1,2,4,91,3990,class_3
6,26,26,32,682,43,766,575,1,2,4,89,3820,class_3
6,27,27,33,2132,56,862,863,1,2,4,90,3540,class_3
10,54,52,63,496,40,1138,776,1,0,2,89,3630,class_3
18,79,79,96,492,58,1326,1090,1,1,4,89,3710,class_3
18,80,80,97,398,36,883,644,1,1,4,90,4080,class_3
5,11,11,11,1603,72,1572,700,0,3,2,88,3787,class_4
5,11,11,12,1849,64,2737,1043,0,3,2,89,4002,class_4
5,19,20,24,1387,67,1298,526,0,3,4,87,4887,class_4
5,20,19,23,3665,97,1330,963,0,3,4,88,4244,class_4
10,40,40,49,1568,49,286,590,0,3,4,87,3013,class_4
10,42,42,51,2613,59,1526,688,0,3,2,90,5103,class_4
19,84,84,101,1038,58,803,927,0,3,2,91,3730,class_4
22,96,96,114,805,49,1568,1427,0,3,2,89,3441,class_4
23,100,100,118,1051,46,919,1257,0,4,4,90,3037,class_4
23,108,108,130,949,54,1326,661,0,3,4,88,3560,class_4
26,116,116,139,903,43,776,453,0,3,4,87,3040,class_4
27,120,120,143,761,42,1109,913,0,3,2,90,3740,class_4
33,135,137,163,1434,66,332,663,0,3,2,91,3642,class_4
33,137,139,166,1183,59,1199,474,0,3,2,89,3277,class_4
34,140,142,171,1320,59,2930,1911,0,3,4,88,3520,class_4
5,11,11,11,1424,63,1695,576,1,3,2,88,3787,class_4
5,11,11,12,1838,64,1901,365,1,3,4,89,4002,class_4
5,19,20,24,1719,43,1507,375,1,3,4,87,4887,class_4
5,20,19,23,1452,56,2447,259,1,3,2,88,4244,class_4
10,40,40,49,1070,54,518,446,1,3,2,87,3013,class_4
10,42,42,51,1896,49,3347,1294,1,3,2,90,5103,class_4
19,84,84,101,500,48,579,776,1,3,2,91,3730,class_4
22,96,96,114,713,51,1607,791,1,3,2,89,3441,class_4
23,100,100,118,654,46,1266,1143,1,4,2,90,3037,class_4
23,108,108,130,597,36,1708,1331,1,3,4,88,3560,class_4
26,116,116,139,501,47,1595,275,1,3,4,87,3040,class_4
27,120,120,143,595,37,253,287,1,3,4,90,3740,class_4
33,135,137,163,790,47,322,560,1,3,2,91,3642,class_4
33,137,139,166,530,54,2741,847,1,3,2,89,3277,class_4
34,140,142,171,899,48,1963,1014,1,3,2,88,3520,class_4
5,18,14,15,892,47,942,622,0,3,2,88,3680,class_5
5,24,23,30,985,58,1441,1108,0,3,4,87,2592,class_5
5,25,24,29,1074,66,2234,643,0,3,2,90,3360,class_5
8,32,31,39,685,40,1481,361,0,3,4,88,3550,class_5
8,33,32,41,985,44,324,442,0,3,4,87,3010,class_5
8,34,33,40,1169,57,575,502,0,3,4,90,3740,class_5
10,45,45,55,1074,56,1024,644,0,3,2,88,3757,class_5
10,50,50,62,977,52,739,344,0,3,2,87,2668,class_5
10,51,51,61,1270,61,572,392,0,3,4,90,3533,class_5
15,72,72,86,1764,65,274,483,0,3,4,87,2766,class_5
15,72,72,87,1873,59,325,397,0,3,4,88,3128,class_5
16,76,76,93,1052,62,925,319,0,3,2,87,2907,class_5
23,103,103,121,1528,67,242,655,0,3,4,88,2631,class_5
23,104,104,122,1465,57,252,420,0,3,4,87,2714,class_5
23,104,104,123,742,46,794,621,0,3,4,89,2670,class_5
33,104,135,161,1184,57,437,364,0,3,4,87,2508,class_5
33,104,135,162,1520,47,1340,1053,0,3,4,89,2543,class_5
33,134,136,160,1342,49,1104,636,0,3,4,91,3284,class_5
5,18,14,15,374,46,1207,306,1,3,4,88,3680,class_5
5,24,23,30,522,34,1476,699,1,3,4,87,2592,class_5
5,25,24,29,1358,53,2046,804,1,3,2,90,3360,class_5
8,32,31,39,466,35,396,276,1,3,4,88,3550,class_5
8,33,32,41,754,41,213,460,1,3,4,87,3010,class_5
8,34,33,40,558,56,846,625,1,3,2,90,3740,class_5
10,45,45,55,587,38,1090,295,1,3,4,88,3757,class_5
10,50,50,62,551,47,526,701,1,3,2,87,2668,class_5
10,51,51,61,736,52,3200,282,1,3,4,90,3533,class_5
15,72,72,86,1067,58,279,480,1,3,2,87,2766,class_5
15,72,72,87,723,55,412,172,1,3,4,88,3128,class_5
16,76,76,93,2700,48,923,761,1,3,2,87,2907,class_5
23,103,103,121,1242,53,609,198,1,3,4,88,2631,class_5
23,104,104,122,1244,45,531,617,1,3,2,87,2714,class_5
23,104,104,123,965,35,1325,332,1,3,4,89,2670,class_5
33,104,135,161,699,39,500,532,1,3,2,87,2508,class_5
33,104,135,162,883,46,614,493,1,3,4,89,2543,class_5
33,134,136,160,808,50,1899,781,1,3,4,91,3284,class_5
5,22,25,31,1477,50,1911,257,0,3,4,87,5619,class_6
5,23,22,26,834,62,1899,275,0,3,2,89,3518,class_6
5,23,22,27,772,74,1539,985,0,3,2,90,3720,class_6
5,23,22,28,1026,71,2626,593,0,3,4,91,3820,class_6
10,41,41,50,994,58,267,428,0,3,2,89,3485,class_6
10,44,44,54,903,52,486,617,0,3,4,91,4212,class_6
15,69,69,83,996,56,388,501,0,3,2,90,2900,class_6
15,71,71,85,1254,69,568,334,0,3,4,91,3450,class_6
15,74,74,89,1269,73,932,322,0,3,4,89,3685,class_6
15,74,74,90,1564,60,262,307,0,3,4,90,3684,class_6
16,75,75,91,968,69,401,540,0,3,4,89,3284,class_6
16,75,75,92,943,58,785,1218,0,3,4,90,3270,class_6
16,77,77,94,758,44,1100,1015,0,3,2,87,3120,class_6
22,94,94,112,1320,45,1303,329,0,3,2,88,3298,class_6
32,127,128,151,1345,64,1595,2856,0,3,2,89,2311,class_6
32,127,128,152,1314,74,562,2285,0,3,2,91,2643,class_6
33,128,129,153,1306,48,430,821,0,3,4,90,3860,class_6
5,22,25,31,1176,42,101,358,1,3,4,87,5619,class_6
5,23,22,26,2482,48,1415,526,1,3,2,89,3518,class_6
5,23,22,27,600,45,1106,975,1,3,2,90,3720,class_6
5,23,22,28,1826,51,1909,515,1,3,4,91,3820,class_6
10,41,41,50,950,51,2110,289,1,3,2,89,3485,class_6
10,44,44,54,612,42,606,718,1,3,4,91,4212,class_6
15,69,69,83,744,63,319,458,1,3,2,90,2900,class_6
15,71,71,85,884,71,469,420,1,3,4,91,3450,class_6
15,74,74,89,1520,59,804,262,1,3,4,89,3685,class_6
15,74,74,90,1952,64,430,141,1,3,4,90,3684,class_6
16,75,75,91,1796,43,1486,337,1,3,4,89,3284,class_6
16,75,75,92,841,52,1277,692,1,3,4,90,3270,class_6
16,77,77,94,1229,40,758,783,1,3,2,87,3120,class_6
22,94,94,112,488,50,1001,302,1,3,2,88,3298,class_6
32,127,128,151,1763,70,1860,2259,1,3,2,89,2311,class_6
32,127,128,152,2017,55,1283,1252,1,3,2,91,2643,class_6
33,128,129,153,1133,47,1429,320,1,3,4,90,3860,class_6
7,30,30,38,768,43,574,598,0,3,2,88,1820,class_7
10,46,46,56,1014,52,976,747,0,3,2,88,1760,class_7
11,55,55,68,951,35,789,458,0,3,2,89,1590,class_7
11,55,55,68,1075,56,805,465,0,3,4,89,1650,class_7
12,62,62,75,750,39,361,791,0,3,2,89,1882,class_7
31,125,126,149,611,42,529,595,0,3,2,87,1660,class_7
36,142,144,173,1855,45,1737,701,0,3,2,87,1850,class_7
7,30,30,38,642,37,1188,388,1,3,2,88,1820,class_7
10,46,46,56,822,43,876,251,1,3,2,88,1760,class_7
11,55,55,68,1177,33,671,571,1,3,2,89,1590,class_7
11,55,55,68,840,46,244,1002,1,3,4,89,1650,class_7
12,62,62,75,520,37,903,375,1,3,2,89,1882,class_7
31,125,126,149,547,38,1256,426,1,3,2,87,1660,class_7
36,142,144,173,379,41,585,172,1,3,2,87,1850,class_7
