@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11}

@data
10,5,0,120,1,2,220,0,12,12,35,25,2,1,18.042851,class_3
12,1,0,120,1,3,210,0,13,9,45,25,2,1,19.823573,class_3
22,1,0,100,2,1,140,2,11,10,120,25,3,1,36.176196,class_3
23,6,0,100,2,0,190,1,18,5,80,25,3,1,44.330856,class_3
25,2,0,110,1,0,200,1,14,11,25,25,1,1,31.435973,class_3
29,4,0,110,1,1,135,0,13,12,25,25,2,1,28.025765,class_3
31,1,0,110,1,1,280,0,15,9,45,25,2,1,23.804043,class_3
37,1,0,110,3,1,250,1.5,11.5,10,90,25,1,1,31.072217,class_3
39,2,0,140,3,1,170,2,20,9,95,100,3,1.3,36.471512,class_3
58,2,0,120,3,1,210,5,14,12,240,25,2,1.33,39.259197,class_3
66,2,0,110,2,1,70,1,9,15,40,25,2,1,31.230054,class_3
72,1,0,110,2,1,250,0,21,3,60,25,3,1,39.106174,class_3
76,1,0,110,2,1,200,1,16,8,60,25,1,1,36.187559,class_3
8,6,0,90,2,1,200,4,15,6,125,25,1,1,49.120253,class_4
9,4,0,90,3,0,210,5,13,5,190,25,3,1,53.313813,class_4
27,4,0,120,3,2,160,5,12,10,200,25,3,1.25,40.917047,class_4
28,2,0,120,3,0,240,5,14,12,190,25,3,1.33,41.015492,class_4
41,5,0,100,4,2,150,2,12,6,95,25,2,1,45.328074,class_4
46,2,0,160,3,2,150,3,17,13,160,25,3,1.5,30.313351,class_4
48,2,0,120,2,1,190,0,15,9,40,25,2,1,29.924285,class_4
49,2,0,140,3,2,220,3,21,7,130,25,3,1.33,40.69232,class_4
52,4,0,120,3,1,200,6,11,14,260,25,3,1.33,37.840594,class_4
57,5,1,100,5,2,0,2.7,-1,-1,110,0,1,1,50.828392,class_4
64,3,0,90,3,0,0,4,19,0,140,0,1,1,74.472949,class_4
65,3,0,90,3,0,0,3,20,0,120,0,1,1,72.801787,class_4
74,6,0,100,3,1,230,3,17,3,115,25,1,1,49.787445,class_4
11,1,0,110,6,2,290,2,17,1,105,25,1,1,50.764999,class_5
26,2,0,100,3,0,0,3,14,7,100,25,2,1,58.345141,class_6
30,4,0,100,2,0,45,0,11,15,40,25,1,1,35.252444,class_7
33,4,0,100,3,1,140,3,15,5,85,25,3,1,52.076897,class_7
32,4,0,110,3,0,170,3,17,3,90,25,3,1,53.371007,class_8
35,4,0,110,1,0,180,0,14,11,35,25,1,1,28.742414,class_9
40,1,0,110,2,1,260,0,21,3,40,25,2,1,39.241114,class_10
61,6,0,110,1,0,240,0,23,2,30,25,1,1,41.998933,class_11
