@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7}

@data
201,12,11,87,7,23,45,552,1408,36,class_1
202,35,38,309,10,29,51,2173,3635,36,class_1
203,10,9,75,4,20,35,600,1064,36,class_1
204,25,25,189,7,25,49,1437,2898,36,class_1
205,5,5,36,4,24,39,255,692,37,class_1
206,11,11,82,4,28,39,612,913,37,class_1
207,13,13,84,4,18,41,564,1334,37,class_1
208,8,8,60,6,19,39,390,723,37,class_1
209,17,19,132,7,31,49,989,1197,37,class_1
210,7,7,46,4,22,35,296,605,38,class_1
211,118,118,965,15,35,65,6856,10702,38,class_1
212,21,20,155,8,21,49,1150,1988,38,class_1
213,14,16,132,6,24,41,769,1460,38,class_1
214,27,28,219,6,28,49,1544,2441,38,class_1
215,14,15,112,7,22,41,761,1238,38,class_1
52,7,6,38,6,11,35,280,767,10,class_2
53,9,8,68,9,13,41,387,790,10,class_2
54,28,27,190,10,20,49,1327,2546,10,class_2
55,12,11,78,7,14,41,536,1254,10,class_2
56,107,108,807,19,38,81,6107,9343,10,class_2
57,31,33,220,10,27,57,1597,2653,11,class_2
58,30,30,226,10,18,49,1713,2834,11,class_2
59,12,12,69,9,14,45,493,1134,11,class_2
60,28,29,179,9,18,49,1349,2903,11,class_2
61,18,18,129,8,17,49,970,1652,11,class_2
62,18,19,119,9,19,41,963,1470,11,class_2
63,11,12,73,6,18,41,450,1220,12,class_2
64,9,9,59,6,24,41,458,790,12,class_2
65,14,15,92,11,17,49,659,1626,12,class_2
66,20,19,127,9,20,49,956,1983,12,class_2
67,16,15,104,10,21,49,762,1768,12,class_2
68,11,12,75,8,22,49,506,1169,12,class_2
69,66,62,505,15,23,61,3789,6850,12,class_2
70,27,26,183,9,18,49,1366,3053,12,class_2
71,8,8,49,6,21,41,361,807,13,class_2
72,8,8,41,7,15,41,349,765,13,class_2
73,13,11,76,12,19,49,520,1457,13,class_2
74,17,18,113,8,20,49,784,1733,13,class_2
75,13,13,90,8,24,49,538,2042,13,class_2
76,11,12,79,5,21,41,522,1060,14,class_2
77,54,52,408,16,29,61,3095,5302,14,class_2
78,21,22,140,7,24,49,1110,2010,14,class_2
79,28,28,200,10,31,59,1499,5717,14,class_2
80,40,42,284,12,38,75,2087,3773,14,class_2
81,16,16,103,10,19,49,736,1696,14,class_2
82,11,11,58,10,12,49,442,1743,14,class_2
83,56,54,654,13,30,71,5434,6050,15,class_2
84,15,18,118,6,28,49,813,1309,15,class_3
85,60,60,431,15,39,75,3285,4954,15,class_3
86,30,30,192,8,27,49,1575,2553,15,class_3
87,32,32,233,9,27,51,1593,4006,15,class_3
88,16,16,102,11,24,49,753,1515,15,class_3
89,15,15,97,6,24,41,735,1321,16,class_3
90,9,9,56,13,14,45,380,894,16,class_3
91,12,13,69,9,15,41,487,1343,16,class_3
92,12,11,73,5,28,41,492,1222,16,class_3
93,14,14,86,6,17,41,574,1306,16,class_3
94,7,7,53,9,16,35,339,779,17,class_3
95,16,16,105,13,22,49,852,1508,17,class_3
96,13,11,81,9,21,41,598,1026,17,class_3
97,12,11,77,16,10,49,481,2027,17,class_3
98,70,67,472,17,35,71,3613,6317,17,class_3
99,20,20,129,11,19,49,868,2216,17,class_3
100,31,28,194,17,16,49,1343,3073,17,class_3
101,49,48,299,15,25,61,2212,4055,17,class_3
102,13,12,81,7,18,41,528,1277,18,class_3
103,17,15,122,14,17,41,894,1670,18,class_3
104,14,14,113,10,24,41,729,1276,18,class_3
105,25,21,186,24,14,49,1142,3252,18,class_3
106,14,14,91,8,25,41,664,1380,18,class_3
107,21,19,145,12,25,49,1100,4117,19,class_3
108,17,15,133,16,17,45,882,1610,19,class_3
109,16,13,114,10,22,45,753,1413,19,class_3
110,13,11,78,8,15,41,521,1232,19,class_3
111,15,14,78,10,17,49,543,1622,19,class_3
112,13,12,72,8,12,41,532,1276,20,class_3
113,11,10,70,11,13,41,502,1201,20,class_3
114,229,247,3471,20,32,61,24694,17949,20,class_3
115,81,75,641,19,23,65,4807,6382,20,class_3
116,35,38,275,13,30,51,2112,3096,20,class_3
117,105,102,815,20,31,65,6323,9371,21,class_3
118,22,21,149,15,17,41,1031,2872,21,class_3
119,26,26,185,10,23,49,1495,2540,21,class_3
120,24,24,172,13,23,49,1299,2355,21,class_3
121,34,35,240,12,30,51,2089,3475,21,class_3
122,11,11,67,6,20,49,469,1726,22,class_4
123,77,74,526,17,32,71,4245,7533,22,class_4
124,21,19,122,10,15,49,917,2784,22,class_4
125,36,33,229,10,19,51,1560,4014,22,class_4
126,46,43,298,10,19,51,2439,10691,22,class_4
127,48,37,317,17,15,51,2115,6087,22,class_4
128,25,20,179,11,16,41,1089,2412,23,class_4
129,29,27,233,12,16,41,1377,2489,23,class_4
130,10,9,66,14,12,41,485,880,23,class_4
131,17,14,129,10,16,41,940,3690,23,class_4
132,12,10,87,10,10,41,543,1828,23,class_4
133,13,10,82,9,15,41,576,2092,24,class_4
134,9,9,63,7,19,41,385,1438,24,class_4
135,11,10,65,6,17,41,418,1135,24,class_4
136,12,11,72,8,12,41,524,1736,24,class_4
137,424,446,6720,21,35,81,47074,38945,24,class_4
138,49,47,381,14,25,61,2655,4660,25,class_4
139,31,28,240,12,19,49,1677,3307,25,class_4
140,15,15,118,7,23,41,781,3397,25,class_4
141,46,47,396,12,30,61,2610,4623,25,class_4
142,10,9,66,5,16,39,463,1190,25,class_4
143,5,5,35,6,12,41,253,538,26,class_4
144,7,7,43,6,13,35,344,725,26,class_4
145,23,22,166,9,26,49,1122,2025,26,class_4
146,31,28,216,12,14,41,1470,3065,26,class_4
147,9,8,53,10,11,41,393,895,26,class_4
148,12,12,82,9,19,45,539,1162,27,class_4
149,12,12,90,6,19,45,534,1243,27,class_4
150,11,10,62,8,14,41,414,1119,27,class_4
151,12,11,77,6,21,41,570,1178,27,class_4
152,32,30,207,10,23,51,1537,2955,27,class_4
153,11,10,68,10,14,41,474,1224,28,class_4
154,9,9,52,9,13,41,382,784,28,class_4
155,36,34,277,10,23,51,1918,3376,28,class_4
156,49,50,396,11,34,61,2881,4798,28,class_4
157,31,28,220,10,18,49,1579,2742,28,class_4
158,100,106,751,20,38,79,5742,7710,28,class_4
159,22,21,146,12,15,49,1053,2066,28,class_4
160,13,13,95,7,20,41,731,1101,28,class_4
161,6,5,37,8,9,39,256,658,29,class_4
162,6,6,35,11,10,41,280,521,29,class_4
163,7,5,39,9,13,35,329,637,29,class_4
164,9,6,46,8,12,35,387,813,29,class_4
165,8,8,59,6,18,35,401,762,29,class_4
166,6,7,44,8,19,41,311,731,30,class_4
167,17,17,105,12,12,49,782,1887,30,class_4
168,13,12,87,8,17,41,567,1324,30,class_4
169,11,11,66,6,18,41,597,1007,30,class_4
170,10,10,62,8,16,41,473,971,30,class_4
171,24,25,175,10,21,49,1386,2269,31,class_4
172,35,35,252,10,20,51,1890,3335,31,class_4
173,18,17,128,11,19,49,1058,1592,31,class_4
174,46,45,330,12,27,59,2656,4041,31,class_4
175,9,8,57,8,14,33,389,818,31,class_4
176,13,13,83,5,19,41,623,1192,31,class_4
177,32,33,208,11,19,51,1559,2681,31,class_4
178,11,9,74,8,17,39,533,977,32,class_5
179,9,10,63,6,22,41,411,869,32,class_5
180,15,16,109,7,25,49,803,2266,32,class_5
181,5,5,37,5,21,35,235,513,32,class_5
182,13,11,105,6,18,31,702,1366,32,class_5
183,5,6,38,3,27,39,245,433,33,class_5
184,12,11,82,6,25,41,646,935,33,class_5
185,10,11,76,5,27,45,501,1392,33,class_5
186,10,10,63,8,13,41,419,1011,33,class_5
187,13,14,86,7,15,41,552,1444,33,class_5
188,74,73,603,17,28,61,4270,6635,34,class_5
189,26,28,209,9,26,49,1398,2291,34,class_5
190,14,16,100,8,25,41,753,1509,34,class_5
191,17,19,121,4,32,49,885,1868,34,class_5
192,27,27,191,9,23,49,1441,2557,34,class_5
193,18,20,130,9,22,49,839,1719,34,class_5
216,8,9,53,6,24,49,311,844,39,class_5
217,12,12,90,6,24,49,543,2098,39,class_5
218,10,9,66,6,19,41,452,1113,39,class_5
219,14,13,100,8,18,49,700,1841,39,class_5
220,11,11,77,9,18,49,461,1416,39,class_5
221,7,7,52,7,15,31,356,826,40,class_5
222,8,9,60,5,23,49,422,2100,40,class_5
233,13,13,100,5,32,49,665,1500,40,class_5
224,20,18,153,4,19,49,1039,2223,40,class_5
225,51,47,418,14,26,61,2771,5137,40,class_5
226,46,46,392,9,36,61,2711,4852,41,class_5
227,11,10,76,7,18,41,503,1220,41,class_5
228,17,17,130,6,20,41,922,1630,41,class_5
229,25,27,197,5,28,49,1239,2461,41,class_5
230,30,33,262,6,32,51,1741,2395,41,class_5
231,7,6,49,3,23,41,321,694,42,class_5
232,12,15,105,4,27,41,672,1008,42,class_5
233,14,13,87,3,17,41,661,1447,42,class_5
234,12,12,70,3,18,41,579,1150,42,class_5
235,21,22,147,5,22,49,1242,2459,42,class_5
236,88,85,720,14,44,75,4758,8760,43,class_5
237,41,43,342,8,32,51,2182,4146,43,class_5
238,31,32,233,5,32,51,1579,3298,43,class_5
239,28,28,203,6,25,49,1524,2903,43,class_5
240,38,37,249,5,24,51,2073,3882,43,class_5
241,13,14,92,3,23,41,659,1989,44,class_6
242,18,18,134,3,29,49,945,2616,44,class_6
243,28,27,231,8,22,49,1560,2414,44,class_6
244,94,93,782,12,46,81,5779,9828,44,class_6
245,26,28,184,5,35,61,1455,2067,44,class_6
246,26,26,182,6,37,61,1494,6928,44,class_6
247,60,60,432,6,33,61,3070,6502,44,class_6
248,7,8,49,3,27,45,427,3832,45,class_6
249,9,10,63,5,30,49,502,970,45,class_6
250,14,13,94,5,23,49,813,2486,45,class_6
251,17,18,124,4,29,49,1061,2881,45,class_6
252,10,9,69,7,23,49,593,2399,45,class_6
253,9,9,53,7,21,45,484,1491,45,class_6
254,13,13,91,5,28,49,736,3647,45,class_6
255,56,53,451,12,38,75,3430,4677,45,class_6
256,8,8,53,3,14,31,428,727,46,class_7
257,3,4,21,5,11,31,173,347,46,class_7
258,7,7,42,5,14,35,323,903,46,class_7
259,8,7,50,3,15,41,408,706,46,class_7
260,5,6,40,3,15,31,287,1063,46,class_7
261,4,4,32,2,19,31,236,704,47,class_7
262,8,8,58,6,20,41,431,2246,47,class_7
263,4,4,26,2,14,31,202,623,47,class_7
264,4,4,28,2,19,31,199,422,47,class_7
265,8,8,61,4,17,35,477,1321,47,class_7
266,9,9,60,2,20,35,518,1313,48,class_7
267,4,5,35,2,19,31,252,687,48,class_7
268,84,74,764,10,30,65,5292,10827,48,class_7
269,14,15,105,4,24,45,942,1911,48,class_7
270,74,72,592,7,36,65,4777,7624,48,class_7
271,8,8,55,3,25,41,462,690,49,class_7
272,4,4,28,1,15,31,214,888,49,class_7
273,7,8,46,4,21,35,414,9052,49,class_7
274,5,6,34,1,20,31,280,359,49,class_7
275,19,18,123,4,27,41,1175,1544,49,class_7
276,6,7,41,3,18,39,302,430,50,class_7
277,9,10,54,4,19,41,528,551,50,class_7
278,24,26,207,5,20,41,1582,3703,50,class_7
279,10,9,64,2,24,39,480,689,50,class_7
280,67,64,562,9,34,61,3948,6583,50,class_7
281,39,35,295,5,32,51,2227,4033,50,class_7
282,29,27,226,7,28,49,1682,2898,50,class_7
283,10,9,63,5,19,41,604,594,50,class_7
284,27,31,233,5,27,45,1788,2366,50,class_7
