@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute class {class_0,class_1}

@data
3,1,0,1,71,0,0,2,2,73,0,class_0
5,1,1,1,50,0,1,0,1,76,1,class_0
5,0,0,1,56,0,1,0,2,79,1,class_0
4,0,0,0,55,0,1,1,3,81,0,class_0
4,1,1,0,77,0,1,1,3,83,1,class_0
4,1,0,2,53,0,0,0,3,85,1,class_0
0,1,1,2,55,0,0,1,3,86,1,class_0
3,1,1,0,71,1,0,0,1,87,0,class_0
4,1,0,1,61,0,2,0,0,95,1,class_0
5,1,0,2,61,0,0,1,1,96,1,class_0
1,0,0,1,71,1,2,0,1,98,0,class_0
0,1,0,1,72,0,1,0,0,100,0,class_0
4,1,0,1,55,0,0,0,2,101,1,class_0
2,0,1,2,61,0,0,1,3,102,1,class_0
2,0,0,2,66,0,0,0,3,104,1,class_0
1,1,0,0,66,1,0,2,1,107,1,class_0
4,1,0,1,68,0,2,1,1,111,0,class_0
3,0,0,0,68,0,1,0,1,113,1,class_0
2,1,0,1,74,0,2,0,2,115,1,class_0
3,1,1,1,60,0,0,3,3,117,1,class_0
4,1,0,2,58,0,0,0,3,118,1,class_0
4,1,0,1,66,0,2,3,3,119,1,class_0
0,1,0,0,54,0,2,2,0,122,1,class_0
1,1,1,2,44,0,0,2,1,126,1,class_0
2,1,1,1,65,0,1,2,1,129,1,class_0
0,1,1,1,46,0,2,2,0,139,1,class_0
5,1,0,1,69,0,2,1,3,140,1,class_0
3,0,0,1,48,0,0,0,2,141,0,class_0
3,1,1,2,75,0,1,0,1,142,1,class_0
1,1,0,1,71,0,1,2,1,143,0,class_0
1,0,0,1,58,0,2,2,1,144,1,class_0
1,0,0,0,44,0,0,2,0,146,1,class_0
5,0,1,1,59,0,2,0,0,147,1,class_0
3,0,1,1,79,0,1,1,3,155,0,class_0
3,1,0,0,57,0,0,2,1,156,1,class_0
0,1,0,2,63,0,1,1,3,160,1,class_0
0,1,0,0,46,0,2,2,2,169,1,class_0
0,1,1,2,49,0,0,0,1,170,1,class_0
5,0,1,1,69,1,1,2,0,172,1,class_0
0,1,1,0,65,0,1,1,1,1,0,class_1
0,1,0,1,64,1,2,0,1,2,0,class_1
0,1,0,0,73,0,2,2,2,3,0,class_1
2,1,1,2,84,0,1,3,1,7,0,class_1
3,1,0,1,54,1,2,0,1,8,0,class_1
4,1,0,1,72,1,1,1,3,9,0,class_1
0,1,0,1,61,0,2,2,1,10,0,class_1
4,1,1,0,71,0,0,0,0,11,0,class_1
2,1,1,1,83,2,1,0,0,12,0,class_1
0,1,0,2,43,0,0,2,1,13,0,class_1
1,1,1,1,52,0,1,2,1,14,0,class_1
4,0,1,2,65,2,2,0,2,17,0,class_1
0,1,1,1,63,0,0,2,1,18,0,class_1
2,1,0,1,59,2,0,2,1,19,0,class_1
3,1,0,0,65,1,2,0,1,20,0,class_1
2,1,1,2,41,0,0,2,1,21,0,class_1
4,1,1,1,72,0,1,3,1,23,0,class_1
1,1,1,1,51,0,2,2,1,24,0,class_1
3,1,0,1,49,0,1,0,3,25,0,class_1
4,1,1,1,82,2,2,0,2,26,0,class_1
2,0,1,1,57,1,0,2,1,28,0,class_1
4,1,1,0,67,1,0,0,1,29,0,class_1
3,1,1,1,65,1,2,0,2,30,0,class_1
0,1,0,1,49,0,1,3,1,32,0,class_1
1,1,0,1,60,0,1,0,1,33,0,class_1
4,1,0,1,75,1,0,0,1,34,0,class_1
1,1,0,1,58,0,2,0,3,36,0,class_1
0,1,0,0,60,0,2,0,2,38,0,class_1
2,1,1,1,49,2,2,2,1,41,0,class_1
0,1,0,0,77,0,2,2,0,43,0,class_1
0,1,0,0,75,0,0,2,0,44,0,class_1
4,1,0,0,54,0,2,0,1,45,0,class_1
4,1,0,0,68,0,2,2,2,46,0,class_1
0,1,1,2,66,0,0,2,1,48,0,class_1
4,1,1,0,47,0,2,0,3,49,0,class_1
0,1,0,1,66,0,1,2,3,51,0,class_1
4,1,0,2,51,0,2,0,1,52,0,class_1
0,0,0,0,52,0,1,2,1,55,0,class_1
2,1,1,1,69,0,2,0,1,57,0,class_1
1,1,1,1,56,0,0,3,1,58,0,class_1
4,0,1,2,47,0,1,0,3,59,0,class_1
4,1,1,0,53,0,1,1,1,61,0,class_1
0,1,0,1,90,0,1,0,1,64,0,class_1
1,1,1,1,48,0,2,2,3,66,0,class_1
1,0,0,1,58,1,1,2,1,67,0,class_1
3,1,1,2,58,0,0,0,1,69,0,class_1
5,1,1,1,55,0,2,0,0,74,0,class_1
4,0,1,0,73,0,2,0,2,75,0,class_1
3,1,1,1,63,1,2,0,2,77,0,class_1
0,0,0,0,58,0,0,3,1,78,0,class_1
3,0,1,1,62,2,1,2,1,80,0,class_1
0,1,0,0,50,1,0,2,1,82,0,class_1
5,0,0,1,67,0,0,0,3,84,0,class_1
0,1,0,0,65,0,2,2,1,88,0,class_1
5,0,1,1,50,0,0,2,1,89,0,class_1
1,1,1,1,61,1,1,2,1,90,0,class_1
1,1,1,0,72,1,2,2,2,91,0,class_1
2,1,0,0,51,0,0,0,2,92,0,class_1
2,1,0,1,59,0,1,0,1,93,0,class_1
0,1,1,1,56,0,2,2,2,94,0,class_1
4,1,1,1,68,1,2,0,1,97,0,class_1
0,0,1,1,57,0,0,1,3,99,0,class_1
1,1,0,0,47,0,1,2,0,103,0,class_1
5,1,1,1,52,1,1,2,1,105,0,class_1
5,1,1,0,61,1,1,2,1,106,0,class_1
0,1,0,2,64,1,1,2,1,108,0,class_1
1,1,0,1,73,0,2,2,2,109,0,class_1
0,1,1,1,67,0,2,0,1,110,1,class_1
3,1,0,2,58,1,0,0,1,112,0,class_1
5,1,0,2,85,1,1,1,3,114,0,class_1
1,1,0,1,53,0,2,2,2,116,0,class_1
5,1,0,1,58,1,0,1,1,120,0,class_1
0,1,0,1,39,0,1,0,1,121,0,class_1
3,1,1,2,49,0,0,1,1,123,0,class_1
3,1,1,1,52,0,2,0,0,124,0,class_1
5,1,0,1,35,1,1,0,2,125,0,class_1
1,1,0,2,81,0,1,0,1,127,0,class_1
5,1,1,1,74,1,2,0,2,128,0,class_1
0,0,0,1,66,1,1,2,1,130,0,class_1
4,1,0,1,74,1,1,0,3,131,0,class_1
5,0,1,2,90,3,0,0,2,132,0,class_1
0,1,1,1,60,0,2,2,0,133,0,class_1
1,1,1,1,63,0,2,2,0,134,0,class_1
0,0,1,1,61,0,1,2,0,135,0,class_1
0,1,1,0,67,0,2,2,1,136,0,class_1
2,1,0,1,88,0,0,0,2,137,0,class_1
1,0,1,2,69,1,1,2,2,138,0,class_1
0,1,0,0,77,0,2,2,2,141,0,class_1
3,1,1,2,69,0,0,3,1,141,0,class_1
4,1,1,1,66,1,0,0,3,145,0,class_1
0,1,0,1,78,0,1,2,1,148,0,class_1
0,0,1,0,58,1,2,2,1,149,0,class_1
0,1,1,2,65,0,1,0,1,150,0,class_1
3,0,1,1,53,1,1,0,3,151,0,class_1
4,1,1,1,49,0,1,1,3,152,0,class_1
5,1,1,1,65,0,0,0,3,153,0,class_1
1,1,0,0,59,0,2,2,0,154,0,class_1
3,1,0,0,54,0,0,2,2,157,0,class_1
4,1,1,1,47,0,2,0,2,158,0,class_1
5,1,0,1,68,0,2,2,0,159,0,class_1
0,1,0,2,72,0,0,0,1,161,0,class_1
3,0,1,0,51,1,0,0,0,162,0,class_1
1,0,1,0,43,0,0,0,1,163,1,class_1
3,0,1,1,43,1,1,0,1,164,0,class_1
5,1,1,1,65,4,1,1,1,165,1,class_1
5,1,1,1,54,0,2,2,1,166,0,class_1
3,1,1,2,50,0,0,2,1,167,0,class_1
0,1,1,1,39,0,2,2,1,168,0,class_1
5,0,1,1,52,1,2,0,3,171,0,class_1
2,0,0,1,55,0,0,0,2,173,0,class_1
2,1,1,1,48,1,0,0,2,173,1,class_1
5,1,0,1,20,0,1,1,1,174,1,class_1
2,0,0,1,47,0,1,0,1,175,0,class_1
1,0,1,1,67,1,1,0,2,176,0,class_1
2,0,0,1,66,1,0,0,3,177,0,class_1
0,1,0,0,60,0,0,0,2,178,1,class_1
0,1,0,0,54,0,0,2,1,179,0,class_1
1,1,1,1,54,0,2,0,1,180,0,class_1
2,1,1,1,59,1,2,2,2,181,0,class_1
1,1,1,2,47,0,2,0,1,182,1,class_1
4,1,1,1,57,1,2,0,1,183,0,class_1
