@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6}

@data
21,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,class_2
23,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,class_2
32,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,class_2
36,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,class_2
40,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,class_2
42,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,class_2
55,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,class_2
56,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,class_2
57,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,class_2
58,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,class_2
70,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,class_2
77,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,class_2
78,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,class_2
82,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,class_2
86,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,class_2
94,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,class_2
99,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,class_2
13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,class_3
14,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,class_3
15,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,class_3
45,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,class_3
52,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,class_3
71,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,class_3
76,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,class_3
80,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,class_3
84,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,class_3
98,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,class_3
24,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,class_4
29,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,class_4
38,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,class_4
39,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,class_4
41,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,class_4
50,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,class_4
87,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,class_4
96,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,class_4
25,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,class_5
25,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,class_5
51,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,class_5
88,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,class_5
61,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,class_6
75,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,class_6
79,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,class_6
89,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,class_6
90,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,class_6
