@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute class {class_0,class_1}

@data
4,1,1,1,62,0,1,3,3,31,1495,class_1
4,1,1,1,50,0,2,2,2,37,1766,class_1
4,0,0,0,43,0,0,1,3,39,1489,class_1
2,1,0,1,48,1,0,0,1,40,1446,class_1
4,1,0,0,44,0,2,0,0,42,1609,class_1
3,1,1,2,58,0,1,0,3,47,1644,class_1
1,0,1,2,70,1,1,2,1,58,1377,class_1
4,1,1,0,67,0,1,0,0,62,1317,class_1
4,0,1,0,68,0,1,0,0,63,1317,class_1
4,0,0,2,44,0,1,0,3,65,1307,class_1
2,1,1,1,69,0,2,0,3,68,1455,class_1
2,1,1,1,75,0,1,0,2,68,1234,class_1
3,1,0,1,72,0,2,0,2,71,1460,class_1
5,1,1,1,50,0,1,0,1,76,1312,class_1
5,0,0,1,56,0,1,0,2,79,1219,class_1
4,1,1,0,77,0,1,1,3,83,1060,class_1
4,1,0,2,53,0,0,0,3,85,1058,class_1
0,1,1,2,55,0,0,1,3,86,1312,class_1
4,1,0,1,61,0,2,0,0,95,1086,class_1
5,1,0,2,61,0,0,1,1,96,1250,class_1
4,1,0,1,55,0,0,0,2,101,998,class_1
2,0,1,2,61,0,0,1,3,102,1089,class_1
2,0,0,2,66,0,0,0,3,104,932,class_1
1,1,0,0,66,1,0,2,1,107,911,class_1
0,1,1,1,67,0,2,0,1,110,532,class_1
3,0,0,0,68,0,1,0,1,113,1095,class_1
2,1,0,1,74,0,2,0,2,115,943,class_1
3,1,1,1,60,0,0,3,3,117,928,class_1
4,1,0,2,58,0,0,0,3,118,918,class_1
4,1,0,1,66,0,2,3,3,119,825,class_1
0,1,0,0,54,0,2,2,0,122,933,class_1
1,1,1,2,44,0,0,2,1,126,731,class_1
2,1,1,1,65,0,1,2,1,129,593,class_1
0,1,1,1,46,0,2,2,0,139,854,class_1
5,1,0,1,69,0,2,1,3,140,822,class_1
3,1,1,2,75,0,1,0,1,142,914,class_1
1,0,0,1,58,0,2,2,1,144,794,class_1
1,0,0,0,44,0,0,2,0,146,733,class_1
5,0,1,1,59,0,2,0,0,147,600,class_1
3,1,0,0,57,0,0,2,1,156,760,class_1
0,1,0,2,63,0,1,1,3,160,751,class_1
1,0,1,0,43,0,0,0,1,163,546,class_1
5,1,1,1,65,4,1,1,1,165,182,class_1
0,1,0,0,46,0,2,2,2,169,651,class_1
0,1,1,2,49,0,0,0,1,170,672,class_1
5,0,1,1,69,1,1,2,0,172,723,class_1
2,1,1,1,48,1,0,0,2,173,276,class_1
5,1,0,1,20,0,1,1,1,174,90,class_1
0,1,0,0,60,0,0,0,2,178,445,class_1
1,1,1,2,47,0,2,0,1,182,413,class_1
