@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute class {class_0,class_1,class_2,class_3}

@data
133,2796,2,1,22881,1,0,0,0,2,1.5,331,3.95,13,577,128.65,99,165,10.1,class_0
139,2106,0,1,17080,0,0,1,0,2,1.1,328,3.31,159,1260,94.55,134,142,11.6,class_0
143,786,2,1,16839,0,0,1,0,2,2.9,332,3.6,86,1492,134.85,103,277,11,class_0
149,762,2,0,22574,1,0,1,1,1,3,257,3.79,290,1664,102.3,112,140,9.9,class_0
155,2666,0,1,15909,0,0,1,1,1,0.6,220,3.35,57,1620,153.45,80,311,11.2,class_0
162,186,2,1,21483,0,0,1,1,2,3.2,260,3.19,91,815,127.1,101,160,12,class_0
164,264,2,1,15857,0,0,1,1,1,8.5,253,3.34,161,1428,181.35,149,88,13.3,class_0
165,1077,2,0,19470,1,0,1,0,2,4,196,3.45,80,2496,133.3,142,212,11.3,class_0
167,1682,2,0,22265,1,0,1,0,2,0.9,376,3.86,200,1015,83.7,154,238,10.3,class_0
176,1492,2,0,15198,0,0,1,1,2,3.2,215,3.56,77,1790,139.5,104,149,10.1,class_0
178,2580,0,0,25569,0,0,0,0,2,0.6,291,4.08,51,665,74.4,91,325,10.2,class_0
179,2573,0,1,16050,0,0,1,0,2,1.8,396,3.83,39,2148,102.3,133,278,9.9,class_0
181,2556,0,0,16279,0,0,1,1,2,1.4,248,3.58,63,554,75.95,106,79,10.3,class_0
188,2332,0,0,22873,0,0,1,0,2,0.7,187,3.48,41,654,120.9,98,164,11,class_0
191,216,2,1,19246,0,1,1,1,2,24.5,1092,3.35,233,3740,147.25,432,399,15.2,class_0
192,2443,0,0,19256,0,0,1,0,2,0.9,308,3.69,67,696,51.15,101,344,9.8,class_0
193,797,2,1,20736,0,0,0,0,2,10.8,932,3.19,267,2184,161.2,157,382,10.4,class_0
195,2330,0,0,10795,0,0,1,0,2,3.7,347,3.9,76,2544,221.65,90,129,11.5,class_0
196,2363,0,0,20834,0,0,1,1,2,1.4,226,3.36,13,810,72.85,62,117,11.6,class_0
201,2294,0,1,15009,0,0,1,0,2,0.6,235,3.2,26,1758,106.95,67,228,10.8,class_0
207,2171,0,0,26580,0,0,0,0,1,0.6,347,3.33,14,733,85.25,128,259,10.1,class_0
208,904,2,0,22388,0,0,1,0,2,3.9,396,3.2,58,1440,153.45,131,156,10,class_0
217,790,2,1,13178,0,0,1,0,2,11.4,608,3.31,65,1790,151.9,210,298,10.8,class_0
221,2050,0,1,20684,0,0,1,0,2,0.9,360,3.65,72,3186,94.55,154,269,9.7,class_0
223,334,2,0,22369,0,1,1,0,0,14.1,448,2.43,123,1833,134,155,210,11,class_0
229,348,2,0,22797,0,1,1,0,1,4.5,191,3.05,200,1020,175.15,118,139,11.4,class_0
230,1979,0,1,12641,0,0,1,1,2,3.3,302,3.41,51,310,83.7,44,95,11.5,class_0
231,1165,2,1,21307,0,0,1,1,2,3.4,518,1.96,115,2250,203.05,90,190,10.7,class_0
233,1932,0,0,15591,0,0,1,1,2,0.9,514,3.06,412,2622,105.4,87,284,9.8,class_0
239,694,2,0,17090,0,0,1,1,2,0.8,300,2.94,231,1794,130.2,99,319,11.2,class_0
241,837,1,1,15112,0,0,1,1,2,4.4,316,3.62,308,1119,114.7,322,282,9.8,class_0
243,930,2,1,24650,0,0,1,0,2,8,468,2.81,139,2009,198.4,139,233,10,class_0
246,1435,1,0,12035,0,0,1,0,2,2.1,387,3.77,63,1613,150.35,33,185,10.1,class_0
249,1783,0,0,17525,0,0,0,1,2,1.3,242,3.2,35,1556,175.15,71,195,10.6,class_0
250,1769,0,1,14899,0,0,1,0,2,0.6,299,3.36,23,2769,220.1,85,303,10.9,class_0
252,1770,0,0,25006,0,0,1,1,2,1.1,246,3.35,116,924,113.15,90,317,10,class_0
253,1765,0,0,28650,1,1,1,1,2,7.1,243,3.03,380,983,158.1,154,97,11.2,class_0
260,1656,0,1,27220,1,0,1,0,2,5.6,232,3.59,188,1120,98,128,248,10.9,class_0
263,1301,1,1,12738,0,0,1,1,1,1.1,432,3.57,45,1406,190,77,248,11.4,class_0
265,1084,1,1,16941,0,0,1,0,2,3.5,348,3.2,121,938,120,146,296,10,class_0
267,179,2,0,25899,0,1,1,1,0,6.6,222,2.33,138,620,106,91,195,12.1,class_0
268,1191,2,0,20233,0,1,1,0,1,6.4,344,2.75,16,834,82,179,149,11,class_0
274,1447,1,0,17525,0,0,0,0,2,1.6,325,3.07,136,1995,128,85,372,9.6,class_0
275,1349,0,0,13995,0,0,0,0,2,2.2,572,3.77,77,2520,92,114,309,9.5,class_0
278,1420,0,1,11872,0,0,0,0,2,5.6,338,3.7,130,2139,185,193,215,9.9,class_0
281,41,2,0,24064,0,1,0,0,0,17.9,175,2.1,220,705,338,229,62,12.9,class_0
282,1455,0,1,12398,0,0,1,0,2,1.3,304,3.52,97,1622,71,169,255,9.5,class_0
283,1030,0,1,22960,0,0,0,0,2,1.1,412,3.99,103,1293,91,113,422,9.6,class_0
287,1234,0,0,21421,0,0,0,1,2,6.4,373,3.46,155,1768,120,151,258,10.1,class_0
291,901,1,0,14939,0,0,0,0,2,3.2,339,3.18,123,3336,205,84,304,9.9,class_0
293,1320,0,1,20891,0,0,1,1,0,8.5,194,2.98,196,815,163,78,122,12.3,class_0
294,1302,0,0,22111,1,0,1,0,2,6.6,1000,3.07,88,3150,193,133,299,10.9,class_0
296,1321,0,1,11462,0,0,0,0,2,0.8,328,3.31,62,1105,137,95,293,10.9,class_0
297,533,1,0,20449,1,0,1,0,2,1.2,275,3.43,100,1142,75,91,217,11.3,class_0
300,207,2,1,21247,0,0,1,0,2,5.2,325,2.23,234,601,135,214,206,12.3,class_0
301,1295,0,1,16513,0,0,0,0,2,1,393,3.57,50,1307,74,103,295,10.5,class_0
303,1250,0,1,22156,0,0,1,1,2,1,372,3.25,108,1190,140,55,248,10.6,class_0
313,4062,0,0,21915,0,0,1,0,2,0.7,1000,3.65,48,5300,171,113,378,11,class_0
314,3561,2,0,23741,0,0,1,1,1,1.4,373,3.04,38,674,75.95,194,331,12.1,class_0
315,2844,0,1,19724,0,0,0,0,2,0.7,232,4.03,25,1136,57,180,226,9.8,class_0
316,2071,2,1,27394,0,0,0,0,1,0.7,546,3.96,44,983,66.65,134,260,11.3,class_0
317,3030,0,0,22646,0,0,0,0,2,0.8,268,2.48,172,1190,137,193,273,10,class_0
321,1170,0,0,22280,1,0,0,0,1,1.3,342,3.41,65,1428,193,106,259,10.9,class_0
329,1462,2,0,23011,0,0,1,0,2,0.7,347,3.4,31,613,150,106,371,10.1,class_0
331,94,2,0,16802,0,0,1,0,1,3.1,215,3.56,100,601,70,114,142,13.6,class_0
332,785,2,1,19358,0,0,1,0,2,12.6,223,2.87,161,3510,127,80,114,11.8,class_0
333,1518,2,1,20454,0,0,1,0,2,2.8,246,3.92,75,2769,57,139,268,10.6,class_0
334,466,2,1,20454,0,0,1,0,2,7.1,273,3.51,52,1995,137,57,721,11.8,class_0
336,2635,0,0,23741,0,0,1,0,2,2.1,252,3.34,182,714,142,113,155,10.1,class_0
341,111,2,0,19724,0,0,0,0,2,9,325,3.29,52,688,97,139,286,13.1,class_0
346,559,2,0,25568,0,0,0,1,1,0.6,175,3.81,57,5184,57,101,160,11,class_0
351,727,2,0,24107,0,0,0,1,2,15,1276,3.4,52,1105,74.4,91,150,11.1,class_0
353,2698,0,1,22646,0,0,1,0,2,1.3,239,3.4,23,601,117,193,167,10.6,class_0
356,1616,2,0,24472,0,0,1,0,1,2.2,236,3.26,41,601,55,85,171,11.1,class_0
357,2563,0,1,21185,0,0,0,0,2,3,198,3.46,44,1282,203.05,57,109,10.4,class_0
360,778,2,1,23376,0,0,0,1,2,1.8,338,3.15,143,820,55,194,183,10.4,class_0
361,617,1,1,14975,0,0,0,0,2,5.5,235,2.31,31,598,175.15,195,517,10.4,class_0
364,359,2,0,21550,0,0,1,0,2,2.7,310,3.35,188,983,134,144,142,11.5,class_0
368,43,2,0,17897,0,0,0,0,2,13.8,325,2.77,63,620,91,126,388,10.9,class_0
369,1197,2,1,15341,0,0,1,0,2,4.4,212,4.52,143,676,83.7,151,102,10.8,class_0
379,597,2,1,23011,0,0,0,0,1,3.3,310,2.73,94,2412,85,62,224,11.1,class_0
381,1899,0,0,14975,1,0,0,1,2,1.7,223,3.66,100,1136,55,134,92,11,class_0
382,221,2,1,18628,0,0,1,0,2,14,236,2.58,42,688,136,101,190,11.6,class_0
383,1022,1,1,13514,0,0,1,0,1,0.8,339,3,188,1794,72.85,195,76,10.8,class_0
388,1560,0,1,14610,0,0,0,1,2,0.9,280,3.5,141,2520,92,144,117,10.9,class_0
389,1581,0,0,24472,0,0,0,0,2,0.7,175,3.06,227,1406,43.4,93,165,10,class_0
393,193,2,1,18993,0,0,0,1,1,0.7,1000,2.96,172,613,237.15,117,319,9.9,class_0
394,1367,0,0,20819,0,0,1,0,1,2,263,3.07,75,1828,134,44,80,12.1,class_0
397,1328,0,1,23376,0,0,0,1,2,0.5,434,3.65,177,1072,82,108,425,10.2,class_0
398,1375,0,0,22646,0,0,0,0,2,7.3,201,3.49,44,613,91,118,189,10.9,class_0
401,935,2,1,25202,0,0,1,0,2,4.2,502,3.19,31,714,111,77,120,11.1,class_0
403,1141,0,1,24107,0,0,1,1,2,2.5,373,3.33,172,820,111,113,256,10.8,class_0
406,703,2,0,16802,0,0,0,0,2,4.5,348,2.68,50,1119,142,140,219,11.5,class_0
415,1103,0,1,14245,0,0,1,1,2,0.9,294,3.83,227,676,75.95,55,180,11.2,class_0
418,976,0,1,19358,0,1,1,0,2,0.7,442,3.29,65,884,288,85,350,10.6,class_0
2,4500,0,0,20617,0,0,1,1,2,1.1,302,4.14,54,7394.8,113.52,88,221,10.6,class_1
5,1504,1,1,13918,0,0,1,1,2,3.4,279,3.53,143,671,113.15,72,136,10.9,class_1
6,2503,2,1,24201,0,0,1,0,2,0.8,248,3.98,50,944,93,63,312,11,class_1
7,1832,0,1,20284,0,0,1,0,2,1,322,4.09,52,824,60.45,213,204,9.7,class_1
8,2466,2,1,19379,0,0,0,0,2,0.3,280,4,52,4651.2,28.38,189,373,11,class_1
13,3577,0,1,16688,0,0,0,0,2,0.7,281,3.85,40,1181,88.35,130,244,10.6,class_1
15,3584,2,0,23612,0,0,0,0,2,0.8,231,3.87,173,9009.8,127.71,96,295,11,class_1
16,3672,0,1,14772,0,0,0,0,2,0.7,204,3.66,28,685,72.85,58,198,10.8,class_1
19,4232,0,0,18102,0,0,1,0,1,0.7,235,3.56,39,1881,93,123,209,11,class_1
26,1444,2,1,19002,0,0,1,1,2,5.2,1128,3.68,53,3228,165.85,166,421,9.9,class_1
33,3170,2,1,18731,0,0,0,0,2,0.8,210,3.19,82,1592,218.55,113,180,12,class_1
35,2847,2,1,17758,0,0,0,0,2,1.2,314,3.2,201,12258.8,72.24,151,431,10.6,class_1
44,3428,2,1,13727,0,0,1,1,0,3.3,299,3.55,131,1029,119.35,50,199,11.7,class_1
46,2256,2,0,16728,0,0,1,0,2,5.7,482,2.84,161,11552,136.74,165,518,12.7,class_1
47,2576,0,1,17323,0,0,0,0,2,0.5,316,3.65,68,1716,187.55,71,356,9.8,class_1
48,4427,0,1,17947,1,0,0,0,2,1.9,259,3.7,281,10396.8,188.34,178,214,11,class_1
55,1360,2,0,24020,1,0,0,0,2,1.8,416,3.94,121,10165,79.98,219,213,11,class_1
57,3282,2,0,19567,0,0,1,0,1,2.3,260,3.18,231,11320.2,105.78,94,216,12.4,class_1
59,2224,2,0,14754,0,0,1,1,2,0.8,329,3.5,49,7622.8,126.42,124,321,10.6,class_1
60,4365,0,0,21324,0,0,0,0,2,0.9,604,3.4,82,876,71.3,58,228,10.3,class_1
63,859,2,1,17031,0,0,0,1,0,22.5,932,3.12,95,5396,244.9,133,165,11.6,class_1
64,1487,2,1,22977,0,0,1,0,2,2.1,373,3.5,52,1009,150.35,188,178,11,class_1
66,4191,2,0,16967,1,0,1,0,2,1.4,427,3.7,105,1909,182.9,171,123,11,class_1
67,2769,2,1,18733,0,0,0,0,2,1.1,466,3.91,84,1787,328.6,185,261,10,class_1
68,4039,0,0,11912,0,0,0,0,2,0.7,174,4.09,58,642,71.3,46,203,10.6,class_1
69,1170,2,0,18021,0,0,1,1,1,20,652,3.46,159,3292,215.45,184,227,12.4,class_1
72,4184,0,1,11868,0,0,0,0,2,0.5,320,3.54,51,1243,122.45,80,225,10,class_1
77,326,2,1,18199,0,0,1,1,1,6.6,244,3.41,199,1819,170.5,91,132,12.1,class_1
79,3707,0,0,16990,0,0,1,0,2,0.8,315,4.24,13,1637,170.5,70,426,10.9,class_1
82,3574,2,0,24585,0,0,0,0,2,4.5,472,4.09,154,1580,117.8,272,412,11.1,class_1
84,4032,0,1,20392,0,0,0,0,2,0.4,263,3.76,29,1345,137.95,74,181,11.2,class_1
86,1657,2,0,19270,0,0,1,1,2,5,1600,3.21,75,2656,82.15,174,181,10.9,class_1
87,198,2,0,13616,0,0,0,0,2,1.1,345,4.4,75,1860,218.55,72,447,10.7,class_1
88,2452,0,1,15119,0,0,0,0,1,0.6,296,4.06,37,1032,80.6,83,442,12,class_1
96,3850,0,0,17841,0,0,0,0,2,1,280,3.7,33,1258,99.2,180,338,10.4,class_1
97,611,2,1,26259,1,0,1,0,1,2,420,3.26,62,3196,77.5,91,344,11.4,class_1
101,3581,0,1,16418,0,0,0,0,2,0.9,400,3.6,31,1689,164.3,166,327,10.4,class_1
105,3092,1,1,12433,0,0,1,0,2,1.1,464,4.2,38,1644,151.9,102,348,10.3,class_1
109,2504,0,1,16094,0,0,0,0,2,0.5,120,3.61,53,804,110.05,52,271,10.6,class_1
110,2105,2,0,14212,0,0,1,1,2,1.9,486,3.54,74,1052,108.5,109,141,10.9,class_1
111,2350,1,0,15031,0,0,0,0,2,5.5,528,4.18,77,2404,172.05,78,467,10.7,class_1
114,3395,2,1,19295,1,0,0,0,2,3.2,259,4.3,208,1040,110.05,78,268,11.7,class_1
115,3422,0,1,15574,0,0,0,1,2,0.7,303,4.19,81,1584,111.6,156,307,10.3,class_1
116,3336,0,0,22306,0,0,0,1,1,3,458,3.63,74,1588,106.95,382,438,9.9,class_1
118,2288,2,0,17844,0,0,1,0,2,3.5,390,3.3,67,878,137.95,93,207,10.2,class_1
119,515,2,0,19817,0,0,0,1,2,0.6,636,3.83,129,944,97.65,114,306,9.5,class_1
120,2033,1,0,12839,1,0,0,0,2,3.5,325,3.98,444,766,130.2,210,344,10.6,class_1
122,3297,0,0,20248,0,0,0,0,2,0.6,298,4.13,29,758,65.1,85,256,10.7,class_1
129,3239,0,0,23235,0,0,1,0,2,0.9,420,3.87,30,1009,57.35,232,183,9.7,class_1
130,1413,2,1,16154,0,0,1,1,2,17.4,1775,3.43,205,2065,165.85,97,418,11.5,class_1
132,2944,0,0,14812,0,0,0,0,2,1.9,448,3.83,60,1052,127.1,175,181,9.8,class_1
138,1297,2,0,18719,1,0,1,0,2,7.3,426,3.93,262,2424,145.7,218,252,10.5,class_1
140,3059,0,0,19751,0,0,1,0,2,1.1,290,4.09,38,2120,186,146,318,10,class_1
144,943,2,1,19098,0,0,1,0,1,28,556,3.26,152,3896,198.4,171,335,10,class_1
145,2976,0,1,18701,0,0,0,1,2,0.7,309,3.84,96,858,41.85,106,253,11.4,class_1
146,2615,0,1,12369,0,0,0,0,1,1.2,168,3.89,58,1284,173.6,106,239,9.4,class_1
148,1427,2,1,11273,0,0,1,0,2,7.2,1015,3.26,247,3836,198.4,280,330,9.8,class_1
152,1152,2,0,25546,1,0,1,0,2,2.3,586,3.01,243,2276,114.7,126,339,10.9,class_1
154,140,2,0,25340,1,0,0,1,0,2.4,168,2.56,225,1056,120.9,75,108,14.1,class_1
159,1536,2,1,16714,1,0,0,0,2,2.5,317,3.46,217,714,130.2,140,207,10.1,class_1
160,2772,0,1,20955,0,0,0,0,2,0.6,217,3.62,13,414,75.95,119,224,10.5,class_1
163,2055,2,0,19540,0,0,0,0,2,0.3,233,4.08,20,622,66.65,68,358,9.9,class_1
169,1212,2,1,12963,0,0,0,0,2,1.3,408,4.22,67,1387,142.6,137,295,10.1,class_1
170,2692,0,0,17774,0,0,0,0,2,1.2,390,3.61,32,1509,88.35,52,263,9,class_1
171,2574,0,0,19237,0,0,0,0,2,0.5,213,4.52,31,784,74.4,106,361,10.1,class_1
172,2301,0,1,18215,0,0,0,1,2,1.3,205,3.34,65,1031,91.45,126,217,9.8,class_1
175,2624,0,1,19049,0,0,0,0,2,0.8,283,3.8,152,718,108.5,168,340,10.1,class_1
180,2563,0,1,15548,0,0,0,0,2,4.7,478,4.38,44,1629,237.15,76,175,10.4,class_1
184,974,2,1,13736,0,0,1,0,2,11,674,3.55,358,2412,167.4,140,471,9.8,class_1
185,2527,0,0,17664,0,0,0,0,2,0.8,256,3.54,42,1132,74.4,94,192,10.5,class_1
186,1576,2,0,25873,0,0,0,1,1,2,225,3.53,51,933,69.75,62,200,12.7,class_1
187,733,2,1,13073,0,0,1,0,2,14,808,3.43,251,2870,153.45,137,268,11.5,class_1
189,2456,0,1,18499,0,0,1,0,2,1.3,360,3.63,52,1812,97.65,164,256,9.9,class_1
199,1592,0,0,14872,0,0,0,0,2,2.1,392,3.43,52,1395,184.45,194,328,10.2,class_1
200,2318,0,1,11773,0,0,0,1,2,4.7,236,3.55,112,1391,137.95,114,332,9.9,class_1
204,2090,2,1,22857,0,0,0,0,2,0.7,255,3.74,23,1024,77.5,58,281,10.2,class_1
205,2081,2,0,17889,0,1,0,0,2,2.5,382,3.55,108,1516,238.7,100,126,10.3,class_1
211,2195,0,1,19327,0,0,0,0,2,1.3,350,3.76,27,1282,100.75,55,114,10.3,class_1
212,2176,0,1,17263,0,0,0,0,2,1.2,232,3.98,11,1074,100.75,99,223,9.9,class_1
213,2178,0,0,18337,0,0,0,1,2,0.5,400,3.4,9,1134,96.1,55,356,10.2,class_1
214,1786,2,1,25329,0,0,1,0,2,0.9,404,3.43,34,1866,79.05,224,236,9.9,class_1
215,1080,2,1,15037,0,0,0,0,2,5.9,1276,3.85,141,1204,203.05,157,216,10.7,class_1
216,2168,0,0,21610,0,0,0,0,2,0.5,358,3.68,20,856,55.8,126,146,10.4,class_1
219,2157,0,1,15601,0,0,0,0,2,1.6,215,4.17,67,936,134.85,85,176,9.6,class_1
222,597,2,1,16898,0,0,1,0,2,4.5,372,3.38,227,2310,167.4,135,240,12.4,class_1
224,1945,0,0,14106,0,0,0,0,2,1,309,3.66,67,1214,158.1,101,309,9.7,class_1
226,1978,0,1,20708,0,0,1,0,2,0.5,223,3.7,39,884,75.95,104,231,9.6,class_1
228,1967,0,1,13486,0,0,0,0,2,0.7,215,3.35,41,645,93,74,165,9.6,class_1
232,1951,0,0,18329,0,0,1,0,2,0.4,267,3.02,47,1001,133.3,87,265,10.6,class_1
235,1882,0,1,12120,0,0,1,0,2,13,1336,4.16,71,3510,209.25,111,338,11.9,class_1
236,1908,0,0,14019,0,0,1,1,2,1.5,253,3.79,67,1006,139.5,106,341,9.7,class_1
237,1882,0,0,21828,0,0,1,0,2,1.6,442,2.95,105,820,85.25,108,181,10.1,class_1
240,1831,0,0,20483,0,0,0,0,2,0.4,232,3.72,24,369,51.15,139,326,10.1,class_1
242,1810,0,0,23585,0,0,1,0,2,1.9,354,2.97,86,1553,196.85,152,277,9.9,class_1
244,1690,2,0,16374,0,0,0,1,2,3.9,350,3.22,121,1268,272.8,231,270,9.6,class_1
245,1790,0,1,16718,0,0,1,0,2,0.6,273,3.65,48,794,52.7,214,305,9.6,class_1
247,732,1,0,15056,0,0,1,0,2,6.1,1712,2.83,89,3681,158.1,139,297,10,class_1
248,1785,0,1,20241,0,0,1,0,2,0.8,324,3.51,39,1237,66.65,146,371,10,class_1
254,737,1,0,14558,0,0,1,1,2,3.1,227,3.75,121,1136,110,91,264,10,class_1
255,1735,0,1,12897,0,0,1,1,2,0.7,193,3.85,35,466,53,118,156,10.3,class_1
256,1701,0,0,11485,0,0,0,0,2,1.1,336,3.74,48,823,84,108,242,9.7,class_1
259,1615,0,1,21904,0,0,1,0,2,3.1,277,2.97,42,1110,125,126,221,9.8,class_1
261,1677,0,1,19126,0,0,1,1,2,3.2,375,3.14,129,857,89,194,375,9.5,class_1
262,1666,0,1,15628,0,0,1,0,2,2.8,322,3.06,65,2562,91,209,231,9.5,class_1
264,1542,1,1,16122,0,0,1,1,2,3.4,356,3.12,188,1911,92,130,318,11.2,class_1
266,1614,0,0,20567,0,0,0,0,2,0.5,318,3.32,52,613,70,260,279,10.2,class_1
270,1568,0,0,9598,0,0,1,1,2,1,448,3.74,102,1128,71,117,228,10.2,class_1
271,1569,0,1,18435,0,0,1,0,2,1,321,3.5,94,955,111,177,289,9.7,class_1
273,1558,0,1,17320,0,0,0,1,2,2.2,328,3.46,75,1677,87,116,202,9.6,class_1
277,1434,0,1,12816,0,0,0,0,1,1,317,3.56,44,1636,84,111,394,9.8,class_1
280,1412,0,0,16858,0,0,0,0,2,1.6,325,3.69,69,2583,142,140,284,9.6,class_1
284,1418,0,1,17738,0,0,0,0,2,1.3,291,3.44,75,1082,85,195,251,9.5,class_1
286,1408,0,0,14191,0,0,1,1,2,2,310,3.36,70,1257,122,118,143,9.8,class_1
290,1363,0,0,24101,0,0,0,0,2,1.4,294,3.57,33,722,93,69,283,9.8,class_1
292,1329,0,1,18352,1,0,1,0,2,8.6,546,3.73,84,1070,127,153,291,11.2,class_1
