@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute value_23 numeric
@attribute value_24 numeric
@attribute value_25 numeric
@attribute value_26 numeric
@attribute value_27 numeric
@attribute value_28 numeric
@attribute value_29 numeric
@attribute value_30 numeric
@attribute value_31 numeric
@attribute value_32 numeric
@attribute value_33 numeric
@attribute value_34 numeric
@attribute value_35 numeric
@attribute value_36 numeric
@attribute value_37 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16}

@data
24,371,0.8,8.1,77,154,39,63,3,223,8,26,83,65.7,3.5,213,8.1,68,161,46,70.2,0.4,202,7.8,22,54,15,76.4,171,35.1,59.3,88.6,78.2,74.9,84.3,80.8,88,99.3,class_0
126,44,1.4,7.5,95,21,21,62.2,3,249,7.5,94,16,60.3,2,263,7.5,41,46,23,76.9,0.3,258,7.5,14,12,15,72.7,59,51.3,46.6,85,80.4,80.7,90.2,83.1,85.1,99.3,class_0
181,387,0.7,7.8,70,101,22,69.3,3,147,7.8,97,23,75,2.5,107,7.7,114,150,25,75.6,0.2,137,7.7,34,111,34,79.3,164,13.5,48.8,94,75.3,51.3,74.2,56.6,72.7,99.3,class_0
215,365,0.7,7.7,104,59,7,60,3,56,7.8,66,43,38,2.5,92,7.8,84,70,8,89.2,0.3,109,7.8,12,42,0,84.6,93,15.6,49.6,88,88.1,68.9,91.7,76.8,92.1,99.3,class_0
284,496,1.5,7.9,158,105,50,56.3,4,144,7.9,112,54,53.2,3.5,167,7.9,40,43,12,69.7,0.3,102,7.6,14,73,13,76,94,56,70.3,91.4,80.2,45.7,92.9,71.9,90.3,99.5,class_0
186,129,1.2,7.8,152,271,117,56.4,6,309,7.8,160,115,58.2,8,317,7.9,81,173,68,63.5,1.7,310,7.9,27,73,27,79.4,327,50.2,55,79.4,76.5,70.4,87.4,84.4,91,99.7,class_0
272,21,1.5,7.4,192,137,63,64.7,4.5,349,7.6,157,84,60.6,6,358,7.6,82,118,28,72.1,0.2,345,7.6,19,79,31,76.8,249,48.6,69.7,96.7,82.7,61.9,93.3,73.5,83.6,99.6,class_0
377,11,2,7.3,51,115,88,49.3,4,31,7.5,67,95,44.9,4,34,7.3,36,50,30,62.2,0.1,32,7.5,15,89,27,72.9,49,46,71.2,97.5,78.2,41.4,86.3,68.6,88,99.5,class_0
208,432,1.7,7.5,52,24,111,56.8,4,3,7.5,52,102,61.5,3.5,3,7.5,29,17,10,91.2,0.2,7,7.6,8,13,4,76.9,14,45.9,80.5,94.3,84.8,73.1,91.4,83.1,96.9,99.5,class_0
397,414,6.5,7.8,54,137,123,67.8,6.5,391,7.8,10,56,69.5,4,383,7.8,46,83,20,78.2,0.3,383,7.8,10,55,5,86.7,369,41.6,67.3,93.8,85.6,65.1,90.2,79.5,97.5,99.7,class_0
438,356,4.5,7.7,103,35,40,70.8,5,339,7.6,149,40,68.8,4.5,325,7.5,57,49,24,84.9,0.3,286,7.5,10,21,6,80,323,56.8,58.8,94.4,87,75.6,92.7,81,93,99.6,class_0
490,285,1.7,7.6,167,79,60,53.1,4,191,7.6,160,61,53.4,4.5,189,7.6,59,38,36,69.4,0.2,167,7.7,9,70,8,69.3,172,58.5,58.5,95.6,88.2,45.8,95.1,70.1,93.4,99.5,class_0
526,408,6.5,7.6,87,16,35,50,3,9,7.6,55,29,51.2,2,9,7.6,39,37,21,65.8,0.2,24,7.7,9,18,11,68.9,35,39.6,55.8,90,85.6,74.7,92.6,77.5,89.8,99.3,class_0
67,247,5,7.8,51,122,75,53.1,5.5,375,7.8,106,104,47.6,8.5,370,7.9,80,118,40,73.1,0.2,367,7.9,7,24,1,57.5,310,34.8,69.4,97.6,91.6,81.7,92.1,86.6,96.9,99.6,class_0
171,488,2.42,7.7,36,32,40,39.8,2.5,140,7.7,144,90,25.3,4.5,156,7.7,50,53,28,37.2,0.2,143,7.7,8,43,8,56,153,58.1,71.3,95.6,88.1,65.3,90.2,71.5,91.9,99.2,class_0
190,434,0.9,7.7,45,146,49,62.7,4.5,238,7.7,67,71,57.8,4.5,208,7.7,20,96,29,68.2,0.3,188,7.7,4,105,4,80,174,57.1,65.6,94.4,88.4,42.6,94,64.9,94.6,99.6,class_0
223,410,1,7.5,145,127,36,57.3,4,290,7.6,181,63,53.3,4.5,271,7.7,62,89,26,69,0.2,290,7.8,8,49,5,86.7,275,62.3,65,95.6,89.4,68.7,94.9,80.4,93.3,99.5,class_0
293,346,3.4,7.8,124,287,96,53.3,6.5,225,7.8,214,99,57.5,7,254,7.8,56,89,41,67.9,0.2,221,7.9,7,28,7,74.3,157,73,66.9,97.9,89.7,77.4,94.9,94.2,95.4,99.7,class_0
412,386,1.95,7.8,159,50,30,67.5,2,24,7.8,170,29,65.1,2,26,7.8,112,101,45,76.8,0.5,31,7.9,9,29,13,80,57,42.3,34.9,75,92.1,78.4,94.9,80.1,88,99,class_0
133,313,0.8,7.6,20,145,44,57.7,2.5,34,7.6,23,39,54.2,2.5,37,7.7,41,47,39,57.3,0.7,34,7.9,10,38,4,69.1,29,17.4,46.4,72,76.2,66.5,85.1,84.1,94.3,99.2,class_0
188,327,0.3,7.7,2,15,12,64.6,2,81,7.7,6,16,61.6,2.5,93,7.8,4,9,2,79.6,0.2,80,7.9,16,15,9,67.5,74,48.2,63,94,54.5,65.9,65.5,78.7,87.7,99,class_0
362,369,1.5,7.8,34,64,91,73.5,4.5,339,7.8,31,68,60,4,339,7.8,28,46,14,81.7,0.2,347,7.9,6,49,3,77.8,322,37.6,72.8,95,87.2,60.4,91.7,74.9,96.6,99.6,class_0
410,340,0.9,7.8,43,76,30,78.4,2.5,307,7.8,41,41,69.1,2.5,309,7.8,39,63,29,67.3,0.2,256,7.8,11,47,7,70,303,33.3,55.1,92,83.3,65.4,88.5,76.9,91.6,99.2,class_0
514,152,1.3,8.2,56,282,98,55.5,6,52,8.2,86,75,53,4.7,50,8.1,67,186,44,65.5,1,58,7.7,11,73,11,77.8,98,34.8,58.3,78.7,87.3,71.7,89.7,86.6,94.2,99.7,class_0
424,332,1.8,8.1,62,55,40,57,4,36,8,54,20,61,2.8,38,7.9,43,55,30,71.1,0.2,34,7.8,5,13,4,87.3,38,36.5,41.6,92.7,90.4,80.9,94,86.7,94.1,99.5,class_0
316,397,2.7,8.3,84,158,51,71.2,5.5,369,8.4,126,45,70.6,5,367,8.3,62,130,25,82.9,0.2,352,7.7,12,78,13,86,339,48.9,59.8,97,85.8,63.9,90.8,75.4,90.4,99.6,class_0
2,472,3.4,7.7,174,68,32,61.2,2.5,55,7.8,139,78,51.1,5.5,67,7.8,59,75,43,66.7,0.5,62,7.9,12,58,13,80,30,53.2,60,91.8,85.5,62.6,94.3,72.6,88.2,99.2,class_0
383,280,6,7.7,180,265,121,45.1,8,153,7.7,210,140,43.9,10,146,7.7,99,161,70,49.1,2.5,120,7.7,17,89,7,85.7,70,60,61.9,75,86,64.1,93,81,96.9,99.8,class_0
422,227,6,7.8,88,148,45,69.4,4.5,387,7.8,194,134,52.1,7.5,394,7.8,100,114,52,61.3,0.3,395,7.7,4,63,10,76.5,389,54.2,73.9,96.7,94.7,67.2,95.5,78.2,91.3,99.6,class_0
439,341,5.8,7.7,103,149,65,57.6,4.5,222,7.6,179,118,54.2,7,221,7.7,97,110,43,66.7,0.4,185,7.8,9,51,7,71.4,196,50,71.9,94.3,91.2,71.1,93.2,81.3,94.1,99.6,class_0
475,442,1.97,7.3,42,27,64,38.5,1.5,101,7.4,29,57,42.1,2,103,7.4,23,34,44,34.5,0.2,149,7.5,3,39,12,63.2,289,40.7,51.8,90,90.4,62.3,94.6,72.2,91.9,98.7,class_0
20,428,1.25,8,80,82,10,68.3,2.5,363,8.1,77,33,77.8,2.5,366,7.8,55,112,23,79.5,0.2,356,7.9,11,66,10,72.9,367,38.4,56.7,92,85.8,65.8,91.1,71.6,86.5,99.2,class_0
51,335,4.8,8,52,248,87,45.4,6.5,8,8,40,47,48.1,3.5,15,7.9,4,24,21,60.5,0.2,17,7.8,3,48,3,72,6,67.2,63.5,94.3,84.1,53.1,95,86.5,96.5,99.7,class_0
87,187,0.8,7.9,66,31,52,47.6,2.5,7,7.9,76,12,52.2,1.5,8,8,38,13,20,75.7,0.3,16,8,5,10,5,58.3,10,47.6,46.4,83.3,89.9,73.7,94.2,85.6,94.3,99.2,class_0
104,492,3.5,8.2,68,109,51,51,5,38,8.2,102,37,53.2,4,22,8.1,42,55,28,60.5,0.3,44,7.9,8,24,10,58.8,25,52.8,54.3,93.8,87.1,75,92.4,85.9,91.8,99.6,class_0
138,484,3.7,8.1,24,43,25,52.6,2.5,62,7.9,82,19,52.6,2.5,97,8,19,27,21,71.1,0.2,50,7.8,6,27,6,83.1,50,61.6,50,92,85.3,67.3,90.2,79.9,91.7,99.2,class_0
155,452,2.5,8.3,103,55,33,55.8,3.5,370,8.3,63,18,61.3,2,365,8.1,56,58,40,61.5,0.4,356,7.9,11,42,13,84,364,31.8,30.7,82.5,86,66.7,92.2,76.5,88.4,99.4,class_0
279,381,3.3,7.9,30,106,107,33.5,3.5,328,8,91,133,37.9,6,348,8,41,78,44,54.5,0.5,333,7.9,4,34,11,57.8,276,50.5,76.3,92.5,91.3,73.5,93,82.9,94.6,99.4,class_0
296,367,2,8,151,196,44,50.5,3.2,355,8,125,84,42.3,2.8,376,7.9,90,96,60,52.9,0.6,372,8,9,36,9,62.5,376,23.7,50.7,78.6,90.8,74.9,94.7,71,91.8,99.4,class_0
314,433,1.41,8.1,199,74,44,55.7,2.7,368,8.1,43,37,55.3,1.8,376,8,48,87,40,63.5,0.4,381,7.9,12,44,15,59.1,387,27.7,44.7,77.8,83.8,70.3,95.8,77.7,88.7,99.3,class_0
350,471,5.97,8.1,63,13,11,67.2,2,230,8.1,38,22,55.7,2,239,7.9,13,35,24,80,0.3,214,7.8,11,32,17,73.3,268,44.8,49.4,85,75.8,66.5,92.7,68.6,81.3,99,class_0
387,125,0.8,7.8,80,90,13,75.8,2.5,271,7.9,97,45,68.6,4.5,253,7.9,86,168,53,77.8,1.8,245,7.7,10,44,7,94.3,219,28.6,38.2,60,89.8,78.6,91.7,78.9,89.4,99.2,class_0
429,362,1.5,7.7,67,243,30,66.3,6,304,7.9,41,30,67.8,4,319,7.9,67,169,37,74,1,281,7.7,11,93,10,82.4,274,12.6,42.5,75,87.3,64,90.4,78.1,89.8,99.7,class_0
445,344,4.85,7.9,119,149,45,68.4,5,317,7.9,166,68,69.6,7,333,7.9,87,181,44,78.2,0.6,346,7.7,12,80,12,77.8,346,50.2,56,91.4,88.4,69.3,92.3,74.3,90.3,99.6,class_0
463,447,2.2,7.9,81,122,20,79.5,4.5,365,7.9,140,23,76.3,4.5,368,7.9,109,165,25,90.2,0.6,379,7.8,19,98,14,93.3,383,31.8,48.8,86.7,85.7,61.3,86.5,66.6,85.6,99.6,class_0
58,168,2.5,7.8,72,129,21,73,4.5,260,7.9,88,28,69.4,4,245,7.9,100,151,28,86,0.9,244,7.8,15,67,7,97.2,213,17.5,49.4,77.5,87.4,70,88.2,76,90.5,99.6,class_0
232,163,1,7.9,77,130,40,64.5,7.5,406,8,118,42,64.6,5,401,8,98,190,44,74.5,1.2,398,7.8,16,67,13,80,400,30,44.4,76,86.6,73.7,88,76,89.2,99.7,class_0
443,229,3.2,8,106,252,30,69.9,4.9,267,8,62,37,68.1,4,274,8,80,172,21,78.9,0.5,307,7.7,13,56,9,87.5,325,16,59.6,87.5,87,75.4,91.3,85.5,90.4,99.6,class_0
22,45,1.99,8,133,227,51,74,5.3,274,8,134,43,75,5,264,7.9,107,164,49,75,1.1,275,9.7,17,17,10,88.2,318,31.3,40,78,86.7,71.9,90.6,85.3,91.8,100,class_0
56,119,5.3,8.2,161,270,99,71.8,7.5,341,8.2,157,75,72,6.3,331,8.2,137,200,40,78.8,0.6,353,7.8,24,81,15,90.9,357,23.2,60.6,90.4,85.9,71.1,89.1,82.8,92.9,99.7,class_0
160,268,2.98,8.2,147,219,110,60.7,9,306,8.2,129,90,60.7,8,300,8.1,84,132,32,76.6,0.4,283,7.7,18,51,13,86,220,40,68.7,95,83.7,73.4,90.8,84.6,94.4,100,class_0
178,303,2.6,8.1,146,207,32,70.6,5,298,8.2,184,65,67.2,5.5,296,8.2,84,198,38,70.6,1,329,8,19,68,13,85,343,55.7,58.2,81.8,83,74.4,90.3,80.6,88.2,100,class_0
300,56,5.7,7.8,139,154,58,71.2,5,323,7.9,211,120,65,10,337,8,135,179,50,82,0.9,323,7.7,23,79,17,85,288,48.8,69.5,91,86.1,69.4,88.3,74.9,89.2,100,class_0
319,81,2.5,8,178,182,61,71.9,7.5,310,8,222,89,71.1,9,326,8,129,185,45,91.1,0.6,342,7.8,24,30,15,87.3,326,58.4,62.4,93.3,85,83.8,90.3,87.6,90.4,100,class_0
336,85,2,7.9,147,286,100,76.4,7,382,7.9,64,87,74,7.2,385,7.9,115,228,58,75,0.7,384,7.7,22,68,16,92.2,386,13.8,53.4,91,84.4,81.4,89.2,89.3,92.7,100,class_0
354,4,2,8.3,172,210,53,78.3,4.5,377,8.3,219,100,73.3,10,385,8.2,115,198,48,88.1,0.5,388,7.8,14,103,15,85.7,390,48.6,47.1,80,90.5,82,94.7,80.8,85.6,99.6,class_0
456,222,0.5,7.9,138,184,10,74.6,2.5,72,8.1,146,14,76.1,2.5,69,8,71,119,31,78.3,0.5,54,7.8,10,62,6,65.4,73,49.8,35.2,80,88.5,68.1,93.9,80.7,89.7,99.2,class_0
474,359,0.8,8.3,139,229,26,70.9,5,94,8.2,171,36,66.7,5.5,111,8.1,66,143,25,70.7,0.3,100,7.8,9,65,6,73.1,64,58.9,55.9,94.5,88.9,69.7,94.3,82.4,91.8,100,class_0
103,480,0.35,8.1,114,163,11,70.3,4,240,8.3,127,3,71.9,2.5,257,8.2,83,111,26,71.4,1,237,7.7,9,33,4,76.4,253,39.6,26.3,60,90.3,77.9,93.6,86.2,91.4,100,class_0
137,438,0.5,8.2,77,67,6,79.7,4,313,8.2,119,8,80,3.5,299,8.2,97,134,34,77.1,1.2,285,7.7,15,89,20,88.3,350,30.8,26.2,65.7,87.2,60.7,88.6,62.2,77.1,100,class_0
331,30,1.2,7.9,186,235,72,71.2,6.5,187,8,195,70,69.3,6,224,8,99,138,31,73.9,0.4,211,7.7,11,33,7,85.7,247,54.7,63.8,93.3,90,79.9,95.3,88.7,94.4,100,class_0
366,131,2.6,8.1,182,152,51,69.2,6.5,232,8.2,156,42,72.7,3.3,268,8.1,131,147,64,71.1,3,193,7.8,14,14,5,83.3,226,26.7,23.2,7.7,90.5,86.7,94.2,90.2,94.2,99.7,class_0
414,202,2.5,8.3,162,259,55,71.3,7.5,301,8.4,147,71,72.7,8,308,8.2,111,211,68,77.6,3.5,303,7.8,20,20,6,92.9,356,33.2,33.6,56.3,85.3,88.3,90.8,92.1,94,99.7,class_0
448,284,0.94,7.9,63,220,15,67.6,3,121,7.7,51,17,66.2,2.5,133,7.7,25,55,18,69.4,0.3,124,7.6,12,38,4,90.9,136,48.3,51.4,88,78.7,68.1,89.5,87.3,91.9,99.3,class_0
466,136,0.82,7.7,96,225,48,66.3,3,398,7.8,200,48,67.6,3.5,380,7.7,105,188,36,83.7,0.5,376,7.7,10,38,6,92.3,269,54.8,53.3,87.1,91,81.7,92.4,87.5,93.6,99.3,class_0
484,177,3.1,7.9,138,203,39,69.6,4.5,358,8,114,50,69.2,4,350,8,94,136,37,78,0.5,357,7.8,20,59,9,81.3,366,30.6,53.3,88.8,83.4,71,89.5,82.3,91.3,99.6,class_0
78,468,0.23,7.6,47,58,29,57.3,2.5,35,7.7,80,41,53.1,2.5,45,7.8,48,95,36,59.2,0.5,29,7.7,16,16,11,83.3,15,43.4,50,80,79.8,82.8,85.2,85.5,89,99.2,class_0
113,149,3.2,7.9,133,238,88,62.7,7.5,209,8,123,71,63.3,6.5,219,7.9,102,188,45,78.6,0.5,194,7.9,14,77,12,84.2,186,29.8,56.3,92.3,88.2,70.7,91.9,80.7,93.3,99.7,class_0
129,91,3.25,7.9,132,223,122,46.5,8.5,165,7.9,183,113,52.9,9,192,7.8,109,185,44,74.6,0.4,220,7.7,17,69,12,82.1,241,46.7,70.6,95.6,87,72.7,90.5,81.4,95.8,99.8,class_0
324,281,0.5,7.6,35,91,34,62.1,5,43,7.7,41,51,56.5,5.5,43,7.7,57,90,14,79.4,0.2,65,7.6,10,17,5,82.3,72,20,68.5,97.3,87,82,88.5,87,93.1,99.6,class_0
341,411,2.1,7.8,46,78,42,61.1,4.5,377,7.8,32,46,54.4,3,373,7.9,35,77,48,61,0.3,332,7.7,11,29,6,84.6,306,32.5,42.7,90,82.4,75.5,88.8,82.7,93.2,99.6,class_0
358,326,0.75,7.6,90,161,139,22.8,36,356,7.6,79,153,21.3,46,357,7.7,48,75,30,66.7,0.5,368,7.6,14,44,10,82.4,371,43.1,94.7,98.9,81.8,68.7,89.9,83.6,98.6,99.9,class_0
518,162,4.07,7.9,142,218,58,72.1,4.5,203,7.9,193,64,68.6,5.8,175,7.9,138,205,38,84.3,0.4,269,7.7,14,63,9,93.8,224,38.7,57.9,93.9,91,76.8,92.3,82.2,92.8,99.6,class_0
144,164,2.85,7.7,122,191,59,66.1,4.5,233,7.8,198,73,62.3,6,246,7.9,98,158,46,75.4,0.3,280,7.8,14,65,7,85.7,297,55.8,56.2,95.8,87.9,71.3,91.5,80.3,93.8,99.6,class_0
164,235,6.36,8.1,95,148,55,62,5,335,8.1,99,60,61.5,5,332,8,65,116,41,66,0.5,338,7.7,10,57,5,91.7,332,40.2,54.7,90,87.9,69.6,92.4,79.6,94.4,99.6,class_0
182,312,9.6,8.1,88,159,57,61.8,4.5,184,8,66,65,55.7,5.3,161,7.9,87,199,30,73.3,0.4,162,7.7,16,77,11,88.9,156,13.8,63.1,93.3,85.5,72,88.7,75.7,91.8,99.6,class_0
252,260,6.45,7.5,72,130,80,48.1,6,87,7.8,150,47,47.1,3.5,70,7.9,59,86,25,78,0.4,69,7.7,11,32,6,83.1,37,56.3,60.6,88.6,86.4,75.2,90.7,84.9,95.1,99.7,class_0
269,207,9,7.7,84,127,103,50.3,5.5,102,7.7,73,48,61.9,4.5,95,7.8,98,157,44,76.4,0.7,118,7.6,16,81,17,79.2,122,10.8,47.6,84.4,86.6,66.1,88.4,72.2,92.5,99.6,class_0
304,266,6.5,7.7,94,175,118,52.6,6.5,149,7.8,156,133,50.9,7.5,200,7.9,74,131,29,77.3,0.3,239,7.7,19,27,12,89.5,250,51.6,81,96,81.6,81.5,87.4,88,95,99.7,class_0
356,20,1.8,7.5,5,7,37,40,1.4,4,7.5,36,94,40,3,4,7.5,33,10,24,65,0.3,10,7.5,9,13,7,92.9,22,36.2,74.2,90,84.3,68.5,81.2,77.1,92.2,98.6,class_0
64,40,2.6,7.8,109,262,90,58.3,4.7,121,7.8,133,54,60.4,4.5,157,7.7,93,206,40,73.1,0.9,153,7.7,27,118,34,82.9,190,37.1,53.2,80,78.5,59.3,84.3,73.7,85.8,99.6,class_0
187,49,1.6,6.9,142,195,68,65.3,5,97,7.3,97,61,58.5,4.5,91,7.3,73,190,47,65.5,1.4,127,7.5,39,129,50,74.4,178,35.4,50.8,68.9,18.5,33.9,56.7,50,67.8,99.6,class_0
328,159,2.4,7.6,44,35,47,49,2.8,381,7.6,35,71,50,2.5,374,7.6,55,91,32,83,0.1,369,7.6,11,63,21,85.7,373,17.8,63.3,96,85.8,63.3,88.6,64.4,86,99.3,class_0
418,32,1.6,7.5,81,89,31,69,2.6,250,7.5,97,43,67,3,236,7.6,50,106,24,80,0.1,291,7.7,15,72,27,79.4,296,47.4,60,98.3,81.2,62.6,88.8,70.5,79.8,99.2,class_0
203,102,1.75,7.7,32,56,36,62.9,3,228,7.7,43,61,53.4,4,220,7.7,52,79,40,67.3,0.3,231,7.6,8,45,4,81.8,283,24.8,55.9,92.5,88.3,68.8,89.8,75.6,93.8,99.3,class_0
